ID_AREA_CONOCIMIENTO,ID_AREA_CONOCIMIENTO_NK,NOMBRE_AREA_CONOCIMIENTO,GRUPO_AREA_CONOCIMIENTO,ORDEN_VISUALIZACION,FECHA_CARGA,ES_ACTIVO,SN_ACTIVO
1,MAT,Matemáticas,Ciencias exactas y formales,1,2021-01-24,1,S
2,FIS,Física,Ciencias naturales y experimentales,2,2019-07-28,1,S
3,QUI,Química,Ciencias naturales y experimentales,3,2023-03-03,1,S
4,BIO,Biología,Ciencias naturales y experimentales,4,2021-05-11,1,S
5,MED,Medicina,Ciencias de la salud,5,2022-12-13,1,S
6,INF,Informática,Ingeniería y tecnología,6,2023-02-28,1,S
7,DER,Derecho,Ciencias sociales y jurídicas,7,2020-11-28,1,S
8,ECO,Economía,Ciencias sociales y jurídicas,8,2022-07-31,1,S
9,FIL,Filología,Humanidades,9,2020-11-23,1,S
10,HIS,Historia,Humanidades,10,2021-09-02,1,S
