ID_CATEGORIA_CUERPO_ESCALA,NOMBRE_CATEGORIA_CUERPO_ESCALA,ID_CAT_CPO_ESC_DESCR
1,Catedrático/a de Universidad,10
2,Profesor/a Titular de Universidad,20
3,Profesor/a Contratado/a Doctor/a,30
4,Profesor/a Ayudante Doctor/a,40
5,Profesor/a Ayudante,50
6,Profesor/a Asociado/a,60
7,Profesor/a Colaborador/a,70
8,Profesor/a Emérito/a,80
9,Profesor/a Visitante,90
10,Profesor/a Interino/a,100
11,Profesor/a Sustituto/a,110
12,Personal Investigador,120
13,Catedrático/a de Escuela Universitaria,130
14,Profesor/a Titular de Escuela Universitaria,140
15,Otras figuras docentes,150
