ID_CENTRO,ID_CAMPUS,NOMBRE_CAMPUS,ID_TIPO_CENTRO,NOMBRE_TIPO_CENTRO,ID_POBLACION,NOMBRE_POBLACION,ID_CENTRO_NK,ID_CENTRO_DESCR,NOMBRE_CENTRO,ORD_NOMBRE_CENTRO,NOMBRE_CENTRO_EXT
1,4,Campus Este,7,Fundación Universitaria,21,Ávila,100,1000,Facultad de Medicina,FACULTAD DE MEDICINA,Facultad de Medicina (Ávila)
2,6,Campus Río,4,Escuela Universitaria,8,Ceuta,200,2000,Facultad de Ciencias,FACULTAD DE CIENCIAS,Facultad de Ciencias (Ceuta)
3,6,Campus Río,2,Escuela,183,Jaén,300,3000,Facultad de Derecho,FACULTAD DE DERECHO,Facultad de Derecho (Jaén)
4,6,Campus Río,3,Escuela Técnica Superior,36,Lugo,400,4000,Facultad de Filosofía y Letras,FACULTAD DE FILOSOFÍA Y LETRAS,Facultad de Filosofía y Letras (Lugo)
5,1,Campus Central,5,Instituto Universitario,121,Córdoba,500,5000,Facultad de Ciencias Económicas y Empresariales,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,Facultad de Ciencias Económicas y Empresariales (Córdoba)
6,3,Campus Sur,8,Otro tipo de centro,115,Zaragoza,600,6000,Facultad de Farmacia,FACULTAD DE FARMACIA,Facultad de Farmacia (Zaragoza)
7,10,Campus Humanidades,1,Facultad,21,Ávila,700,7000,Facultad de Veterinaria,FACULTAD DE VETERINARIA,Facultad de Veterinaria (Ávila)
8,1,Campus Central,5,Instituto Universitario,56,Guadalajara,800,8000,Facultad de Educación,FACULTAD DE EDUCACIÓN,Facultad de Educación (Guadalajara)
9,3,Campus Sur,7,Fundación Universitaria,29,Girona,900,9000,Facultad de Psicología,FACULTAD DE PSICOLOGÍA,Facultad de Psicología (Girona)
10,5,Campus Oeste,4,Escuela Universitaria,78,Salamanca,1000,10000,Facultad de Enfermería,FACULTAD DE ENFERMERÍA,Facultad de Enfermería (Salamanca)
11,2,Campus Norte,1,Facultad,62,Valencia,1100,11000,Facultad de Información y Documentación,FACULTAD DE INFORMACIÓN Y DOCUMENTACIÓN,Facultad de Información y Documentación (Valencia)
12,7,Campus Ciudad,8,Otro tipo de centro,17,Burgos,1200,12000,Facultad de Trabajo Social,FACULTAD DE TRABAJO SOCIAL,Facultad de Trabajo Social (Burgos)
13,2,Campus Norte,8,Otro tipo de centro,153,Asturias,1300,13000,Facultad de Bellas Artes,FACULTAD DE BELLAS ARTES,Facultad de Bellas Artes (Asturias)
14,9,Campus Científico,1,Facultad,162,Sevilla,1400,14000,Facultad de Traducción e Interpretación,FACULTAD DE TRADUCCIÓN E INTERPRETACIÓN,Facultad de Traducción e Interpretación (Sevilla)
15,9,Campus Científico,4,Escuela Universitaria,184,Lleida,1500,15000,Facultad de Ciencias Sociales,FACULTAD DE CIENCIAS SOCIALES,Facultad de Ciencias Sociales (Lleida)
16,3,Campus Sur,5,Instituto Universitario,110,Ceuta,1600,16000,Escuela Técnica Superior de Ingeniería Informática,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,Escuela Técnica Superior de Ingeniería Informática (Ceuta)
17,1,Campus Central,6,Centro Adscrito,62,Valencia,1700,17000,Escuela Técnica Superior de Ingeniería Industrial,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INDUSTRIAL,Escuela Técnica Superior de Ingeniería Industrial (Valencia)
18,10,Campus Humanidades,7,Fundación Universitaria,48,Salamanca,1800,18000,Escuela Técnica Superior de Arquitectura,ESCUELA TÉCNICA SUPERIOR DE ARQUITECTURA,Escuela Técnica Superior de Arquitectura (Salamanca)
19,2,Campus Norte,6,Centro Adscrito,18,Melilla,1900,19000,Escuela Técnica Superior de Ingeniería Agronómica,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA AGRONÓMICA,Escuela Técnica Superior de Ingeniería Agronómica (Melilla)
20,9,Campus Científico,1,Facultad,100,Almería,2000,20000,Escuela Técnica Superior de Ingeniería de Telecomunicación,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA DE TELECOMUNICACIÓN,Escuela Técnica Superior de Ingeniería de Telecomunicación (Almería)
21,8,Campus Tecnológico,1,Facultad,163,Toledo,2100,21000,Escuela Técnica Superior de Ingeniería Civil,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA CIVIL,Escuela Técnica Superior de Ingeniería Civil (Toledo)
22,7,Campus Ciudad,6,Centro Adscrito,65,Burgos,2200,22000,Escuela Universitaria de Enfermería,ESCUELA UNIVERSITARIA DE ENFERMERÍA,Escuela Universitaria de Enfermería (Burgos)
23,1,Campus Central,6,Centro Adscrito,202,Álava,2300,23000,Escuela Universitaria de Magisterio,ESCUELA UNIVERSITARIA DE MAGISTERIO,Escuela Universitaria de Magisterio (Álava)
24,2,Campus Norte,6,Centro Adscrito,62,Valencia,2400,24000,Escuela Universitaria de Turismo,ESCUELA UNIVERSITARIA DE TURISMO,Escuela Universitaria de Turismo (Valencia)
25,2,Campus Norte,6,Centro Adscrito,35,Cantabria,2500,25000,Escuela Universitaria de Trabajo Social,ESCUELA UNIVERSITARIA DE TRABAJO SOCIAL,Escuela Universitaria de Trabajo Social (Cantabria)
26,1,Campus Central,6,Centro Adscrito,140,Jaén,2600,26000,Instituto Universitario de Investigación,INSTITUTO UNIVERSITARIO DE INVESTIGACIÓN,Instituto Universitario de Investigación (Jaén)
27,6,Campus Río,3,Escuela Técnica Superior,200,Alicante,2700,27000,Centro de Estudios Superiores,CENTRO DE ESTUDIOS SUPERIORES,Centro de Estudios Superiores (Alicante)
28,8,Campus Tecnológico,8,Otro tipo de centro,162,Sevilla,2800,28000,Centro Adscrito de Formación Profesional,CENTRO ADSCRITO DE FORMACIÓN PROFESIONAL,Centro Adscrito de Formación Profesional (Sevilla)
29,3,Campus Sur,3,Escuela Técnica Superior,17,Burgos,2900,29000,Departamento de Investigación,DEPARTAMENTO DE INVESTIGACIÓN,Departamento de Investigación (Burgos)
30,8,Campus Tecnológico,1,Facultad,76,Lugo,3000,30000,Centro Internacional de Posgrado,CENTRO INTERNACIONAL DE POSGRADO,Centro Internacional de Posgrado (Lugo)
31,4,Campus Este,1,Facultad,203,Granada,3100,31000,Centro de Formación Permanente,CENTRO DE FORMACIÓN PERMANENTE,Centro de Formación Permanente (Granada)
32,4,Campus Este,1,Facultad,81,Tarragona,3200,32000,Colegio Mayor Universitario,COLEGIO MAYOR UNIVERSITARIO,Colegio Mayor Universitario (Tarragona)
33,5,Campus Oeste,7,Fundación Universitaria,140,Jaén,3300,33000,Facultad de Veterinaria 1,FACULTAD DE VETERINARIA 1,Facultad de Veterinaria 1 (Jaén)
34,8,Campus Tecnológico,5,Instituto Universitario,10,Valladolid,3400,34000,Facultad de Educación 2,FACULTAD DE EDUCACIÓN 2,Facultad de Educación 2 (Valladolid)
35,4,Campus Este,5,Instituto Universitario,92,Madrid,3500,35000,Escuela Técnica Superior de Ingeniería Agronómica 3,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA AGRONÓMICA 3,Escuela Técnica Superior de Ingeniería Agronómica 3 (Madrid)
36,1,Campus Central,6,Centro Adscrito,70,Murcia,3600,36000,Facultad de Farmacia 4,FACULTAD DE FARMACIA 4,Facultad de Farmacia 4 (Murcia)
37,2,Campus Norte,6,Centro Adscrito,112,Zamora,3700,37000,Facultad de Información y Documentación 5,FACULTAD DE INFORMACIÓN Y DOCUMENTACIÓN 5,Facultad de Información y Documentación 5 (Zamora)
38,7,Campus Ciudad,8,Otro tipo de centro,99,Murcia,3800,38000,Escuela Técnica Superior de Arquitectura 6,ESCUELA TÉCNICA SUPERIOR DE ARQUITECTURA 6,Escuela Técnica Superior de Arquitectura 6 (Murcia)
39,6,Campus Río,3,Escuela Técnica Superior,128,León,3900,39000,Departamento de Investigación 7,DEPARTAMENTO DE INVESTIGACIÓN 7,Departamento de Investigación 7 (León)
40,8,Campus Tecnológico,6,Centro Adscrito,205,Valladolid,4000,40000,Facultad de Enfermería 8,FACULTAD DE ENFERMERÍA 8,Facultad de Enfermería 8 (Valladolid)
41,9,Campus Científico,5,Instituto Universitario,206,Girona,4100,41000,Centro Adscrito de Formación Profesional 9,CENTRO ADSCRITO DE FORMACIÓN PROFESIONAL 9,Centro Adscrito de Formación Profesional 9 (Girona)
42,2,Campus Norte,7,Fundación Universitaria,21,Ávila,4200,42000,Facultad de Farmacia 10,FACULTAD DE FARMACIA 10,Facultad de Farmacia 10 (Ávila)
43,7,Campus Ciudad,3,Escuela Técnica Superior,140,Jaén,4300,43000,Facultad de Ciencias Sociales 11,FACULTAD DE CIENCIAS SOCIALES 11,Facultad de Ciencias Sociales 11 (Jaén)
44,5,Campus Oeste,6,Centro Adscrito,27,Sevilla,4400,44000,Departamento de Investigación 12,DEPARTAMENTO DE INVESTIGACIÓN 12,Departamento de Investigación 12 (Sevilla)
45,2,Campus Norte,6,Centro Adscrito,170,Baleares,4500,45000,Escuela Universitaria de Magisterio 13,ESCUELA UNIVERSITARIA DE MAGISTERIO 13,Escuela Universitaria de Magisterio 13 (Baleares)
46,5,Campus Oeste,5,Instituto Universitario,115,Zaragoza,4600,46000,Facultad de Ciencias 14,FACULTAD DE CIENCIAS 14,Facultad de Ciencias 14 (Zaragoza)
47,10,Campus Humanidades,7,Fundación Universitaria,43,Ourense,4700,47000,Centro de Estudios Superiores 15,CENTRO DE ESTUDIOS SUPERIORES 15,Centro de Estudios Superiores 15 (Ourense)
48,8,Campus Tecnológico,6,Centro Adscrito,115,Zaragoza,4800,48000,Facultad de Filosofía y Letras 16,FACULTAD DE FILOSOFÍA Y LETRAS 16,Facultad de Filosofía y Letras 16 (Zaragoza)
49,1,Campus Central,6,Centro Adscrito,158,Navarra,4900,49000,Instituto Universitario de Investigación 17,INSTITUTO UNIVERSITARIO DE INVESTIGACIÓN 17,Instituto Universitario de Investigación 17 (Navarra)
50,7,Campus Ciudad,5,Instituto Universitario,164,Girona,5000,50000,Escuela Universitaria de Turismo 18,ESCUELA UNIVERSITARIA DE TURISMO 18,Escuela Universitaria de Turismo 18 (Girona)
