ID_CENTRO_OTRA_UNIVERSIDAD,NOMBRE_CENTRO_OTRA_UNIVERSIDAD,ID_UNIVERSIDAD,NOMBRE_UNIVERSIDAD,ID_CENTRO_OTRA_UNIVERSIDAD_NK,ID_UNIVERSIDAD_NK
1,Facultad de Ciencias,67,Universidad Medicina de Estrada (Argentina),00000001,670
2,Facultad de Derecho,80,Universidad Nacional de Sevilla (Ghana),00000002,800
3,Facultad de Medicina,60,Universidad Complutense de Ourense (Zambia),00000003,600
4,Facultad de Letras,99,Universidad Humanidades de Saura (Eslovenia),00000004,990
5,Facultad de Economía,93,Universidad Europea de Cáceres (Argentina),00000005,930
6,Escuela de Ingeniería,18,Universidad Complutense de Ourense (República Federal Democrática de Nepal),00000006,180
7,Facultad de Educación,20,Universidad Humanidades de Mir (Bangladesh),00000007,200
8,Facultad de Salud,10,Universidad Ciencias de Alegria (República Centroafricana),00000008,100
9,Escuela de Enfermería,25,Universidad Estatal de Navarra (República Federal Democrática de Nepal),00000009,250
10,Facultad de Artes,13,Universidad Medicina de Amor (El Salvador),00000010,130
11,Facultad de Ciencias,80,Universidad Nacional de Sevilla (Ghana),00000011,800
12,Facultad de Derecho,31,Universidad Europea de Cuenca (Jordania),00000012,310
13,Facultad de Medicina,61,Universidad Autónoma de Girona (Portugal),00000013,610
14,Facultad de Letras,28,Universidad Complutense de Murcia (Tailandia),00000014,280
15,Facultad de Economía,11,Universidad Humanidades de Muñoz (Burkina Faso),00000015,110
16,Escuela de Ingeniería,25,Universidad Estatal de Navarra (República Federal Democrática de Nepal),00000016,250
17,Facultad de Educación,40,Universidad Humanidades de Bermúdez (Haití),00000017,400
18,Facultad de Salud,14,Universidad Ciencias de Lara (Ecuador),00000018,140
19,Escuela de Enfermería,90,Universidad Nacional de Melilla (Bosnia y Herzegovina),00000019,900
20,Facultad de Artes,53,Universidad Estatal de Guadalajara (Israel),00000020,530
21,Facultad de Ciencias,25,Universidad Estatal de Navarra (República Federal Democrática de Nepal),00000021,250
22,Facultad de Derecho,78,Universidad Tecnología de Alberdi (Afganistán),00000022,780
23,Facultad de Medicina,28,Universidad Complutense de Murcia (Tailandia),00000023,280
24,Facultad de Letras,12,Universidad Autónoma de Palencia (Irán),00000024,120
25,Facultad de Economía,90,Universidad Nacional de Melilla (Bosnia y Herzegovina),00000025,900
26,Escuela de Ingeniería,17,Universidad Tecnología de Coloma (San Marino),00000026,170
27,Facultad de Educación,10,Universidad Ciencias de Alegria (República Centroafricana),00000027,100
28,Facultad de Salud,86,Universidad Humanidades de Coronado (Palau),00000028,860
29,Escuela de Enfermería,31,Universidad Europea de Cuenca (Jordania),00000029,310
30,Facultad de Artes,43,Universidad Nacional de Murcia (Bahrein),00000030,430
31,Facultad de Ciencias,99,Universidad Humanidades de Saura (Eslovenia),00000031,990
32,Facultad de Derecho,74,Universidad Artes de Hurtado (Andorra),00000032,740
33,Facultad de Medicina,60,Universidad Complutense de Ourense (Zambia),00000033,600
34,Facultad de Letras,30,Universidad Ciencias de Tomé (Serbia),00000034,300
35,Facultad de Economía,82,Universidad Autónoma de Soria (Guinea),00000035,820
36,Escuela de Ingeniería,40,Universidad Humanidades de Bermúdez (Haití),00000036,400
37,Facultad de Educación,48,Universidad de Guipúzcoa (Jamaica),00000037,480
38,Facultad de Salud,8,Universidad Tecnología de Vendrell (Uzbekistán),00000038,80
39,Escuela de Enfermería,36,Universidad Ciencias de Maestre (Reino Unido de Gran Bretaña e Irlanda del Norte),00000039,360
40,Facultad de Artes,14,Universidad Ciencias de Lara (Ecuador),00000040,140
41,Facultad de Ciencias,72,Universidad Artes de Bustos (Estonia),00000041,720
42,Facultad de Derecho,65,Universidad Internacional de Guipúzcoa (Irán),00000042,650
43,Facultad de Medicina,88,Universidad Humanidades de Sotelo (Panamá),00000043,880
44,Facultad de Letras,53,Universidad Estatal de Guadalajara (Israel),00000044,530
45,Facultad de Economía,26,Universidad Medicina de Tejera (Zimbabwe),00000045,260
46,Escuela de Ingeniería,65,Universidad Internacional de Guipúzcoa (Irán),00000046,650
47,Facultad de Educación,85,Universidad Estatal de Barcelona (Países Bajos),00000047,850
48,Facultad de Salud,90,Universidad Nacional de Melilla (Bosnia y Herzegovina),00000048,900
49,Escuela de Enfermería,53,Universidad Estatal de Guadalajara (Israel),00000049,530
50,Facultad de Artes,7,Universidad Tecnología de Martínez (Nigeria),00000050,70
