ID_CENTRO_OTRA_UNIVERSIDAD,ID_CENTRO_OTRA_UNIVERSIDAD_NK,NOMBRE_CENTRO_OTRA_UNIVERSIDAD,ID_UNIVERSIDAD,ID_UNIVERSIDAD_NK,NOMBRE_UNIVERSIDAD
1,00000001,Facultad de Ciencias,67,670,Universidad Artes de Salamanca (República Popular Democrática de Corea)
2,00000002,Facultad de Derecho,80,800,Universidad Humanidades de Barranco (Uzbekistán)
3,00000003,Facultad de Medicina,60,600,Universidad Politécnica de Guadalajara (Ucrania)
4,00000004,Facultad de Letras,99,990,Universidad Internacional de Lugo (Belarús)
5,00000005,Facultad de Economía,93,930,Universidad Ciencias de Estrada (Ucrania)
6,00000006,Escuela de Ingeniería,18,180,Universidad Nacional de Navarra (Canadá)
7,00000007,Facultad de Educación,20,200,Universidad Artes de Varela (Jamaica)
8,00000008,Facultad de Salud,10,100,Universidad Europea de Almería (Túnez)
9,00000009,Escuela de Enfermería,25,250,Universidad Autónoma de Pontevedra (Nauru)
10,00000010,Facultad de Artes,13,130,Universidad Autónoma de Las Palmas (Ghana)
11,00000011,Facultad de Ciencias,80,800,Universidad Humanidades de Barranco (Uzbekistán)
12,00000012,Facultad de Derecho,31,310,Universidad Nacional de Salamanca (República Democrática del Congo)
13,00000013,Facultad de Medicina,61,610,Universidad Ciencias de Oller (San Vicente y las Granadinas)
14,00000014,Facultad de Letras,28,280,Universidad Europea de Zaragoza (Comoras)
15,00000015,Facultad de Economía,11,110,Universidad Católica de Madrid (El Salvador)
16,00000016,Escuela de Ingeniería,25,250,Universidad Autónoma de Pontevedra (Nauru)
17,00000017,Facultad de Educación,40,400,Universidad Artes de Lara (Tuvalu)
18,00000018,Facultad de Salud,14,140,Universidad Politécnica de Toledo (Suriname)
19,00000019,Escuela de Enfermería,90,900,Universidad Tecnología de Llamas (Ghana)
20,00000020,Facultad de Artes,53,530,Universidad Tecnología de Mir (Irán)
21,00000021,Facultad de Ciencias,25,250,Universidad Autónoma de Pontevedra (Nauru)
22,00000022,Facultad de Derecho,78,780,Universidad Tecnología de Tejada (República Unida de Tanzanía)
23,00000023,Facultad de Medicina,28,280,Universidad Europea de Zaragoza (Comoras)
24,00000024,Facultad de Letras,12,120,Universidad Medicina de Macias (República Popular Democrática de Corea)
25,00000025,Facultad de Economía,90,900,Universidad Tecnología de Llamas (Ghana)
26,00000026,Escuela de Ingeniería,17,170,Universidad Artes de Azcona (Mongolia)
27,00000027,Facultad de Educación,10,100,Universidad Europea de Almería (Túnez)
28,00000028,Facultad de Salud,86,860,Universidad Estatal de Ourense (Belice)
29,00000029,Escuela de Enfermería,31,310,Universidad Nacional de Salamanca (República Democrática del Congo)
30,00000030,Facultad de Artes,43,430,Universidad Medicina de Coloma (Austria)
31,00000031,Facultad de Ciencias,99,990,Universidad Internacional de Lugo (Belarús)
32,00000032,Facultad de Derecho,74,740,Universidad Técnica de Guipúzcoa (Bulgaria)
33,00000033,Facultad de Medicina,60,600,Universidad Politécnica de Guadalajara (Ucrania)
34,00000034,Facultad de Letras,30,300,Universidad Humanidades de Company (República Centroafricana)
35,00000035,Facultad de Economía,82,820,Universidad Internacional de La Rioja (República Democrática del Congo)
36,00000036,Escuela de Ingeniería,40,400,Universidad Artes de Lara (Tuvalu)
37,00000037,Facultad de Educación,48,480,Universidad Humanidades de Frías (Georgia)
38,00000038,Facultad de Salud,8,80,Universidad Autónoma de La Coruña (Estonia)
39,00000039,Escuela de Enfermería,36,360,Universidad Medicina de Alegria (Argentina)
40,00000040,Facultad de Artes,14,140,Universidad Politécnica de Toledo (Suriname)
41,00000041,Facultad de Ciencias,72,720,Universidad Complutense de Almería (Panamá)
42,00000042,Facultad de Derecho,65,650,Universidad Tecnología de Arnal (Eslovenia)
43,00000043,Facultad de Medicina,88,880,Universidad Medicina de Zamora (República Centroafricana)
44,00000044,Facultad de Letras,53,530,Universidad Tecnología de Mir (Irán)
45,00000045,Facultad de Economía,26,260,Universidad Ciencias de Vall (Nigeria)
46,00000046,Escuela de Ingeniería,65,650,Universidad Tecnología de Arnal (Eslovenia)
47,00000047,Facultad de Educación,85,850,Universidad Medicina de Arcos (Burkina Faso)
48,00000048,Facultad de Salud,90,900,Universidad Tecnología de Llamas (Ghana)
49,00000049,Escuela de Enfermería,53,530,Universidad Tecnología de Mir (Irán)
50,00000050,Facultad de Artes,7,70,Universidad Medicina de Valencia (Mongolia)
