ID_CLASE_LIQUIDACION,ID_CURSO_ACADEMICO_NK,ID_CLASE_LIQUIDACION_NK,NOMBRE_CLASE_LIQUIDACION,ID_CLASE_LIQUIDACION_DESCR
1,2010,1,Liquidación tipo 1 - 2010/2011,1
2,2010,2,Liquidación tipo 2 - 2010/2011,2
3,2010,3,Liquidación tipo 3 - 2010/2011,3
4,2010,4,Liquidación tipo 4 - 2010/2011,4
5,2010,5,Liquidación tipo 5 - 2010/2011,5
6,2010,6,Liquidación tipo 6 - 2010/2011,6
7,2010,7,Liquidación tipo 7 - 2010/2011,7
8,2010,8,Liquidación tipo 8 - 2010/2011,8
11,2011,1,Liquidación tipo 1 - 2011/2012,11
12,2011,2,Liquidación tipo 2 - 2011/2012,12
13,2011,3,Liquidación tipo 3 - 2011/2012,13
14,2011,4,Liquidación tipo 4 - 2011/2012,14
15,2011,5,Liquidación tipo 5 - 2011/2012,15
16,2011,6,Liquidación tipo 6 - 2011/2012,16
17,2011,7,Liquidación tipo 7 - 2011/2012,17
18,2011,8,Liquidación tipo 8 - 2011/2012,18
21,2012,1,Liquidación tipo 1 - 2012/2013,21
22,2012,2,Liquidación tipo 2 - 2012/2013,22
23,2012,3,Liquidación tipo 3 - 2012/2013,23
24,2012,4,Liquidación tipo 4 - 2012/2013,24
25,2012,5,Liquidación tipo 5 - 2012/2013,25
26,2012,6,Liquidación tipo 6 - 2012/2013,26
27,2012,7,Liquidación tipo 7 - 2012/2013,27
28,2012,8,Liquidación tipo 8 - 2012/2013,28
31,2013,1,Liquidación tipo 1 - 2013/2014,31
32,2013,2,Liquidación tipo 2 - 2013/2014,32
33,2013,3,Liquidación tipo 3 - 2013/2014,33
34,2013,4,Liquidación tipo 4 - 2013/2014,34
35,2013,5,Liquidación tipo 5 - 2013/2014,35
36,2013,6,Liquidación tipo 6 - 2013/2014,36
37,2013,7,Liquidación tipo 7 - 2013/2014,37
38,2013,8,Liquidación tipo 8 - 2013/2014,38
41,2014,1,Liquidación tipo 1 - 2014/2015,41
42,2014,2,Liquidación tipo 2 - 2014/2015,42
43,2014,3,Liquidación tipo 3 - 2014/2015,43
44,2014,4,Liquidación tipo 4 - 2014/2015,44
45,2014,5,Liquidación tipo 5 - 2014/2015,45
46,2014,6,Liquidación tipo 6 - 2014/2015,46
47,2014,7,Liquidación tipo 7 - 2014/2015,47
48,2014,8,Liquidación tipo 8 - 2014/2015,48
51,2015,1,Liquidación tipo 1 - 2015/2016,51
52,2015,2,Liquidación tipo 2 - 2015/2016,52
53,2015,3,Liquidación tipo 3 - 2015/2016,53
54,2015,4,Liquidación tipo 4 - 2015/2016,54
55,2015,5,Liquidación tipo 5 - 2015/2016,55
56,2015,6,Liquidación tipo 6 - 2015/2016,56
57,2015,7,Liquidación tipo 7 - 2015/2016,57
58,2015,8,Liquidación tipo 8 - 2015/2016,58
61,2016,1,Liquidación tipo 1 - 2016/2017,61
62,2016,2,Liquidación tipo 2 - 2016/2017,62
63,2016,3,Liquidación tipo 3 - 2016/2017,63
64,2016,4,Liquidación tipo 4 - 2016/2017,64
65,2016,5,Liquidación tipo 5 - 2016/2017,65
66,2016,6,Liquidación tipo 6 - 2016/2017,66
67,2016,7,Liquidación tipo 7 - 2016/2017,67
68,2016,8,Liquidación tipo 8 - 2016/2017,68
71,2017,1,Liquidación tipo 1 - 2017/2018,71
72,2017,2,Liquidación tipo 2 - 2017/2018,72
73,2017,3,Liquidación tipo 3 - 2017/2018,73
74,2017,4,Liquidación tipo 4 - 2017/2018,74
75,2017,5,Liquidación tipo 5 - 2017/2018,75
76,2017,6,Liquidación tipo 6 - 2017/2018,76
77,2017,7,Liquidación tipo 7 - 2017/2018,77
78,2017,8,Liquidación tipo 8 - 2017/2018,78
81,2018,1,Liquidación tipo 1 - 2018/2019,81
82,2018,2,Liquidación tipo 2 - 2018/2019,82
83,2018,3,Liquidación tipo 3 - 2018/2019,83
84,2018,4,Liquidación tipo 4 - 2018/2019,84
85,2018,5,Liquidación tipo 5 - 2018/2019,85
86,2018,6,Liquidación tipo 6 - 2018/2019,86
87,2018,7,Liquidación tipo 7 - 2018/2019,87
88,2018,8,Liquidación tipo 8 - 2018/2019,88
91,2019,1,Liquidación tipo 1 - 2019/2020,91
92,2019,2,Liquidación tipo 2 - 2019/2020,92
93,2019,3,Liquidación tipo 3 - 2019/2020,93
94,2019,4,Liquidación tipo 4 - 2019/2020,94
95,2019,5,Liquidación tipo 5 - 2019/2020,95
96,2019,6,Liquidación tipo 6 - 2019/2020,96
97,2019,7,Liquidación tipo 7 - 2019/2020,97
98,2019,8,Liquidación tipo 8 - 2019/2020,98
101,2020,1,Liquidación tipo 1 - 2020/2021,101
102,2020,2,Liquidación tipo 2 - 2020/2021,102
103,2020,3,Liquidación tipo 3 - 2020/2021,103
104,2020,4,Liquidación tipo 4 - 2020/2021,104
105,2020,5,Liquidación tipo 5 - 2020/2021,105
106,2020,6,Liquidación tipo 6 - 2020/2021,106
107,2020,7,Liquidación tipo 7 - 2020/2021,107
108,2020,8,Liquidación tipo 8 - 2020/2021,108
111,2021,1,Liquidación tipo 1 - 2021/2022,111
112,2021,2,Liquidación tipo 2 - 2021/2022,112
113,2021,3,Liquidación tipo 3 - 2021/2022,113
114,2021,4,Liquidación tipo 4 - 2021/2022,114
115,2021,5,Liquidación tipo 5 - 2021/2022,115
116,2021,6,Liquidación tipo 6 - 2021/2022,116
117,2021,7,Liquidación tipo 7 - 2021/2022,117
