ID_TIPO_BECA,ID_CURSO_ACADEMICO_NK,ID_TIPO_BECA_NK,ID_TIPO_BECA_DESCR,NOMBRE_TIPO_BECA
1,2010,FP,1,Beca FPU Ministerio
2,2010,FI,2,Beca FPI Ministerio
3,2010,PD,3,Beca PREDOC Universidad
4,2010,MC,4,Beca MINECO
5,2010,AU,5,Beca AUTONÓMICA
6,2010,PR,6,Beca PROPIA Universidad
7,2010,IN,7,Beca INTERNACIONAL
11,2011,FP,11,Beca FPU Ministerio
12,2011,FI,12,Beca FPI Ministerio
13,2011,PD,13,Beca PREDOC Universidad
14,2011,MC,14,Beca MINECO
15,2011,AU,15,Beca AUTONÓMICA
16,2011,PR,16,Beca PROPIA Universidad
17,2011,IN,17,Beca INTERNACIONAL
21,2012,FP,21,Beca FPU Ministerio
22,2012,FI,22,Beca FPI Ministerio
23,2012,PD,23,Beca PREDOC Universidad
24,2012,MC,24,Beca MINECO
25,2012,AU,25,Beca AUTONÓMICA
26,2012,PR,26,Beca PROPIA Universidad
27,2012,IN,27,Beca INTERNACIONAL
31,2013,FP,31,Beca FPU Ministerio
32,2013,FI,32,Beca FPI Ministerio
33,2013,PD,33,Beca PREDOC Universidad
34,2013,MC,34,Beca MINECO
35,2013,AU,35,Beca AUTONÓMICA
36,2013,PR,36,Beca PROPIA Universidad
37,2013,IN,37,Beca INTERNACIONAL
41,2014,FP,41,Beca FPU Ministerio
42,2014,FI,42,Beca FPI Ministerio
43,2014,PD,43,Beca PREDOC Universidad
44,2014,MC,44,Beca MINECO
45,2014,AU,45,Beca AUTONÓMICA
46,2014,PR,46,Beca PROPIA Universidad
47,2014,IN,47,Beca INTERNACIONAL
51,2015,FP,51,Beca FPU Ministerio
52,2015,FI,52,Beca FPI Ministerio
53,2015,PD,53,Beca PREDOC Universidad
54,2015,MC,54,Beca MINECO
55,2015,AU,55,Beca AUTONÓMICA
56,2015,PR,56,Beca PROPIA Universidad
57,2015,IN,57,Beca INTERNACIONAL
61,2016,FP,61,Beca FPU Ministerio
62,2016,FI,62,Beca FPI Ministerio
63,2016,PD,63,Beca PREDOC Universidad
64,2016,MC,64,Beca MINECO
65,2016,AU,65,Beca AUTONÓMICA
66,2016,PR,66,Beca PROPIA Universidad
67,2016,IN,67,Beca INTERNACIONAL
71,2017,FP,71,Beca FPU Ministerio
72,2017,FI,72,Beca FPI Ministerio
73,2017,PD,73,Beca PREDOC Universidad
74,2017,MC,74,Beca MINECO
75,2017,AU,75,Beca AUTONÓMICA
76,2017,PR,76,Beca PROPIA Universidad
77,2017,IN,77,Beca INTERNACIONAL
81,2018,FP,81,Beca FPU Ministerio
82,2018,FI,82,Beca FPI Ministerio
83,2018,PD,83,Beca PREDOC Universidad
84,2018,MC,84,Beca MINECO
85,2018,AU,85,Beca AUTONÓMICA
86,2018,PR,86,Beca PROPIA Universidad
87,2018,IN,87,Beca INTERNACIONAL
91,2019,FP,91,Beca FPU Ministerio
92,2019,FI,92,Beca FPI Ministerio
93,2019,PD,93,Beca PREDOC Universidad
94,2019,MC,94,Beca MINECO
95,2019,AU,95,Beca AUTONÓMICA
96,2019,PR,96,Beca PROPIA Universidad
97,2019,IN,97,Beca INTERNACIONAL
101,2020,FP,101,Beca FPU Ministerio
102,2020,FI,102,Beca FPI Ministerio
103,2020,PD,103,Beca PREDOC Universidad
104,2020,MC,104,Beca MINECO
105,2020,AU,105,Beca AUTONÓMICA
106,2020,PR,106,Beca PROPIA Universidad
107,2020,IN,107,Beca INTERNACIONAL
111,2021,FP,111,Beca FPU Ministerio
112,2021,FI,112,Beca FPI Ministerio
113,2021,PD,113,Beca PREDOC Universidad
114,2021,MC,114,Beca MINECO
115,2021,AU,115,Beca AUTONÓMICA
116,2021,PR,116,Beca PROPIA Universidad
117,2021,IN,117,Beca INTERNACIONAL
121,2022,FP,121,Beca FPU Ministerio
122,2022,FI,122,Beca FPI Ministerio
123,2022,PD,123,Beca PREDOC Universidad
124,2022,MC,124,Beca MINECO
125,2022,AU,125,Beca AUTONÓMICA
126,2022,PR,126,Beca PROPIA Universidad
127,2022,IN,127,Beca INTERNACIONAL
131,2023,FP,131,Beca FPU Ministerio
132,2023,FI,132,Beca FPI Ministerio
133,2023,PD,133,Beca PREDOC Universidad
134,2023,MC,134,Beca MINECO
135,2023,AU,135,Beca AUTONÓMICA
136,2023,PR,136,Beca PROPIA Universidad
137,2023,IN,137,Beca INTERNACIONAL
141,2024,FP,141,Beca FPU Ministerio
142,2024,FI,142,Beca FPI Ministerio
143,2024,PD,143,Beca PREDOC Universidad
144,2024,MC,144,Beca MINECO
145,2024,AU,145,Beca AUTONÓMICA
146,2024,PR,146,Beca PROPIA Universidad
147,2024,IN,147,Beca INTERNACIONAL
