ID_ESTUDIO_PROPIO,ID_ESTUDIO_PROPIO_NK,ID_ESTUDIO_PROPIO_EDICION_NK,NOMBRE_ESTUDIO_PROPIO,NOMBRE_ESTUDIO_PROPIO_EXT,ID_ESTUDIO_PROPIO_DESCR
1,100,2,Estudios en Psicología Aplicada,Estudios en Psicología Aplicada - Edición 2 (1972),1000
2,200,1,Estudios en Estudios Culturales,Estudios en Estudios Culturales - Edición 1 (1974),2000
3,300,10,Estudios en Logística y Cadena de Suministro,Estudios en Logística y Cadena de Suministro - Edición 10 (2023),3000
4,400,7,Estudios en Ciencias de la Salud,Estudios en Ciencias de la Salud - Edición 7 (1997),4000
5,500,9,Estudios en Recursos Humanos,Estudios en Recursos Humanos - Edición 9 (2004),5000
6,600,4,Estudios en Recursos Humanos,Estudios en Recursos Humanos - Edición 4 (1989),6000
7,700,3,Estudios en Tecnologías de la Información,Estudios en Tecnologías de la Información - Edición 3 (2012),7000
8,800,6,Estudios en Estudios Culturales,Estudios en Estudios Culturales - Edición 6 (2018),8000
9,900,4,Estudios en Derecho Internacional,Estudios en Derecho Internacional - Edición 4 (2004),9000
10,1000,8,Estudios en Logística y Cadena de Suministro,Estudios en Logística y Cadena de Suministro - Edición 8 (2022),10000
11,1100,4,Estudios en Psicología Aplicada,Estudios en Psicología Aplicada - Edición 4 (1998),11000
12,1200,3,Estudios en Sostenibilidad y Medio Ambiente,Estudios en Sostenibilidad y Medio Ambiente - Edición 3 (1998),12000
13,1300,2,Estudios en Logística y Cadena de Suministro,Estudios en Logística y Cadena de Suministro - Edición 2 (2017),13000
14,1400,1,Estudios en Gestión Empresarial,Estudios en Gestión Empresarial - Edición 1 (1997),14000
15,1500,10,Estudios en Tecnologías de la Información,Estudios en Tecnologías de la Información - Edición 10 (1975),15000
16,1600,8,Estudios en Gestión Empresarial,Estudios en Gestión Empresarial - Edición 8 (2013),16000
17,1700,10,Estudios en Tecnologías de la Información,Estudios en Tecnologías de la Información - Edición 10 (2006),17000
18,1800,4,Estudios en Finanzas y Contabilidad,Estudios en Finanzas y Contabilidad - Edición 4 (2006),18000
19,1900,3,Estudios en Tecnologías de la Información,Estudios en Tecnologías de la Información - Edición 3 (2011),19000
20,2000,9,Estudios en Traducción e Interpretación,Estudios en Traducción e Interpretación - Edición 9 (1980),20000
21,2100,2,Estudios en Finanzas y Contabilidad,Estudios en Finanzas y Contabilidad - Edición 2 (1988),21000
22,2200,10,Estudios en Recursos Humanos,Estudios en Recursos Humanos - Edición 10 (1975),22000
23,2300,6,Estudios en Recursos Humanos,Estudios en Recursos Humanos - Edición 6 (1991),23000
24,2400,3,Estudios en Gestión Empresarial,Estudios en Gestión Empresarial - Edición 3 (1975),24000
25,2500,8,Estudios en Estudios Culturales,Estudios en Estudios Culturales - Edición 8 (2004),25000
26,2600,2,Estudios en Marketing Digital,Estudios en Marketing Digital - Edición 2 (1983),26000
27,2700,1,Estudios en Traducción e Interpretación,Estudios en Traducción e Interpretación - Edición 1 (2024),27000
28,2800,7,Estudios en Recursos Humanos,Estudios en Recursos Humanos - Edición 7 (1980),28000
29,2900,9,Estudios en Tecnologías de la Información,Estudios en Tecnologías de la Información - Edición 9 (2006),29000
30,3000,7,Estudios en Inteligencia Artificial,Estudios en Inteligencia Artificial - Edición 7 (1992),30000
