ID_GRUPO,NOMBRE_GRUPO,ID_CURSO_ACADEMICO_NK,ID_CENTRO_NK,ID_ASIGNATURA_NK,ID_GRUPO_NK,ID_GRUPO_DESCR,ID_TIPO_PERIODO_LECTIVO_NK,ID_VALOR_PERIODO_LECTIVO_NK
1,Grupo A,2022,27,147,1,1,A,2
2,Grupo A,2023,16,430,1,2,A,1
3,Grupo A,2015,36,14,1,3,S,2
4,Grupo A,2020,33,172,1,4,A,2
5,Grupo A,2015,29,113,1,5,A,1
6,Grupo A,2018,43,408,1,6,A,1
7,Grupo A,2019,4,123,1,7,A,2
8,Grupo A,2013,30,435,1,8,A,1
9,Grupo A,2021,37,284,1,9,A,2
10,Grupo A,2021,14,91,1,10,S,1
11,Grupo A,2018,39,441,1,11,A,1
12,Grupo A,2010,48,209,1,12,S,2
13,Grupo A,2021,17,188,1,13,A,2
14,Grupo A,2010,6,311,1,14,A,2
15,Grupo A,2014,5,472,1,15,A,2
16,Grupo A,2019,15,407,1,16,A,2
17,Grupo A,2022,43,464,1,17,A,1
18,Grupo A,2013,30,285,1,18,S,2
19,Grupo A,2024,37,400,1,19,S,2
20,Grupo A,2019,18,119,1,20,A,1
