ID_NACIONALIDAD,NOMBRE_NACIONALIDAD,NOMBRE_PAIS
1,Nacional de Andorra,Andorra
2,Nacional de Comoras,Comoras
3,Nacional de Belarús,Belarús
4,Nacional de Barbados,Barbados
5,Nacional de Tayikistán,Tayikistán
6,Nacional de Zambia,Zambia
7,Nacional de Suecia,Suecia
8,Nacional de Micronesia,Micronesia
9,Nacional de Maldivas,Maldivas
10,Española,España
11,Nacional de Qatar,Qatar
12,Nacional de Mozambique,Mozambique
13,Nacional de Canadá,Canadá
14,Nacional de Etiopía,Etiopía
15,Nacional de Irán,Irán
16,Nacional de Tailandia,Tailandia
17,Nacional de Jordania,Jordania
18,Nacional de Bahamas,Bahamas
19,Nacional de Congo,Congo
20,Nacional de Togo,Togo
21,Nacional de Saint Kitts y Nevis,Saint Kitts y Nevis
22,Nacional de Ucrania,Ucrania
23,Nacional de Eslovaquia,Eslovaquia
24,Nacional de Bosnia y Herzegovina,Bosnia y Herzegovina
25,Nacional de Albania,Albania
26,Nacional de Letonia,Letonia
27,Nacional de República Popular Democrática ...,República Popular Democrática de Corea
28,Nacional de Georgia,Georgia
29,Nacional de El Salvador,El Salvador
30,Nacional de Nigeria,Nigeria
31,Nacional de República Unida de Tanzanía,República Unida de Tanzanía
32,Nacional de Gabón,Gabón
33,Nacional de Niger,Niger
34,Nacional de San Marino,San Marino
35,Nacional de República Federal Democrática ...,República Federal Democrática de Nepal
36,Nacional de Bolivia,Bolivia
37,Nacional de Mauritania,Mauritania
38,Nacional de Suriname,Suriname
39,Nacional de Eslovenia,Eslovenia
40,Nacional de Jamaica,Jamaica
41,Nacional de Haití,Haití
42,Nacional de Lituania,Lituania
43,Española,España
44,Nacional de República de Moldova,República de Moldova
45,Nacional de Túnez,Túnez
46,Nacional de Benin,Benin
47,Nacional de Belice,Belice
48,Nacional de Costa Rica,Costa Rica
49,Nacional de Polonia,Polonia
50,Nacional de Italia,Italia
