ID_NIVEL_IDIOMA,ID_NIVEL_IDIOMA_NK,NOMBRE_NIVEL_IDIOMA,DESCRIPCION_NIVEL_IDIOMA,EQUIVALENCIA_SISTEMA_MCER,ORDEN_NIVEL_IDIOMA,FECHA_CARGA
1,A1,Acceso,Básico - Acceso,Principiante,1,2023-02-18
2,A2,Plataforma,Básico - Plataforma,Elemental,2,2023-05-04
3,B1,Intermedio,Intermedio - Umbral,Intermedio,3,2021-10-11
4,B2,Intermedio alto,Intermedio - Avanzado,Intermedio alto,4,2022-06-25
5,C1,Dominio eficaz,Competente - Dominio,Avanzado,5,2023-06-08
6,C2,Maestría,Competente - Maestría,Proficiencia,6,2022-10-30
7,N1,Nativo,Lengua materna,Nativo,7,2022-05-23
8,NC,No consta,Sin nivel definido,No especificado,8,2023-01-27
9,NA,No aplica,No requiere nivel,No aplica,9,2022-07-02
10,XX,Otros,Otro sistema de certificación,Otros,10,2020-11-21
