ID_PAIS,NOMBRE_PAIS,ID_PAIS_NK,NOMBRE_NACIONALIDAD,ID_PAIS_DESCR,SN_PERTENECE_EEES,FLG_EXTRANJERO,SN_EXTRANJERO
1,España,ESP,Española,1,S,0,N
2,Singapur,COG,Nacional de Singapur,2,S,1,S
3,Vietman,ISL,Nacional de Vietman,3,N,1,S
4,Estonia,CUB,Nacional de Estonia,4,S,1,S
5,Tailandia,SWZ,Nacional de Tailandia,5,S,1,S
6,Bolivia,UKR,Nacional de Bolivia,6,S,1,S
7,Argentina,AUT,Nacional de Argentina,7,S,1,S
8,España,HTI,Nacional de España,8,S,1,S
9,Samoa,ARG,Nacional de Samoa,9,S,1,S
10,El Salvador,VCT,Nacional de El Salvador,10,S,1,S
11,Maldivas,GIN,Nacional de Maldivas,11,S,1,S
12,República Unida de Tanzanía,ITA,Nacional de República Unida de Tanzanía,12,S,1,S
13,Congo,MCO,Nacional de Congo,13,S,1,S
14,Italia,DEU,Nacional de Italia,14,N,1,S
15,Israel,CAN,Nacional de Israel,15,S,1,S
16,Letonia,BLR,Nacional de Letonia,16,N,1,S
17,Jamaica,URY,Nacional de Jamaica,17,N,1,S
18,Austria,ZAF,Nacional de Austria,18,S,1,S
19,Qatar,CMR,Nacional de Qatar,19,S,1,S
20,Benin,TGO,Nacional de Benin,20,N,1,S
21,Serbia,VNM,Nacional de Serbia,21,N,1,S
22,República Dominicana,FIN,Nacional de República Dominicana,22,S,1,S
23,Suecia,GTM,Nacional de Suecia,23,N,1,S
24,Federación de Rusia,BLZ,Nacional de Federación de Rusia,24,S,1,S
25,Guinea,PHL,Nacional de Guinea,25,N,1,S
26,Costa Rica,MNG,Nacional de Costa Rica,26,N,1,S
27,Eslovaquia,SLV,Nacional de Eslovaquia,27,N,1,S
28,Túnez,KAZ,Nacional de Túnez,28,S,1,S
29,San Marino,ZWE,Nacional de San Marino,29,N,1,S
30,Portugal,HND,Nacional de Portugal,30,N,1,S
31,Mozambique,MUS,Nacional de Mozambique,31,N,1,S
32,Togo,THA,Nacional de Togo,32,N,1,S
33,Timor-Leste,LBR,Nacional de Timor-Leste,33,S,1,S
34,Etiopía,AUS,Nacional de Etiopía,34,N,1,S
35,Lituania,IRQ,Nacional de Lituania,35,S,1,S
36,Eslovenia,TUN,Nacional de Eslovenia,36,N,1,S
37,Sudán,SLB,Nacional de Sudán,37,S,1,S
38,Somalia,PAK,Nacional de Somalia,38,N,1,S
39,Ghana,HUN,Nacional de Ghana,39,S,1,S
40,Zambia,TUV,Nacional de Zambia,40,S,1,S
41,República Popular Democrática de Corea,MOZ,Nacional de República Popular Democrática ...,41,N,1,S
42,Estados Unidos de América,SWE,Nacional de Estados Unidos de América,42,S,1,S
43,Bosnia y Herzegovina,TWN,Nacional de Bosnia y Herzegovina,43,S,1,S
44,Burkina Faso,YEM,Nacional de Burkina Faso,44,N,1,S
45,Tayikistán,NOR,Nacional de Tayikistán,45,S,1,S
46,Barbados,MDV,Nacional de Barbados,46,S,1,S
47,Rwanda,PRT,Nacional de Rwanda,47,S,1,S
48,Gabón,ATG,Nacional de Gabón,48,S,1,S
49,Zimbabwe,BIH,Nacional de Zimbabwe,49,N,1,S
50,Haití,NZL,Nacional de Haití,50,N,1,S
51,Mongolia,AND,Nacional de Mongolia,51,N,1,S
