ID_PLAN_ESTUDIO_ANO_DATOS,ID_CURSO_ACADEMICO_NK,ID_PLAN_ESTUDIO_NK,ID_TIPO_ESTUDIO_NK,ID_MODALIDAD_PLAN_NK,EXPERIMENTALIDAD,CREDITOS_OFERTADOS,ID_CENTRO_OFERTA_NK,NUM_PLAZAS_OFERTADAS,FLG_OFERTA,ID_CENTRO_MATRICULA_NK,NUM_EXPEDIENTES_MATRI,FLG_MATRICULA,ID_CENTRO_CENT_PLAN_NK,FLG_CENT_PLAN,ID_AMBITO_CONOCIMIENTO,ID_AMBITO_CONOCIMIENTO_NK,NOMBRE_AMBITO_CONOCIMIENTO
1,2010,10090,10,VIR,4,252,90,52,1,73,138,1,12,1,4,AM004,Ámbito de conocimiento 4
2,2010,10041,10,PRE,1,203,94,52,1,24,101,1,76,1,1,AM001,Ámbito de conocimiento 1
3,2010,10066,9,HYB,2,280,2,85,1,82,115,1,59,1,3,AM003,Ámbito de conocimiento 3
4,2010,10014,8,PRE,2,219,88,194,1,25,53,1,40,1,2,AM002,Ámbito de conocimiento 2
5,2010,10052,3,VIR,4,270,37,75,1,36,55,1,73,1,11,AM011,Ámbito de conocimiento 11
6,2011,10061,5,HYB,4,208,25,99,1,26,65,1,38,1,9,AM009,Ámbito de conocimiento 9
7,2011,10049,2,SEM,4,213,12,155,1,46,168,1,47,1,12,AM012,Ámbito de conocimiento 12
8,2011,10085,4,SEM,5,237,81,73,1,5,169,1,50,1,5,AM005,Ámbito de conocimiento 5
9,2011,10044,10,PRE,5,252,27,141,1,45,93,1,27,1,11,AM011,Ámbito de conocimiento 11
10,2011,10039,10,VIR,5,250,96,98,1,12,151,1,99,1,7,AM007,Ámbito de conocimiento 7
11,2012,10061,5,SEM,3,207,60,96,1,5,49,1,67,1,6,AM006,Ámbito de conocimiento 6
12,2012,10075,9,SEM,4,197,60,180,1,42,115,1,73,1,13,AM013,Ámbito de conocimiento 13
13,2012,10020,6,PRE,5,295,5,112,1,90,46,1,81,1,12,AM012,Ámbito de conocimiento 12
14,2012,10029,4,SEM,1,200,54,151,1,43,106,1,83,1,4,AM004,Ámbito de conocimiento 4
15,2012,10050,5,SEM,2,296,46,108,1,21,139,1,70,1,6,AM006,Ámbito de conocimiento 6
16,2013,10067,1,VIR,1,236,79,146,1,76,167,1,89,1,14,AM014,Ámbito de conocimiento 14
17,2013,10031,6,SEM,4,240,32,94,1,93,115,1,77,1,11,AM011,Ámbito de conocimiento 11
18,2013,10054,3,DIS,4,266,52,106,1,6,79,1,98,1,17,AM017,Ámbito de conocimiento 17
19,2013,10027,1,HYB,1,233,55,98,1,74,122,1,76,1,1,AM001,Ámbito de conocimiento 1
20,2013,10060,8,DIS,2,245,22,106,1,77,154,1,26,1,19,AM019,Ámbito de conocimiento 19
21,2014,10035,3,PRE,2,196,85,115,1,7,43,1,40,1,5,AM005,Ámbito de conocimiento 5
22,2014,10024,6,VIR,3,238,51,72,1,59,20,1,85,1,5,AM005,Ámbito de conocimiento 5
23,2014,10039,8,DIS,2,293,23,107,1,40,40,1,24,1,8,AM008,Ámbito de conocimiento 8
24,2014,10064,8,DIS,2,235,12,92,1,20,162,1,100,1,12,AM012,Ámbito de conocimiento 12
25,2014,10027,6,HYB,1,241,21,118,1,13,140,1,71,1,13,AM013,Ámbito de conocimiento 13
26,2015,10020,10,VIR,2,296,61,126,1,60,82,1,98,1,4,AM004,Ámbito de conocimiento 4
27,2015,10018,5,PRE,4,196,41,64,1,52,103,1,37,1,14,AM014,Ámbito de conocimiento 14
28,2015,10068,5,PRE,5,230,69,48,1,45,145,1,86,1,19,AM019,Ámbito de conocimiento 19
29,2015,10019,2,PRE,1,208,78,75,1,99,80,1,48,1,12,AM012,Ámbito de conocimiento 12
30,2015,10067,3,HYB,3,244,1,186,1,77,121,1,10,1,8,AM008,Ámbito de conocimiento 8
31,2016,10053,6,VIR,2,243,25,41,1,28,97,1,56,1,3,AM003,Ámbito de conocimiento 3
32,2016,10035,9,SEM,3,229,84,76,1,55,58,1,37,1,10,AM010,Ámbito de conocimiento 10
33,2016,10082,2,HYB,4,266,62,38,1,34,127,1,23,1,6,AM006,Ámbito de conocimiento 6
34,2016,10051,10,DIS,4,267,67,57,1,60,41,1,45,1,4,AM004,Ámbito de conocimiento 4
