ID_PLAN_ESTUDIO_ASIGNATURA,ID_ASIGNATURA,ID_ASIGNATURA_NK,ID_PLAN_ESTUDIO,ID_PLAN_ESTUDIO_NK,ID_CLASE_ASIGNATURA,ID_CLASE_ASIGNATURA_NK,CURSO_ORDEN,TIPO_PERIODO,VALOR_PERIODO
1,1,1,1,10001,4,B,1,A,1
2,2,2,1,10001,2,O,2,A,1
3,3,3,1,10001,1,T,4,S,2
4,4,4,1,10001,3,P,4,A,1
5,5,5,1,10001,3,P,3,A,1
6,6,6,1,10001,1,T,3,S,1
7,7,7,1,10001,1,T,1,S,2
8,8,8,1,10001,3,P,2,S,2
9,9,9,1,10001,2,O,2,A,1
10,10,10,1,10001,2,O,1,A,1
11,11,11,1,10001,2,O,1,S,1
12,12,12,1,10001,1,T,3,A,1
13,13,13,1,10001,5,L,1,S,2
14,14,14,1,10001,5,L,3,A,1
15,15,15,1,10001,4,B,1,S,1
16,16,16,1,10001,3,P,1,A,1
17,17,17,1,10001,1,T,4,S,2
18,18,18,1,10001,1,T,1,A,1
19,19,19,1,10001,3,P,2,A,1
20,20,20,1,10001,4,B,3,S,2
21,21,21,1,10001,4,B,4,A,1
22,22,22,1,10001,1,T,4,A,1
23,23,23,1,10001,4,B,2,S,1
24,24,24,1,10001,1,T,4,A,1
25,25,25,1,10001,2,O,4,A,1
26,26,26,1,10001,1,T,1,S,2
27,27,27,1,10001,4,B,2,S,1
28,28,28,1,10001,4,B,3,S,1
29,29,29,1,10001,5,L,1,S,1
30,30,30,1,10001,1,T,3,S,1
31,31,31,1,10001,5,L,4,S,2
32,32,32,1,10001,1,T,1,A,1
33,33,33,1,10001,1,T,1,A,1
34,34,34,1,10001,4,B,3,A,1
35,35,35,1,10001,2,O,4,S,1
36,36,36,1,10001,4,B,1,S,2
37,37,37,1,10001,5,L,3,S,2
38,38,38,1,10001,4,B,2,A,1
39,39,39,1,10001,4,B,2,S,1
40,40,40,1,10001,4,B,4,S,2
41,41,41,1,10001,4,B,2,A,1
42,42,42,1,10001,2,O,3,S,1
43,43,43,1,10001,1,T,3,A,1
44,44,44,1,10001,3,P,3,A,1
45,45,45,1,10001,5,L,2,S,2
46,46,46,1,10001,5,L,3,S,2
47,47,47,1,10001,3,P,3,S,2
48,48,48,1,10001,1,T,4,A,1
49,49,49,1,10001,2,O,3,S,1
50,50,50,1,10001,4,B,4,A,1
51,51,51,1,10001,5,L,2,A,1
52,52,52,1,10001,3,P,1,A,1
53,53,53,1,10001,4,B,2,A,1
54,54,54,1,10001,4,B,4,S,1
55,55,55,1,10001,1,T,4,S,1
56,56,56,1,10001,2,O,4,A,1
57,57,57,1,10001,3,P,4,S,2
58,58,58,1,10001,4,B,4,S,1
59,59,59,1,10001,1,T,2,A,1
60,60,60,1,10001,3,P,3,A,1
61,61,61,1,10001,2,O,2,S,1
62,62,62,1,10001,3,P,2,S,1
63,63,63,1,10001,3,P,1,A,1
64,64,64,1,10001,3,P,4,A,1
65,65,65,1,10001,4,B,2,S,1
66,66,66,1,10001,2,O,3,A,1
67,67,67,1,10001,1,T,3,A,1
68,68,68,1,10001,5,L,4,S,1
69,69,69,1,10001,2,O,3,A,1
70,70,70,1,10001,3,P,1,A,1
71,71,71,1,10001,1,T,4,S,2
72,72,72,1,10001,4,B,3,A,1
73,73,73,1,10001,1,T,3,A,1
74,74,74,1,10001,1,T,4,S,1
75,75,75,1,10001,1,T,2,A,1
76,76,76,1,10001,2,O,3,S,1
77,77,77,1,10001,1,T,1,S,1
78,78,78,1,10001,2,O,4,S,1
79,79,79,1,10001,5,L,2,S,1
80,80,80,1,10001,1,T,1,A,1
81,81,81,1,10001,4,B,2,S,2
82,82,82,1,10001,3,P,3,A,1
83,83,83,1,10001,3,P,1,S,2
84,84,84,1,10001,1,T,4,S,1
85,85,85,1,10001,2,O,3,A,1
86,86,86,1,10001,4,B,3,A,1
87,87,87,1,10001,1,T,4,S,2
88,88,88,1,10001,3,P,4,S,2
89,89,89,1,10001,1,T,1,S,2
90,90,90,1,10001,2,O,2,S,2
91,91,91,1,10001,5,L,1,A,1
92,92,92,1,10001,5,L,3,S,1
93,93,93,1,10001,2,O,2,S,1
94,94,94,1,10001,3,P,3,S,2
95,95,95,1,10001,1,T,1,S,2
96,96,96,1,10001,5,L,2,A,1
97,97,97,1,10001,4,B,3,A,1
98,98,98,1,10001,4,B,4,S,1
99,99,99,1,10001,4,B,1,A,1
100,100,100,1,10001,3,P,1,S,2
101,101,101,1,10001,1,T,1,S,2
102,102,102,1,10001,3,P,3,S,1
103,103,103,1,10001,4,B,1,A,1
104,104,104,1,10001,3,P,4,A,1
105,105,105,1,10001,5,L,2,S,1
106,106,106,1,10001,3,P,1,S,2
107,107,107,1,10001,3,P,3,S,2
108,108,108,1,10001,4,B,3,S,1
109,109,109,1,10001,5,L,2,A,1
110,110,110,1,10001,4,B,1,S,1
111,111,111,1,10001,3,P,4,A,1
112,112,112,1,10001,4,B,1,S,1
113,113,113,1,10001,4,B,1,A,1
114,114,114,1,10001,2,O,4,S,2
115,115,115,1,10001,1,T,4,S,2
116,116,116,1,10001,1,T,4,S,1
117,117,117,1,10001,1,T,2,A,1
118,118,118,1,10001,5,L,1,A,1
119,119,119,1,10001,3,P,1,A,1
120,120,120,1,10001,4,B,2,A,1
121,121,121,1,10001,2,O,2,S,1
122,122,122,1,10001,5,L,2,S,1
123,123,123,1,10001,4,B,1,S,2
124,124,124,1,10001,2,O,2,S,2
125,125,125,1,10001,1,T,1,A,1
126,126,126,1,10001,3,P,2,A,1
127,127,127,1,10001,5,L,4,S,2
128,128,128,1,10001,1,T,1,S,1
129,129,129,1,10001,4,B,2,S,2
130,130,130,1,10001,2,O,1,S,1
131,131,131,1,10001,5,L,1,S,2
132,132,132,1,10001,2,O,4,S,1
133,133,133,1,10001,3,P,4,S,2
134,134,134,1,10001,5,L,4,A,1
135,135,135,1,10001,2,O,1,A,1
136,136,136,1,10001,5,L,4,S,1
137,137,137,1,10001,1,T,3,S,2
138,138,138,1,10001,4,B,1,S,2
139,139,139,1,10001,5,L,4,S,1
140,140,140,1,10001,4,B,2,S,1
141,141,141,1,10001,3,P,4,S,2
142,142,142,1,10001,3,P,2,A,1
143,143,143,1,10001,4,B,3,S,1
144,144,144,1,10001,4,B,3,S,2
145,145,145,1,10001,3,P,3,S,1
146,146,146,1,10001,5,L,2,S,1
147,147,147,1,10001,4,B,4,A,1
148,148,148,1,10001,5,L,2,A,1
149,149,149,1,10001,4,B,2,S,1
150,150,150,1,10001,4,B,4,S,2
151,151,151,1,10001,1,T,2,A,1
152,152,152,1,10001,4,B,1,A,1
153,153,153,1,10001,3,P,3,S,2
154,154,154,1,10001,2,O,2,A,1
155,155,155,1,10001,2,O,1,A,1
156,156,156,1,10001,5,L,3,S,1
157,157,157,1,10001,5,L,2,A,1
158,158,158,1,10001,1,T,2,S,2
159,159,159,1,10001,3,P,3,S,1
160,160,160,1,10001,5,L,3,A,1
161,161,161,1,10001,5,L,1,A,1
162,162,162,1,10001,4,B,4,S,1
163,163,163,1,10001,5,L,1,A,1
164,164,164,1,10001,2,O,1,A,1
165,165,165,1,10001,3,P,2,A,1
166,166,166,1,10001,2,O,2,S,1
167,167,167,1,10001,5,L,3,S,2
168,168,168,1,10001,2,O,1,A,1
169,169,169,1,10001,4,B,3,S,1
170,170,170,1,10001,1,T,1,A,1
171,171,171,1,10001,4,B,4,S,1
172,172,172,1,10001,4,B,2,S,2
173,173,173,1,10001,5,L,3,A,1
174,174,174,1,10001,4,B,1,S,2
175,175,175,1,10001,2,O,4,S,1
176,176,176,1,10001,5,L,2,S,1
177,177,177,1,10001,4,B,2,S,2
178,178,178,1,10001,1,T,4,S,2
179,179,179,1,10001,5,L,1,S,1
180,180,180,1,10001,4,B,1,A,1
181,181,181,1,10001,4,B,1,S,2
182,182,182,1,10001,3,P,4,A,1
183,183,183,1,10001,3,P,4,A,1
184,184,184,1,10001,1,T,4,A,1
185,185,185,1,10001,5,L,2,A,1
186,186,186,1,10001,5,L,3,S,2
187,187,187,1,10001,5,L,3,S,2
188,188,188,1,10001,1,T,1,S,1
189,189,189,1,10001,5,L,4,S,1
190,190,190,1,10001,5,L,4,S,2
191,191,191,1,10001,3,P,2,S,1
192,192,192,1,10001,2,O,1,S,2
193,193,193,1,10001,2,O,2,S,1
194,194,194,1,10001,5,L,1,S,2
195,195,195,1,10001,1,T,2,A,1
196,196,196,1,10001,1,T,1,S,1
197,197,197,1,10001,4,B,3,S,1
198,198,198,1,10001,4,B,1,S,2
199,199,199,1,10001,4,B,3,A,1
200,200,200,1,10001,3,P,1,A,1
201,201,201,1,10001,1,T,4,S,1
