ID_POBLACION,NOMBRE_POBLACION,ID_PROVINCIA,NOMBRE_PROVINCIA,ID_CCAA,NOMBRE_CCAA,ID_PAIS,NOMBRE_PAIS,FECHA_CARGA
1,Guipúzcoa,1063,Álava,1211,País Vasco,8,España,2022-05-10
2,Segovia,1063,Álava,1211,País Vasco,8,España,2022-03-08
3,Guipúzcoa,1063,Álava,1211,País Vasco,8,España,2023-04-11
4,Guadalajara,1063,Álava,1211,País Vasco,8,España,2023-11-25
5,Murcia,1020,Albacete,1877,Castilla-La Mancha,8,España,2023-03-25
6,Salamanca,1020,Albacete,1877,Castilla-La Mancha,8,España,2022-02-18
7,Ciudad,1020,Albacete,1877,Castilla-La Mancha,8,España,2022-09-03
8,Ceuta,1020,Albacete,1877,Castilla-La Mancha,8,España,2020-01-13
9,Las Palmas,1965,Alicante,1360,Comunidad Valenciana,8,España,2021-09-03
10,Valladolid,1965,Alicante,1360,Comunidad Valenciana,8,España,2022-03-09
11,León,1965,Alicante,1360,Comunidad Valenciana,8,España,2022-05-08
12,Tarragona,1965,Alicante,1360,Comunidad Valenciana,8,España,2023-01-07
13,Albacete,1765,Almería,1752,Andalucía,8,España,2023-01-23
14,Guadalajara,1765,Almería,1752,Andalucía,8,España,2023-05-20
15,Girona,1765,Almería,1752,Andalucía,8,España,2021-03-27
16,Huesca,1765,Almería,1752,Andalucía,8,España,2022-09-26
17,Burgos,1224,Asturias,1279,Principado de Asturias,8,España,2022-06-11
18,Melilla,1224,Asturias,1279,Principado de Asturias,8,España,2022-09-21
19,Ourense,1224,Asturias,1279,Principado de Asturias,8,España,2020-02-29
20,Cáceres,1224,Asturias,1279,Principado de Asturias,8,España,2022-03-07
21,Ávila,1344,Ávila,1684,Castilla y León,8,España,2023-10-22
22,Salamanca,1344,Ávila,1684,Castilla y León,8,España,2022-04-08
23,Madrid,1344,Ávila,1684,Castilla y León,8,España,2020-12-04
24,Ceuta,1344,Ávila,1684,Castilla y León,8,España,2022-08-15
25,Santa Cruz de Tenerife,1941,Badajoz,1130,Extremadura,8,España,2023-06-28
26,Lleida,1941,Badajoz,1130,Extremadura,8,España,2022-12-29
27,Sevilla,1941,Badajoz,1130,Extremadura,8,España,2020-02-25
28,Zaragoza,1941,Badajoz,1130,Extremadura,8,España,2022-03-17
29,Girona,1606,Barcelona,1577,Cataluña,8,España,2023-09-19
30,Asturias,1606,Barcelona,1577,Cataluña,8,España,2020-02-25
31,Huelva,1606,Barcelona,1577,Cataluña,8,España,2020-06-20
32,Santa Cruz de Tenerife,1606,Barcelona,1577,Cataluña,8,España,2023-08-09
