ID_POBLACION,NOMBRE_POBLACION
1,Guipúzcoa
2,Segovia
3,Guipúzcoa
4,Guadalajara
5,Murcia
6,Salamanca
7,Ciudad
8,Ceuta
9,Las Palmas
10,Valladolid
11,León
12,Tarragona
13,Albacete
14,Guadalajara
15,Girona
16,Huesca
17,Burgos
18,Melilla
19,Ourense
20,Cáceres
21,Ávila
22,Salamanca
23,Madrid
24,Ceuta
25,Santa Cruz de Tenerife
26,Lleida
27,Sevilla
28,Zaragoza
29,Girona
30,Asturias
31,Huelva
32,Santa Cruz de Tenerife
33,Tarragona
34,Lleida
35,Cantabria
36,Lugo
37,Ciudad
38,Ourense
39,Ourense
40,Tarragona
41,Albacete
42,Cuenca
43,Ourense
44,Pontevedra
45,Girona
46,Pontevedra
47,Ceuta
48,Salamanca
49,Soria
50,Santa Cruz de Tenerife
51,Santa Cruz de Tenerife
52,Granada
53,Alicante
54,Toledo
55,Ávila
56,Guadalajara
57,Cádiz
58,Barcelona
59,Melilla
60,Cáceres
61,Lugo
62,Valencia
63,Zaragoza
64,Lleida
65,Burgos
66,Soria
67,Zaragoza
68,Ávila
69,Álava
70,Murcia
71,Lleida
72,Soria
73,Palencia
74,Santa Cruz de Tenerife
75,Badajoz
76,Lugo
77,Salamanca
78,Salamanca
79,Segovia
80,Santa Cruz de Tenerife
81,Tarragona
82,Segovia
83,Baleares
84,Alicante
85,Granada
86,Baleares
87,Ciudad
88,Jaén
89,Huesca
90,Palencia
91,La Rioja
92,Madrid
93,Cuenca
94,Tarragona
95,Castellón
96,León
97,Huesca
98,Soria
99,Murcia
100,Almería
101,Cuenca
102,Baleares
103,Ávila
104,Segovia
105,Almería
106,Ciudad
107,Zamora
108,Asturias
109,Palencia
110,Ceuta
111,Vizcaya
112,Zamora
113,Cuenca
114,Barcelona
115,Zaragoza
116,Baleares
117,Barcelona
118,Huelva
119,Palencia
120,Albacete
121,Córdoba
122,Barcelona
123,Melilla
124,Valencia
125,Lugo
126,Vizcaya
127,Málaga
128,León
129,Salamanca
130,Toledo
131,Lleida
132,Almería
133,La Coruña
134,Soria
135,Madrid
136,Asturias
137,Guadalajara
138,Asturias
139,Cuenca
140,Jaén
141,Lleida
142,Badajoz
143,Segovia
144,Las Palmas
145,Ceuta
146,Guipúzcoa
147,La Coruña
148,Toledo
149,Guadalajara
150,Guadalajara
151,Huesca
152,Soria
153,Asturias
154,Ávila
155,Las Palmas
156,Valencia
157,Zaragoza
158,Navarra
159,Palencia
160,Sevilla
161,La Rioja
162,Sevilla
163,Toledo
164,Girona
165,Huelva
166,Ourense
167,Burgos
168,Ceuta
169,Huelva
170,Baleares
171,Ourense
172,Zaragoza
173,Navarra
174,Pontevedra
175,Albacete
176,Cuenca
177,Guipúzcoa
178,Álava
179,Burgos
180,Asturias
181,Valencia
182,Ávila
183,Jaén
184,Lleida
185,Cáceres
186,Granada
187,Vizcaya
188,Almería
189,Cáceres
190,Soria
191,Cuenca
192,Sevilla
193,Madrid
194,La Rioja
195,Castellón
196,Huelva
197,Baleares
198,Soria
199,Melilla
200,Alicante
201,La Coruña
202,Álava
203,Granada
204,Vizcaya
205,Valladolid
206,Girona
207,Baleares
208,Madrid
478,Segovia
416,Pontevedra
299,Burgos
474,Cáceres
359,Huesca
273,Asturias
287,Albacete
310,Lleida
423,Segovia
242,Lleida
282,Granada
293,Asturias
405,Salamanca
251,Granada
362,Huelva
491,Guadalajara
427,Navarra
281,Barcelona
450,Salamanca
459,Soria
