ID_PROYECTO_INVESTIGACION,ID_PROYECTO_INVESTIGACION_NK
1,PID-2025-42372-HX
2,EUR-2022-52976-GA
3,EUR-2022-86200-ID
4,REG-2021-54165-DM
5,AEI-2022-67952-XN
6,REG-2020-99148-FO
7,REG-2021-57939-WD
8,AEI-2024-26680-RJ
9,EUR-2024-17172-SC
10,CTR-2021-91521-FH
11,REG-2020-3783-OM
12,MIN-2020-31365-TK
13,AEI-2024-40730-JA
14,EUR-2021-72384-AF
15,REG-2023-29451-HD
16,EUR-2022-15396-PJ
17,AEI-2020-65323-TS
18,AEI-2022-66698-TR
19,PID-2025-54459-EE
20,PID-2022-31946-DJ
21,MIN-2024-18958-YM
22,EUR-2024-78561-GV
23,AEI-2022-17892-ER
24,CTR-2024-54387-VY
25,REG-2020-66550-RA
26,CTR-2025-37072-UT
27,EUR-2022-76931-LQ
28,CTR-2022-64178-JC
29,REG-2024-70592-EW
30,AEI-2025-43573-JW
