ID_RAMA_MACROAREA,NOMBRE_RAMA_MACROAREA,ID_RAMA_CONOCIMIENTO_NK,ID_MACROAREA_NK,ID_MACROAREA_AREA_NK
1,Salud - Especialidad 1,G,B,B5
2,Salud - Especialidad 2,I,A,A5
3,Ingeniería - Especialidad 3,D,D,D6
4,Salud - Especialidad 4,H,D,D4
5,Ciencias Sociales - Especialidad 5,H,B,B2
6,Ingeniería - Especialidad 6,I,E,E6
7,Ciencias - Especialidad 7,D,C,C4
8,Artes - Especialidad 8,C,A,A1
9,Artes - Especialidad 9,H,E,E2
10,Salud - Especialidad 10,G,E,E4
11,Salud - Especialidad 11,H,D,D4
12,Artes - Especialidad 12,A,A,A7
13,Artes - Especialidad 13,C,E,E8
14,Ciencias - Especialidad 14,I,B,B2
15,Salud - Especialidad 15,C,D,D9
