ID_TERRITORIO,ID_NIVEL_TERRITORIAL,NOMBRE_TERRITORIO,ID_TERRITORIO_PADRE,NOMBRE_TERRITORIO_PADRE,ID_PAIS,CODIGO_TERRITORIO,ID_TERRITORIO_NK,ID_TERRITORIO_DESCR
1,1,España,,,1,ES,ES,1
2,2,Andalucía,1.0,España,1,ES-02,CCAA-02,2
3,3,Almería,2.0,Andalucía,1,ES-02-003,PROV-003,3
4,3,Cádiz,2.0,Andalucía,1,ES-02-004,PROV-004,4
5,3,Córdoba,2.0,Andalucía,1,ES-02-005,PROV-005,5
6,3,Granada,2.0,Andalucía,1,ES-02-006,PROV-006,6
7,3,Huelva,2.0,Andalucía,1,ES-02-007,PROV-007,7
8,3,Jaén,2.0,Andalucía,1,ES-02-008,PROV-008,8
9,3,Málaga,2.0,Andalucía,1,ES-02-009,PROV-009,9
10,3,Sevilla,2.0,Andalucía,1,ES-02-010,PROV-010,10
11,2,Aragón,1.0,España,1,ES-11,CCAA-11,11
12,3,Huesca,11.0,Aragón,1,ES-11-012,PROV-012,12
13,3,Teruel,11.0,Aragón,1,ES-11-013,PROV-013,13
14,3,Zaragoza,11.0,Aragón,1,ES-11-014,PROV-014,14
15,2,Asturias,1.0,España,1,ES-15,CCAA-15,15
16,3,Asturias,15.0,Asturias,1,ES-15-016,PROV-016,16
17,2,Baleares,1.0,España,1,ES-17,CCAA-17,17
18,3,Islas Baleares,17.0,Baleares,1,ES-17-018,PROV-018,18
19,2,Canarias,1.0,España,1,ES-19,CCAA-19,19
20,3,Las Palmas,19.0,Canarias,1,ES-19-020,PROV-020,20
21,3,Santa Cruz de Tenerife,19.0,Canarias,1,ES-19-021,PROV-021,21
22,2,Cantabria,1.0,España,1,ES-22,CCAA-22,22
23,3,Cantabria,22.0,Cantabria,1,ES-22-023,PROV-023,23
24,2,Castilla y León,1.0,España,1,ES-24,CCAA-24,24
25,3,Ávila,24.0,Castilla y León,1,ES-24-025,PROV-025,25
26,3,Burgos,24.0,Castilla y León,1,ES-24-026,PROV-026,26
27,3,León,24.0,Castilla y León,1,ES-24-027,PROV-027,27
28,3,Palencia,24.0,Castilla y León,1,ES-24-028,PROV-028,28
29,3,Salamanca,24.0,Castilla y León,1,ES-24-029,PROV-029,29
30,3,Segovia,24.0,Castilla y León,1,ES-24-030,PROV-030,30
31,3,Soria,24.0,Castilla y León,1,ES-24-031,PROV-031,31
32,3,Valladolid,24.0,Castilla y León,1,ES-24-032,PROV-032,32
33,3,Zamora,24.0,Castilla y León,1,ES-24-033,PROV-033,33
34,2,Castilla-La Mancha,1.0,España,1,ES-34,CCAA-34,34
35,3,Albacete,34.0,Castilla-La Mancha,1,ES-34-035,PROV-035,35
36,3,Ciudad Real,34.0,Castilla-La Mancha,1,ES-34-036,PROV-036,36
37,3,Cuenca,34.0,Castilla-La Mancha,1,ES-34-037,PROV-037,37
38,3,Guadalajara,34.0,Castilla-La Mancha,1,ES-34-038,PROV-038,38
39,3,Toledo,34.0,Castilla-La Mancha,1,ES-34-039,PROV-039,39
40,2,Cataluña,1.0,España,1,ES-40,CCAA-40,40
41,3,Barcelona,40.0,Cataluña,1,ES-40-041,PROV-041,41
42,3,Girona,40.0,Cataluña,1,ES-40-042,PROV-042,42
43,3,Lleida,40.0,Cataluña,1,ES-40-043,PROV-043,43
44,3,Tarragona,40.0,Cataluña,1,ES-40-044,PROV-044,44
45,2,Comunidad Valenciana,1.0,España,1,ES-45,CCAA-45,45
46,3,Alicante,45.0,Comunidad Valenciana,1,ES-45-046,PROV-046,46
47,3,Castellón,45.0,Comunidad Valenciana,1,ES-45-047,PROV-047,47
48,3,Valencia,45.0,Comunidad Valenciana,1,ES-45-048,PROV-048,48
49,2,Extremadura,1.0,España,1,ES-49,CCAA-49,49
50,3,Badajoz,49.0,Extremadura,1,ES-49-050,PROV-050,50
