ID_TIPO_ACCESO,NOMBRE_TIPO_ACCESO,FECHA_CARGA
1,Prueba de Acceso a la Universidad,2021-04-21
2,Formación Profesional,2022-10-31
3,Titulados Universitarios,2023-05-17
4,Mayores de 25 años,2020-02-24
5,Mayores de 40 años,2023-02-23
6,Mayores de 45 años,2021-02-11
7,Deportistas de alto nivel,2023-08-23
8,Personas con discapacidad,2023-12-07
9,Estudios extranjeros,2023-01-21
10,Traslado de expediente,2022-05-09
11,Cambio de universidad,2021-03-27
12,Adaptación de plan de estudios,2022-07-08
13,Estudios superiores extranjeros,2023-04-21
14,Otros,2021-07-23
15,No informado,2020-01-14
