ID_UNIVERSIDAD,ID_UNIVERSIDAD_NK,ID_UNIVERSIDAD_DESCR,NOMBRE_UNIVERSIDAD,NOMBRE_UNIVERSIDAD_SIN_PAIS,ID_PAIS_NK,ID_UNIVERSIDAD_PIC_NK,ID_PAIS,NOMBRE_PAIS,SN_UNIVERSIDAD_UNITA,SN_UNIVERSIDAD_UNITA_GEMINAE
1,10,100,Universidad Nacional de Jaén (España),Universidad Nacional de Jaén,HTI,R93560,8,España,N,N
2,20,200,Universidad Tecnología de Hurtado (Rwanda),Universidad Tecnología de Hurtado,PRT,R99051,47,Rwanda,S,N
3,30,300,Universidad Europea de Ourense (Qatar),Universidad Europea de Ourense,CMR,R67432,19,Qatar,S,S
4,40,400,Universidad Medicina de Falcó (Mozambique),Universidad Medicina de Falcó,MUS,P60181,31,Mozambique,S,N
5,50,500,Universidad Católica de Málaga (Afganistán),Universidad Católica de Málaga,MWI,P58760,87,Afganistán,N,N
6,60,600,Universidad Ciencias de Valenzuela (Liechtenstein),Universidad Ciencias de Valenzuela,COL,R28047,98,Liechtenstein,N,N
7,70,700,Universidad Medicina de Valencia (Mongolia),Universidad Medicina de Valencia,AND,R46528,51,Mongolia,S,N
8,80,800,Universidad Autónoma de La Coruña (Estonia),Universidad Autónoma de La Coruña,CUB,P77861,4,Estonia,N,N
9,90,900,Universidad Ciencias de Hernando (Panamá),Universidad Ciencias de Hernando,GNB,P44116,72,Panamá,N,N
10,100,1000,Universidad Europea de Almería (Túnez),Universidad Europea de Almería,KAZ,P74382,28,Túnez,S,S
11,110,1100,Universidad Católica de Madrid (El Salvador),Universidad Católica de Madrid,VCT,E68341,10,El Salvador,S,N
12,120,1200,Universidad Medicina de Macias (República Popular Democrática de Corea),Universidad Medicina de Macias,MOZ,R18511,41,República Popular Democrática de Corea,N,N
13,130,1300,Universidad Autónoma de Las Palmas (Ghana),Universidad Autónoma de Las Palmas,HUN,R93584,39,Ghana,S,N
14,140,1400,Universidad Politécnica de Toledo (Suriname),Universidad Politécnica de Toledo,CAF,E36342,66,Suriname,S,S
15,150,1500,Universidad Ciencias de Quintana (Uzbekistán),Universidad Ciencias de Quintana,FSM,P82616,64,Uzbekistán,N,N
16,160,1600,Universidad Tecnología de Arrieta (Vanuatu),Universidad Tecnología de Arrieta,RUS,E90209,60,Vanuatu,S,S
17,170,1700,Universidad Artes de Azcona (Mongolia),Universidad Artes de Azcona,AND,R63843,51,Mongolia,N,N
18,180,1800,Universidad Nacional de Navarra (Canadá),Universidad Nacional de Navarra,SRB,E51553,74,Canadá,S,N
19,190,1900,Universidad Tecnología de Beltrán (Guinea Ecuatorial),Universidad Tecnología de Beltrán,ESP,P26821,88,Guinea Ecuatorial,S,N
20,200,2000,Universidad Artes de Varela (Jamaica),Universidad Artes de Varela,URY,R17263,17,Jamaica,S,N
21,210,2100,Universidad Humanidades de Losa (Ghana),Universidad Humanidades de Losa,HUN,E52291,39,Ghana,S,N
22,220,2200,Universidad Complutense de Badajoz (Mauritania),Universidad Complutense de Badajoz,SVN,E42847,67,Mauritania,S,N
23,230,2300,Universidad Medicina de Perea (Belarús),Universidad Medicina de Perea,LSO,E91922,71,Belarús,N,N
24,240,2400,Universidad Tecnología de Pavón (Bangladesh),Universidad Tecnología de Pavón,NAM,E75873,79,Bangladesh,S,N
25,250,2500,Universidad Autónoma de Pontevedra (Nauru),Universidad Autónoma de Pontevedra,PRY,E96341,75,Nauru,N,N
26,260,2600,Universidad Ciencias de Vall (Nigeria),Universidad Ciencias de Vall,GHA,E20646,73,Nigeria,S,N
27,270,2700,Universidad Europea de Alicante (Montenegro),Universidad Europea de Alicante,KWT,P95344,99,Montenegro,S,N
28,280,2800,Universidad Europea de Zaragoza (Comoras),Universidad Europea de Zaragoza,MRT,R13969,54,Comoras,N,N
29,290,2900,Universidad Tecnología de Vives (Micronesia),Universidad Tecnología de Vives,EGY,P94136,81,Micronesia,N,N
30,300,3000,Universidad Humanidades de Company (República Centroafricana),Universidad Humanidades de Company,DMA,R63227,62,República Centroafricana,N,N
31,310,3100,Universidad Nacional de Salamanca (República Democrática del Congo),Universidad Nacional de Salamanca,BRA,R17852,59,República Democrática del Congo,S,N
32,320,3200,Universidad Artes de Cámara (República Centroafricana),Universidad Artes de Cámara,DMA,E54589,62,República Centroafricana,S,N
33,330,3300,Universidad Medicina de Martínez (Palau),Universidad Medicina de Martínez,ERI,R55268,92,Palau,N,N
34,340,3400,Universidad Medicina de Vendrell (Jamaica),Universidad Medicina de Vendrell,URY,R83616,17,Jamaica,S,N
35,350,3500,Universidad Ciencias de Marí (Vanuatu),Universidad Ciencias de Marí,RUS,P68929,60,Vanuatu,S,S
36,360,3600,Universidad Medicina de Alegria (Argentina),Universidad Medicina de Alegria,AUT,P90658,7,Argentina,N,N
37,370,3700,Universidad Humanidades de Muñoz (Togo),Universidad Humanidades de Muñoz,THA,P85718,32,Togo,N,N
38,380,3800,Universidad Autónoma de Palencia (Guinea),Universidad Autónoma de Palencia,PHL,P77466,25,Guinea,N,N
39,390,3900,Universidad Medicina de Amor (Uzbekistán),Universidad Medicina de Amor,FSM,P13037,64,Uzbekistán,S,N
40,400,4000,Universidad Artes de Lara (Tuvalu),Universidad Artes de Lara,KOR,E38199,65,Tuvalu,N,N
41,410,4100,Universidad de Palencia (Argentina),Universidad de Palencia,AUT,P74866,7,Argentina,N,N
42,420,4200,Universidad Tecnología de Donaire (Sudán),Universidad Tecnología de Donaire,SLB,E24089,37,Sudán,N,N
43,430,4300,Universidad Medicina de Coloma (Austria),Universidad Medicina de Coloma,ZAF,R57943,18,Austria,N,N
44,440,4400,Universidad de Ourense (Rwanda),Universidad de Ourense,PRT,P16705,47,Rwanda,S,N
45,450,4500,Universidad Nacional de Albacete (Sudán),Universidad Nacional de Albacete,SLB,P76093,37,Sudán,N,N
46,460,4600,Universidad Tecnología de Mir (Liechtenstein),Universidad Tecnología de Mir,COL,P91689,98,Liechtenstein,S,S
47,470,4700,Universidad Artes de Cordero (Congo),Universidad Artes de Cordero,MCO,P54444,13,Congo,N,N
48,480,4800,Universidad Humanidades de Frías (Georgia),Universidad Humanidades de Frías,GAB,E88966,97,Georgia,N,N
49,490,4900,Universidad Ciencias de Valls (Tuvalu),Universidad Ciencias de Valls,KOR,E15100,65,Tuvalu,S,N
50,500,5000,Universidad Tecnología de Barrios (Camerún),Universidad Tecnología de Barrios,CHN,P29521,61,Camerún,S,N
51,510,5100,Universidad Técnica de Navarra (Bangladesh),Universidad Técnica de Navarra,NAM,E61505,79,Bangladesh,N,N
52,520,5200,Universidad Medicina de Tejera (Ecuador),Universidad Medicina de Tejera,COM,R76809,76,Ecuador,N,N
53,530,5300,Universidad Tecnología de Mir (Irán),Universidad Tecnología de Mir,QAT,P72245,91,Irán,S,N
54,540,5400,Universidad Nacional de Murcia (Afganistán),Universidad Nacional de Murcia,MWI,P86507,87,Afganistán,N,N
55,550,5500,Universidad Ciencias de Pablo (Swazilandia),Universidad Ciencias de Pablo,CHL,R72205,93,Swazilandia,N,N
56,560,5600,Universidad Tecnología de Tomé (Andorra),Universidad Tecnología de Tomé,BWA,R39824,84,Andorra,S,N
57,570,5700,Universidad Internacional de Cuenca (República Dominicana),Universidad Internacional de Cuenca,FIN,R91230,22,República Dominicana,N,N
58,580,5800,Universidad Humanidades de Gomila (Qatar),Universidad Humanidades de Gomila,CMR,E85047,19,Qatar,S,S
59,590,5900,Universidad Medicina de Malo (Angola),Universidad Medicina de Malo,MLI,P29848,57,Angola,N,N
60,600,6000,Universidad Politécnica de Guadalajara (Ucrania),Universidad Politécnica de Guadalajara,KEN,P75774,89,Ucrania,N,N
61,610,6100,Universidad Ciencias de Oller (San Vicente y las Granadinas),Universidad Ciencias de Oller,NLD,R28098,95,San Vicente y las Granadinas,S,N
62,620,6200,Universidad Artes de Maestre (Côte d'Ivoire),Universidad Artes de Maestre,NER,R59391,85,Côte d'Ivoire,N,N
63,630,6300,Universidad Católica de La Coruña (Suecia),Universidad Católica de La Coruña,GTM,R54869,23,Suecia,N,N
64,640,6400,Universidad Medicina de Coll (Afganistán),Universidad Medicina de Coll,MWI,R73462,87,Afganistán,S,N
65,650,6500,Universidad Tecnología de Arnal (Eslovenia),Universidad Tecnología de Arnal,TUN,P39473,36,Eslovenia,N,N
66,660,6600,Universidad Medicina de Bermúdez (Montenegro),Universidad Medicina de Bermúdez,KWT,R37168,99,Montenegro,N,N
67,670,6700,Universidad Artes de Salamanca (República Popular Democrática de Corea),Universidad Artes de Salamanca,MOZ,P83464,41,República Popular Democrática de Corea,N,N
68,680,6800,Universidad Ciencias de Tello (Sudán),Universidad Ciencias de Tello,SLB,R98686,37,Sudán,N,N
