ID_CURSO_ACADEMICO_COHORTE_NK,ID_EXPEDIENTE_ACADEMICO_NK,ID_CURSO_ACADEMICO_COHORTE,ID_EXPEDIENTE_ACADEMICO,ID_PLAN_ESTUDIO,ID_CENTRO,ID_ALUMNO,ID_TIPO_ACCESO,ID_SEXO,ID_RANGO_CREDITOS_MATRICULADOS,ID_RANGO_CREDITOS_SUPERADOS,ID_CURSO_ACAD_GRADUACION,ID_CURSO_ACAD_ABANDONO,ID_CURSO_ACAD_TRASLADO,ID_RANGO_CALIFICACION_FINAL,ID_TIPO_ABANDONO,EDAD_INGRESO,DURACION,CREDITOS_NECESARIOS,CREDITOS_MATRICULADOS,CREDITOS_SUPERADOS,CREDITOS_PRESENTADOS,CREDITOS_SUSPENDIDOS,CREDITOS_RECONOCIDOS,CREDITOS_TRANSFERIDOS,GRADUADO,TRASLADO,INGRESO,FLG_NUEVO_INGRESO,FLG_ABANDONO_INICIAL,FLG_GRADUADO_EN_TIEMPO,FECHA_CARGA,SN_GRADUADO_EN_TIEMPO,NOTA_ADMISION,ABANDONO_GENERICO,ABANDONO_OFICIAL,FLG_PLAN_OFICIAL,FLG_TASA_ABANDONO,FLG_TASA_GRADUACION,FLG_CALCULO_TASA,ID_ESTUDIO_PREVIO,ID_PAIS_NACIONALIDAD,ID_POBLACION_FAMILIAR,ID_ESTUDIO,ID_CENTRO_INICIO,FLG_TRASLADO_MISMO_ESTUDIO,ID_FECHA_CARGA,ID_TIPO_ESTUDIO,ID_TIPO_CENTRO,ID_CAMPUS_CENTRO,ID_RAMA_CONOCIMIENTO,ID_POBLACION_CENTRO,ID_PERSONA_NIP_NK,CURSOS_MATRICULADOS,CURSO_MAS_ALTO_MATRICULADO,CURSOS_EXTRA_GRADUACION,CALIFICACION_FINAL,SN_ABANDONO_INICIAL,SN_GRADUADO,SN_ABANDONO_OFICIAL,ID_PAIS_FAMILIAR,ID_PAIS_FAMILIAR_NK,ID_EDAD_EST,FLG_GRADUADO_IDONEO,SN_GRADUADO_IDONEO,FLG_MULTIPLE_TITULACION,SN_MULTIPLE_TITULACION,FLG_C_ABANDONOINI,FLG_C_ABANDONO,FLG_C_IDONEIDAD,FLG_C_GRADUACION,FE_C_ABANDONOINI,FE_C_ABANDONO,FE_C_IDONEIDAD,FE_C_GRADUACION,FECHA_ACTUAL
2013,300001,20130,300001,24,35,21,11,1,3,1,20230.0,,,1.0,2,64,4,265,315,308,308,0,16,9,1,0,1,0,0,1,2020-09-08,S,5.22,0,0,1,0,1,0,9,34,196,85,7,0,20200125,2,4,10,5,131,54877191,1,5,0,6.53,N,S,N,91,QAT,5,1,S,0,N,1,1,0,0,2021-03-15,2022-04-12,,,2025-05-24
2014,300002,20140,300002,94,4,70,10,1,1,5,20160.0,,,3.0,7,61,2,338,340,339,350,11,19,19,1,0,1,1,0,0,2020-02-25,N,8.68,0,0,0,0,1,1,10,55,384,43,17,0,20220521,9,5,5,10,176,82533595,5,1,1,7.5,N,S,N,18,ZAF,6,0,N,1,S,1,1,1,0,2020-08-05,2023-11-09,2022-10-03,,2025-05-24
2021,300003,20210,300003,7,44,40,8,1,2,4,,20220.0,,,1,18,6,359,395,376,385,9,24,10,0,0,1,0,0,0,2020-10-24,N,9.13,1,1,1,1,0,1,6,20,89,57,38,0,20210720,3,2,4,6,449,15922674,3,5,0,,N,N,S,46,MDV,1,0,N,0,N,0,0,1,0,,,2021-12-21,,2025-05-24
2015,300004,20150,300004,65,45,13,5,1,4,2,,,,,4,19,6,215,264,226,234,8,29,17,0,0,1,0,0,0,2023-06-18,N,13.91,0,0,0,0,0,1,4,53,163,75,5,0,20230117,6,6,2,7,296,94004067,4,5,0,,N,N,N,62,DMA,10,0,N,0,N,1,0,1,1,2023-09-26,,2020-01-08,2021-05-16,2025-05-24
2023,300005,20230,300005,93,36,19,3,2,5,4,20240.0,,,1.0,2,31,3,281,288,288,293,5,6,20,1,0,1,0,0,1,2022-11-25,S,8.32,0,0,1,0,1,0,6,53,451,7,23,0,20210323,10,8,8,3,59,4259382,4,1,0,7.54,N,S,N,64,FSM,5,1,S,1,S,0,1,1,0,,2023-05-20,2023-01-13,,2025-05-24
2010,300006,20100,300006,26,46,18,10,2,3,1,20180.0,,,4.0,1,53,2,282,324,294,294,0,19,13,1,0,1,1,0,1,2021-12-22,S,7.46,0,0,0,0,1,0,1,49,52,40,8,0,20211103,9,8,7,2,344,63360324,3,1,0,5.18,N,S,N,12,ITA,5,1,S,0,N,0,1,1,1,,2020-08-21,2023-09-29,2021-03-19,2025-05-24
2014,300007,20140,300007,91,10,12,5,2,2,1,20150.0,,,4.0,7,27,6,295,355,339,349,10,9,1,1,0,1,0,0,1,2022-02-24,S,11.01,0,0,0,0,1,1,4,3,467,67,29,0,20221027,10,4,2,8,482,46241881,4,6,0,6.15,N,S,N,31,MUS,7,1,S,1,S,1,1,0,0,2023-03-14,2021-02-15,,,2025-05-24
2017,300008,20170,300008,27,33,25,7,2,5,2,,20240.0,,,4,37,4,253,276,200,222,22,6,15,0,0,1,0,0,0,2021-02-14,N,13.58,1,0,0,1,0,1,3,21,362,13,26,0,20230601,4,8,3,9,28,97883579,6,3,0,,N,N,N,56,LIE,3,0,N,1,S,1,1,0,0,2022-08-27,2022-12-31,,,2025-05-24
2022,300009,20220,300009,30,36,23,14,2,1,4,,,20230.0,,6,61,3,260,296,244,247,3,27,18,0,1,1,0,0,0,2022-12-15,N,12.12,0,0,0,0,0,1,1,64,163,2,26,0,20230510,1,8,7,9,80,18176954,1,6,0,,N,N,N,8,HTI,5,0,N,0,N,0,0,1,0,,,2020-08-17,,2025-05-24
2018,300010,20180,300010,93,14,94,1,2,5,2,,20210.0,,,4,28,7,342,397,305,316,11,29,3,0,0,1,1,0,0,2022-02-03,N,6.11,1,0,0,1,0,1,6,46,353,90,50,0,20210110,5,6,10,9,427,38824283,6,3,0,,N,N,N,68,GRC,4,0,N,0,N,1,0,0,0,2022-09-19,,,,2025-05-24
