ID_CURSO_INFORME_NK,ID_CURSO_MATRICULA_NK,ID_PERSONA_NIP_NK,ID_CENTRO_NK,ID_PLAN_ESTUDIO_NK,ID_EXPEDIENTE_ACADEMICO_NK,ID_DEDICACION_ALUMNO_NK,FLG_NUEVO_INGRESO,FLG_EN_PROGRAMA_MOVILIDAD,FECHA_LECTURA_TESIS,SN_COTUTELA_TESIS,SN_MENCION_INTERNAC_TESIS,FECHA_MATRICULA,ID_ASIGNATURA_NK,CALIFICACION,FLG_SUPERADA,FLG_PRESENTADA,FLG_RECONOCIDA,FLG_TRANSFERIDA,FLG_SUSPENDIDA,FECHA_CALIFICACION,ID_PROFESOR_NIP_NK,ID_DEDICACION_PROFESOR_NK,FLG_TUTOR,FLG_DIRECTOR,FECHA_REFERENCIA,ID_CURSO_INFORME,ID_CURSO_MATRICULA,ID_ALUMNO,SEXO_ALUMNO,ID_PAIS_NACIONALIDAD_ALUMNO,ID_DEDICACION_ALUMNO,ID_PROFESOR,SEXO_PROFESOR,ID_PAIS_NACIONALIDAD_PROF,ID_PLAN_ESTUDIO,ID_ESTUDIO,ID_RAMA_CONOCIMIENTO,ID_ASIGNATURA,ID_TIPO_ASIGNATURA,ID_CALIFICACION,FLG_SEXENIO_VIVO,ID_DEDICACION_PROFESOR,ID_FECHA_CARGA,ID_CENTRO,SN_NUEVO_INGRESO,SN_EN_PROGRAMA_MOVILIDAD,SN_TUTOR,SN_DIRECTOR,NUM_SEXENIOS,FLG_TIEMPO_PARCIAL,ID_PAIS_NACIONALIDAD_ALUMNO_NK,FLG_EXTRANJERO,ID_FECHA_LECTURA_TESIS,ID_FECHA_MATRICULA,FLG_PROFESOR,FLG_TESIS_LEIDA,NUM_DIRECTORES_TESIS,ID_ESTUDIO_NK,ID_TIPO_BECA_NK,ID_TIPO_BECA,ID_TIPO_CONTRATO_NK,FLG_PROFESOR_UZ,FLG_PROFESOR_TIEMPO_COMPLETO,FLG_COTUTELA_TESIS,FLG_MENCION_INTERNAC_TESIS,FLG_BECADO,SN_TESIS_LEIDA,FLG_ABANDONO,SN_ABANDONO,FLG_ABANDONO_DENOMINADOR,DURACION_NETA_TESIS,FLG_TESIS_CUM_LAUDE,SN_PROFESOR_UZ,ID_SITUACION_ADVA,TOT_ARTICULOS_INDEX_UZ,NUMERO_ALU_ENCUESTA_GLOBAL_0,SN_MENCION_INDUSTRIAL,FLG_COMPENDIO_PUBLICACIONES,NUM_ART_IDX_ANO_SIG_UZ,TOT_ARTICULOS_NO_INDEX_PLAN,NUM_ART_NO_IDX_ANO_SIG_UZ,FECHA_RECON_SEXENIO_ESTATAL,ID_PROYECTO_INVESTIGACION,ID_UNIVERSIDAD_ORIGEN,FECHA_RECON_SEXENIO_AUTONOMICO,NUM_QUINQUENIOS,FLG_MENCION_INDUSTRIAL,ID_CATEGORIA_CUERPO_ESCALA,NUM_ART_NO_IDX_ANO_CURSO_RAMA,FECHA_CARGA,NUM_ART_IDX_ANO_SIG_RAMA,NUM_SEXENIO_ESTATAL,FLG_SEXENIO_VIVO_CNEAI,ID_UNIVERSIDAD_ORIGEN_NK,NUMERO_PROF_ENCUESTA_GLOBAL_2,NUM_SEXENIO_AUTONOMICO,FECHA_DEPOSITO_TESIS,TOT_ARTICULOS_NO_INDEX_UZ,NUMERO_ALU_ENCUESTA_GLOBAL_2,NUMERO_ALU_ENCUESTA_GLOBAL_5,NUMERO_PROF_ENCUESTA_GLOBAL_4,TOT_ARTICULOS_INDEX_PLAN,FLG_SEXENIO_VIVO_ESTATAL,SN_COMPENDIO_PUBLICACIONES,NUMERO_PROF_ENCUESTA_GLOBAL_3,NUM_ART_NO_IDX_ANO_SIG_PLAN,FLG_SEXENIO_VIVO_AUTONOMICO,NUM_ART_IDX_ANO_CURSO_PLAN,AMBITO_PROYECTO,ID_SEXO_PROFESOR,NUM_ART_NO_IDX_ANO_CURSO_PLAN,TOT_ARTICULOS_INDEX_RAMA,NUM_ART_IDX_ANO_CURSO_RAMA,SN_PRORROGA_1,ID_SEXO_ALUMNO,FLG_OTRA_UNIVERSIDAD_DENOM,AUT_AMPLIACION_TESIS,DIAS_BAJA,NUMERO_ALU_ENCUESTA_GLOBAL_4,ID_CATEGORIA_CUERPO_ESCALA_NK,NUM_REGS_TESIS,ID_PROYECTO_INVESTIGACION_NK,NUMERO_ALU_ENCUESTA_GLOBAL_3,NUM_ART_NO_IDX_ANO_CURSO_UZ,NUM_ART_NO_IDX_ANO_SIG_RAMA,FECHA_INSCRI_SOLICITUD_TESIS,FECHA_RECON_SEXENIO_CNEAI,DURACION_BRUTA_TESIS,NUMERO_PROF_ENCUESTA_GLOBAL_1,SN_PRORROGA_2,NUM_SEXENIOS_TRANSF,FLG_OTRA_UNIVERSIDAD,NUMERO_ALU_ENCUESTA_GLOBAL_1,TOT_ARTICULOS_NO_INDEX_RAMA,NUMERO_PROF_ENCUESTA_GLOBAL_0,NUMERO_PROF_ENCUESTA_GLOBAL_5,NUM_ART_IDX_ANO_SIG_PLAN,NUM_SEXENIO_CNEAI,NUM_ART_IDX_ANO_CURSO_UZ,ID_SITUACION_ADVA_NK
2017,2012,8289024,4500,10095,1000001,TP,1,1,2021-09-18,N,S,2023-12-01,291,RE,0,0,0,0,0,,59961498,AS,0,1,2025-06-03,20170,20120,62,M,18,2,55,M,57,95,37,10,291,1,9,1,3,20250603,45,S,S,N,S,1,0,ZAF,1,20210918,20231201,1,1,2,3700,FI,32,CTR010215,1,1,0,1,0,S,0,N,0,1428.0,0,S,7,135,929,S,1,368,413,110,2022-04-10,707,156,2023-10-20,724,0,929,23,2020-08-21,486,343,1,828,585,66,2023-05-23,648,570,554,159,435,1,S,487,64,0,653,Et nihil ex.,230,31,2,969,N,659,1,365,703,161,Quas.,572,Itaque et explicabo.,236,235,562,2021-06-01,2020-06-04,364,98,N,444,0,808,114,526,271,592,569,236,SUS
2017,2019,8289024,2300,10048,1000002,PH,0,1,2021-07-20,S,S,2021-11-10,419,SS,0,1,1,0,1,,59302835,AS,1,0,2025-06-03,20170,20190,62,M,89,3,72,M,87,48,25,4,419,8,2,0,3,20250603,23,N,S,S,N,3,1,KEN,1,20210720,20211110,1,1,1,2500,FI,22,CTR011119,1,1,1,1,0,S,0,N,0,1300.0,1,S,5,293,125,S,1,380,840,916,2023-03-31,493,859,2021-07-01,847,0,576,105,2020-07-19,889,507,1,324,697,706,2022-01-06,224,299,215,226,485,1,N,930,799,1,769,Ipsum magni.,28,598,379,147,N,427,0,702,247,565,A.,726,Illum ducimus eius porro possimus modi.,552,375,312,2023-12-13,2020-07-26,361,814,N,325,0,960,318,973,858,948,112,791,EXCFC
2015,2012,92649206,200,10058,1000003,CR,0,0,,N,N,2018-08-12,428,AN,0,0,0,1,0,,72144402,TC,1,0,2025-06-03,20150,20120,29,H,100,4,47,M,96,58,2,4,428,9,10,0,1,20250603,2,N,N,S,N,1,1,VUT,1,0,20180812,1,0,1,200,IN,47,CTR080503,1,0,0,0,1,N,1,S,1,0.0,0,S,9,323,561,N,0,803,287,518,2020-07-30,825,54,2023-01-18,923,1,41,795,2022-01-20,410,480,0,907,287,726,2020-03-28,268,619,994,710,233,0,S,90,569,0,8,Iure.,54,307,961,408,N,845,0,803,971,519,A.,265,Voluptatum eaque repellat temporibus similique.,332,943,889,2021-08-18,2023-02-09,532,199,S,701,1,36,592,120,703,655,453,113,JUB
2022,2019,77619624,200,10007,1000004,SD,1,0,2022-06-12,S,S,2022-08-17,31,AP,1,1,1,0,0,,8338186,AS,0,0,2025-06-03,20220,20190,100,H,35,5,18,H,84,7,32,2,31,7,3,1,3,20250603,2,S,N,N,N,4,0,IRQ,1,20220612,20220817,1,1,3,3200,FP,31,CTR076307,1,1,1,1,1,S,1,S,1,1190.0,1,S,7,277,495,S,1,36,242,790,2021-09-23,923,636,2021-06-02,203,1,273,972,2022-07-24,643,604,0,329,207,236,2020-02-23,419,144,153,637,441,1,N,333,56,1,203,Perferendis.,708,626,222,771,S,727,1,378,270,589,Quae.,164,Necessitatibus deserunt harum ipsam doloribus.,331,174,998,2020-04-11,2020-11-16,891,762,N,216,1,146,648,935,776,619,847,16,SUS
2023,2021,27568520,3500,10073,1000005,PH,1,0,2022-07-14,N,S,2019-04-05,435,CO,0,0,0,1,0,2020-06-15,2921981,TP,0,1,2025-06-03,20230,20210,75,M,73,3,95,M,72,73,50,3,435,10,7,1,2,20250603,35,S,N,N,S,5,0,GHA,1,20220714,20190405,1,1,3,5000,PD,33,CTR062574,1,1,0,1,0,S,1,S,1,953.0,1,S,10,69,231,S,1,728,766,233,2020-11-16,743,395,2021-12-17,601,1,909,394,2023-04-17,296,353,1,264,373,53,2023-08-30,5,309,31,111,459,1,N,895,470,1,143,Aliquid ab.,315,592,618,751,N,702,0,797,115,323,Rem.,413,Esse nam dolorum accusantium quaerat.,259,438,370,2023-09-20,2021-10-19,902,562,N,900,1,801,302,659,838,750,863,453,BAJ
2018,2022,1534878,4200,10067,1000006,TP,1,0,2022-02-04,S,N,2019-01-22,422,AP,1,1,0,0,0,,17709269,VI,1,1,2025-06-03,20180,20220,12,H,64,2,84,H,63,67,32,1,422,8,3,1,4,20250603,42,S,N,S,S,6,0,FSM,1,20220204,20190122,1,1,1,3200,IN,17,CTR069468,1,1,1,0,0,S,0,N,0,1016.0,1,S,6,443,513,N,0,579,247,842,2021-03-05,740,151,2022-10-10,608,1,195,191,2021-06-14,470,224,0,894,115,641,2023-09-29,161,618,572,164,659,0,S,784,714,1,113,Nemo sed.,209,468,974,424,N,5,1,238,169,591,Iure.,273,Totam rem occaecati numquam cupiditate.,882,471,791,2021-11-17,2020-11-23,543,149,N,214,1,643,568,905,254,542,650,770,EXCHI
2014,2015,2921981,2400,10058,1000007,SD,1,1,2021-12-14,S,S,2019-02-09,208,NP,0,0,0,1,0,,39599276,TP,1,0,2025-06-03,20140,20150,95,M,9,5,32,M,76,58,5,2,208,8,1,0,2,20250603,24,S,S,S,N,1,1,ARG,1,20211214,20190209,1,1,1,500,FI,122,CTR083670,1,0,1,1,1,S,1,S,1,990.0,1,S,7,109,795,N,1,181,245,641,2021-10-26,303,653,2022-12-15,10,0,78,389,2021-08-25,263,726,1,803,435,988,2023-05-26,663,462,104,627,256,1,S,619,968,1,130,Incidunt.,136,639,689,186,S,582,1,232,136,167,Eos.,744,Quisquam excepturi consectetur perferendis nulla.,60,357,414,2020-08-27,2021-08-11,829,245,S,304,0,19,313,373,374,186,851,384,SUS
2012,2024,89628735,400,10024,1000008,TP,1,1,,N,S,2020-10-05,453,MH,0,0,1,1,0,,91307681,VI,0,1,2025-06-03,20120,20240,19,H,81,2,74,M,69,24,40,13,453,3,6,0,4,20250603,4,S,S,N,S,1,0,EGY,1,0,20201005,1,0,1,4000,FP,61,CTR088789,1,1,0,1,1,N,1,S,1,0.0,0,S,9,941,153,N,1,285,400,957,2020-01-08,58,414,2023-02-28,502,0,419,516,2022-02-02,561,521,0,255,303,720,2021-10-10,383,540,947,10,587,1,N,247,1,1,768,Natus.,371,329,54,672,S,454,1,676,826,927,Quam.,966,Dolorem doloremque accusamus laboriosam.,427,954,660,2023-05-24,2023-01-28,751,550,S,960,1,513,708,489,507,394,406,199,JUB
2017,2019,97023650,200,10040,1000009,SD,1,0,,S,S,2021-07-28,268,CO,0,0,0,1,0,2020-08-04,10482769,OT,1,0,2025-06-03,20170,20190,10,H,79,5,59,H,50,40,27,14,268,7,7,0,5,20250603,2,S,N,S,N,2,0,NAM,1,0,20210728,1,0,3,2700,AU,135,CTR088996,1,0,1,1,0,N,0,N,0,0.0,0,S,10,910,109,N,0,673,624,566,2022-06-16,705,448,2021-04-14,909,1,663,53,2021-09-14,382,873,0,502,432,453,2023-08-13,35,709,261,85,328,0,S,409,92,0,883,Ullam vitae.,147,64,414,953,S,321,1,611,615,229,At.,844,Magnam qui et earum reprehenderit.,986,86,781,2023-05-12,2021-02-20,123,519,S,662,1,899,167,29,869,327,826,901,BAJ
2013,2023,89133246,2300,10045,1000010,TC,0,1,,N,S,2019-10-06,351,NT,1,1,0,1,0,,69839059,AS,1,0,2025-06-03,20130,20230,48,H,48,1,71,H,42,45,6,3,351,2,4,0,3,20250603,23,N,S,S,N,2,1,ATG,1,0,20191006,1,0,1,600,PD,143,CTR086923,1,0,0,1,0,N,0,N,0,0.0,0,S,8,126,185,N,0,167,141,9,2020-12-10,411,655,2020-07-20,116,1,699,756,2021-12-12,109,458,0,488,772,735,2023-11-16,107,930,942,294,668,1,S,898,117,1,854,Adipisci.,43,609,174,66,S,748,0,663,739,514,Quam.,193,Et ipsam perspiciatis quos officiis quia.,327,931,297,2020-02-13,2023-10-17,66,733,S,965,1,738,180,100,763,83,977,754,COM
