ID_CURSO_ACADEMICO_NK,ESTADO_INSCRIPCION,ID_SOLICITUD_NK,ID_EXPEDIENTE_ACADEMICO_NK,SN_MATRICULADO,FECHA_REFERENCIA,ID_CURSO_ACADEMICO,ID_PLAN_ESTUDIO,ID_ESTUDIO,ID_RAMA_CONOCIMIENTO,ID_CENTRO,ID_ALUMNO,SEXO_ALUMNO,ID_PAIS_NACIONALIDAD_ALUMNO,FECHA_CARGA,ID_FECHA_CARGA,ID_PERSONA_NIP_NK,ID_CENTRO_NK,ID_PLAN_ESTUDIO_NK,SN_NUEVO_INGRESO,ID_ESTADO_SOL_DOCTORADO,SN_COMPLEMENTO_FORMACION,FLG_MATRICULADO,FLG_NUEVO_INGRESO,FLG_COMPLEMENTO_FORMACION,FLG_TIEMPO_PARCIAL,ID_DEDICACION_NK,ID_DEDICACION,FLG_EXTRANJERO,ID_PAIS_NACIONALIDAD_ALUMNO_NK,FLG_OTRA_UNIVERSIDAD,ID_UNIVERSIDAD_ORIGEN,FLG_OTRA_UNIVERSIDAD_DENOM,ID_ESTUDIO_NK,ID_UNIVERSIDAD_ORIGEN_NK,ID_SEXO_ALUMNO
2017,MC,10001,20001,N,2024-11-12 13:47:03.559603,20170,77,17,10,41,43,M,45,2025-05-24 13:47:03.566428,20250524,52755436,4100,10077,S,9,S,0,1,1,1,TC,1,1,NOR,1,86,1,1700,860,2
2021,MC,10002,20002,N,2024-12-13 13:47:03.559603,20210,48,3,2,35,3,H,68,2025-05-24 13:47:03.573442,20250524,2921981,3500,10048,S,9,N,0,1,0,1,PH,3,1,GRC,0,61,0,300,610,1
2018,P1,10003,20003,N,2025-03-09 13:47:03.559603,20180,35,6,3,36,36,M,39,2025-05-24 13:47:03.579451,20250524,72383656,3600,10035,S,1,S,0,1,1,1,SD,5,1,HUN,1,66,1,600,660,2
2012,DP,10004,20004,N,2024-12-11 13:47:03.559603,20120,87,50,3,40,49,H,73,2025-05-24 13:47:03.586475,20250524,3051483,4000,10087,N,5,N,0,0,0,0,SD,5,1,GHA,0,66,0,5000,660,1
2022,DC,10005,20005,S,2024-12-22 13:47:03.559603,20220,85,1,4,9,58,H,22,2025-05-24 13:47:03.592495,20250524,30824989,900,10085,N,6,N,1,0,0,0,TP,2,1,FIN,0,96,0,100,960,1
2010,MC,10006,20006,S,2025-05-24 13:47:03.559603,20100,79,45,7,42,46,M,45,2025-05-24 13:47:03.598477,20250524,97691465,4200,10079,S,9,S,1,1,1,1,PH,3,1,NOR,0,93,0,4500,930,2
2022,RZ,10007,20007,N,2024-08-25 13:47:03.559603,20220,87,16,9,4,59,H,64,2025-05-24 13:47:03.604803,20250524,33220503,400,10087,S,4,S,0,1,1,0,CR,4,1,FSM,1,1,1,1600,10,1
2015,CE,10008,20008,S,2024-12-31 13:47:03.559603,20150,94,39,6,27,59,H,97,2025-05-24 13:47:03.611820,20250524,33220503,2700,10094,N,7,N,1,0,0,0,CR,4,1,GAB,1,53,1,3900,530,1
2017,CA,10009,20009,N,2025-02-16 13:47:03.559603,20170,69,33,5,18,56,H,28,2025-05-24 13:47:03.618809,20250524,71394920,1800,10069,N,10,N,0,0,0,0,CR,4,1,KAZ,0,63,0,3300,630,1
2021,DP,10010,20010,N,2024-10-22 13:47:03.559603,20210,6,27,5,44,32,M,81,2025-05-24 13:47:03.624822,20250524,50418290,4400,10006,N,5,N,0,0,0,1,TP,2,1,EGY,1,64,1,2700,640,2
2021,RE,10011,20011,S,2024-11-25 13:47:03.559603,20210,96,19,7,2,42,M,54,2025-05-24 13:47:03.630809,20250524,72109613,200,10096,S,2,N,1,1,0,1,TC,1,1,MRT,1,65,1,1900,650,2
2013,PA,10012,20012,N,2025-02-14 13:47:03.559603,20130,80,12,8,24,29,H,26,2025-05-24 13:47:03.636818,20250524,51335545,2400,10080,S,8,S,0,1,1,1,PH,3,1,MNG,0,88,0,1200,880,1
2021,MC,10013,20013,N,2025-03-17 13:47:03.559603,20210,60,13,4,9,94,M,62,2025-05-24 13:47:03.641820,20250524,38824283,900,10060,N,9,N,0,0,0,0,SD,5,1,DMA,1,3,1,1300,30,2
2011,MC,10014,20014,N,2025-03-16 13:47:03.559603,20110,72,2,1,39,5,H,78,2025-05-24 13:47:03.650815,20250524,34152669,3900,10072,S,9,N,0,1,0,1,TC,1,1,GNQ,1,36,1,200,360,1
2022,CA,10015,20015,N,2025-02-20 13:47:03.559603,20220,83,9,8,30,71,H,75,2025-05-24 13:47:03.657807,20250524,2099943,3000,10083,N,10,S,0,0,1,0,SD,5,1,PRY,0,70,0,900,700,1
2012,CA,10016,20016,N,2024-11-04 13:47:03.559603,20120,32,33,4,4,53,H,35,2025-05-24 13:47:03.670806,20250524,96515159,400,10032,N,10,S,0,0,1,0,PH,3,1,IRQ,1,48,1,3300,480,1
2016,RE,10017,20017,N,2025-02-22 13:47:03.559603,20160,75,2,4,1,33,M,55,2025-05-24 13:47:03.681807,20250524,10770971,100,10075,N,2,S,0,0,1,0,TC,1,1,SMR,0,100,0,200,1000,2
2024,RZ,10018,20018,S,2024-09-13 13:47:03.559603,20240,73,27,7,47,58,H,15,2025-05-24 13:47:03.694812,20250524,30824989,4700,10073,S,4,S,1,1,1,0,SD,5,1,CAN,0,93,0,2700,930,1
2018,P1,10019,20019,N,2025-02-24 13:47:03.559603,20180,99,32,3,31,39,M,11,2025-05-24 13:47:03.701809,20250524,46676884,3100,10099,S,1,N,0,1,0,0,SD,5,1,GIN,0,27,0,3200,270,2
2017,CA,10020,20020,N,2024-11-01 13:47:03.559603,20170,72,45,6,24,17,H,94,2025-05-24 13:47:03.708815,20250524,9263592,2400,10072,S,10,N,0,1,0,1,TC,1,1,UGA,1,18,1,4500,180,1
2024,DC,10021,20021,N,2024-08-15 13:47:03.559603,20240,67,9,8,16,35,M,10,2025-05-24 13:47:03.715228,20250524,88824290,1600,10067,S,6,N,0,1,0,0,SD,5,1,VCT,0,51,0,900,510,2
2022,MC,10022,20022,S,2025-04-15 13:47:03.559603,20220,3,6,8,30,67,H,36,2025-05-24 13:47:03.722138,20250524,4324134,3000,10003,N,9,N,1,0,0,1,PH,3,1,TUN,1,87,1,600,870,1
2022,P1,10023,20023,N,2025-05-06 13:47:03.559603,20220,94,26,2,46,2,M,58,2025-05-24 13:47:03.728138,20250524,97077009,4600,10094,S,1,S,0,1,1,0,SD,5,1,BGR,0,29,0,2600,290,2
2014,DP,10024,20024,N,2024-12-09 13:47:03.559603,20140,76,2,6,31,40,H,24,2025-05-24 13:47:03.735137,20250524,15922674,3100,10076,N,5,N,0,0,0,0,PH,3,1,BLZ,0,68,0,200,680,1
2011,PA,10025,20025,N,2024-11-22 13:47:03.559603,20110,63,27,3,38,20,M,32,2025-05-24 13:47:03.741148,20250524,38532662,3800,10063,S,8,S,0,1,1,0,SD,5,1,THA,1,32,1,2700,320,2
2014,P1,10026,20026,S,2024-10-06 13:47:03.559603,20140,41,47,9,33,81,M,91,2025-05-24 13:47:03.747147,20250524,94393484,3300,10041,N,1,S,1,0,1,0,TP,2,1,QAT,1,32,1,4700,320,2
2018,P1,10027,20027,N,2024-12-26 13:47:03.559603,20180,66,32,7,30,52,M,37,2025-05-24 13:47:03.753139,20250524,90395620,3000,10066,N,1,N,0,0,0,1,TP,2,1,SLB,1,60,1,3200,600,2
