ID_CURSO_EGRACONS,ID_CURSO_EGRACONS_NK,ID_CURSO_ACADEMICO_CALIFIC,ID_CURSO_ACADEMICO_CALIFIC_NK,ID_ALUMNO,ID_EXPEDIENTE_ACADEMICO,ID_EXPEDIENTE_ACADEMICO_NK,EXPEDIENTE_ASIGNATURA,ID_TIPO_ESTUDIO,ID_ESTUDIO,ID_PLAN_ESTUDIO,ID_RAMA_CONOCIMIENTO,ID_CENTRO,ID_CENTRO_NK,ID_POBLACION_CENTRO,ID_ASIGNATURA,ID_ASIGNATURA_NK,ID_TIPO_ASIGNATURA,ID_CLASE_ASIGNATURA,CREDITOS,NOTA_NUMERICA,ID_CALIFICACION,ID_CALIFICACION_NK,ID_RANGO_NOTA_NUMERICA,ID_RANGO_NOTA_EGRACONS,ID_PLAN_GRUPO_MATRICULA,ID_PLAN_GRUPO_MATRICULA_NK,ID_CENTRO_IMPARTICION,ID_CENTRO_IMPARTICION_NK,ID_ESTUDIO_ASIGNATURA,ID_ESTUDIO_ASIGNATURA_NK,ID_TIPO_ESTUDIO_ASIGNATURA,ID_TIPO_ESTUDIO_ASIGNATURA_NK,ID_RAMA_CONOCIMIENTO_ASIG,ID_RAMA_CONOCIMIENTO_ASIG_NK,ID_ESTUDIO_NK,ID_PROGRAMA_MOVILIDAD,ID_PROGRAMA_MOVILIDAD_NK,FLG_ENTRADA,SN_PROGRAMA_INTERNACIONAL
20180,2018,20160,2016,294,10228,10228,497,4,23,65,1,42,4200,161,279,279,6,1,8.0,6.29,6,MH,4,8,94,94,41,41,122,122,4,4,5,D,2300,2,20,N,N
20230,2023,20230,2023,306,10869,10869,361,2,9,52,5,2,200,59,480,480,4,5,9.9,7.48,4,NT,4,4,48,48,11,11,92,92,2,2,4,B,900,6,60,S,S
20240,2024,20160,2016,409,16429,16429,149,1,49,48,3,31,3100,127,169,169,10,5,4.9,8.75,5,SB,3,4,10,10,15,15,105,105,1,1,4,D,4900,1,10,N,N
20200,2020,20210,2021,2,17418,17418,204,1,23,71,2,13,1300,199,375,375,10,4,11.9,8.63,7,CO,5,5,22,22,11,11,48,48,1,1,5,D,2300,7,70,N,N
20120,2012,20180,2018,934,19754,19754,318,5,10,29,5,23,2300,279,68,68,3,5,9.8,3.36,2,SS,1,9,26,26,18,18,143,143,5,5,4,C,1000,8,80,N,N
20130,2013,20160,2016,753,14098,14098,394,3,37,35,5,11,1100,29,283,283,8,4,9.2,0.53,6,MH,1,7,81,81,42,42,8,8,3,3,4,B,3700,8,80,S,N
20150,2015,20230,2023,617,10584,10584,21,3,23,88,2,48,4800,219,328,328,5,3,7.0,0.34,8,AD,1,6,11,11,4,4,174,174,3,3,1,D,2300,1,10,N,N
20170,2017,20110,2011,785,16233,16233,179,4,46,48,5,36,3600,498,446,446,3,4,11.9,1.07,7,CO,1,5,50,50,20,20,48,48,4,4,3,A,4600,9,90,S,N
20200,2020,20120,2012,642,13411,13411,11,3,27,35,1,30,3000,124,129,129,5,4,9.4,2.49,1,NP,2,7,84,84,23,23,190,190,3,3,1,B,2700,8,80,S,S
20170,2017,20110,2011,310,16472,16472,220,2,2,85,4,22,2200,498,248,248,8,3,4.4,9.09,9,RE,5,2,10,10,47,47,147,147,2,2,2,E,200,2,20,N,S
20100,2010,20110,2011,466,10916,10916,207,5,25,85,2,43,4300,437,167,167,8,4,11.2,7.66,8,AD,1,2,5,5,50,50,59,59,5,5,1,E,2500,2,20,N,N
20110,2011,20170,2017,400,17513,17513,427,2,45,63,2,33,3300,478,349,349,5,1,11.6,1.21,1,NP,3,4,40,40,40,40,76,76,2,2,2,E,4500,2,20,N,N
20230,2023,20180,2018,725,11501,11501,211,3,4,47,2,37,3700,221,27,27,6,3,6.4,2.93,5,SB,2,8,46,46,1,1,154,154,3,3,4,E,400,8,80,S,N
20200,2020,20150,2015,253,14925,14925,261,3,6,95,5,34,3400,256,451,451,3,3,6.8,8.51,9,RE,3,4,39,39,36,36,20,20,3,3,3,E,600,5,50,N,N
20130,2013,20180,2018,837,12152,12152,15,1,24,96,2,26,2600,52,229,229,9,4,9.4,8.58,1,NP,3,4,84,84,11,11,48,48,1,1,5,D,2400,4,40,S,N
20150,2015,20140,2014,266,15015,15015,409,2,45,19,5,2,200,475,425,425,5,3,5.9,2.72,7,CO,4,1,88,88,27,27,199,199,2,2,5,C,4500,7,70,N,S
20210,2021,20160,2016,559,16491,16491,225,4,24,77,2,47,4700,327,368,368,3,1,5.4,1.76,5,SB,5,7,30,30,3,3,2,2,4,4,1,D,2400,4,40,S,N
20200,2020,20120,2012,467,15037,15037,289,2,6,48,5,29,2900,271,84,84,5,1,3.7,2.06,3,AP,4,10,24,24,28,28,59,59,2,2,2,E,600,2,20,N,N
20210,2021,20160,2016,14,15542,15542,133,2,32,81,4,44,4400,297,239,239,7,2,4.6,8.31,3,AP,2,8,28,28,19,19,139,139,2,2,3,A,3200,8,80,N,S
20140,2014,20200,2020,637,17043,17043,323,2,26,73,3,48,4800,493,189,189,9,5,9.1,2.19,6,MH,4,2,34,34,44,44,171,171,2,2,4,E,2600,5,50,S,N
20100,2010,20160,2016,210,11306,11306,245,3,11,71,3,39,3900,247,271,271,3,2,9.4,9.67,6,MH,4,4,75,75,42,42,17,17,3,3,1,A,1100,10,100,N,N
20210,2021,20160,2016,369,16438,16438,12,2,5,66,3,40,4000,23,403,403,2,3,6.9,0.72,2,SS,1,5,24,24,25,25,119,119,2,2,3,B,500,10,100,S,N
20160,2016,20120,2012,907,10120,10120,116,3,9,52,2,46,4600,414,107,107,10,3,11.6,4.1,7,CO,3,5,5,5,21,21,4,4,3,3,4,C,900,3,30,S,S
20110,2011,20120,2012,103,12703,12703,406,5,45,27,3,3,300,280,424,424,9,1,12.0,9.32,2,SS,5,7,12,12,13,13,183,183,5,5,2,B,4500,10,100,N,S
20180,2018,20130,2013,773,17514,17514,396,1,29,74,2,26,2600,289,330,330,2,2,9.2,1.31,8,AD,1,3,54,54,35,35,181,181,1,1,2,B,2900,10,100,N,S
20180,2018,20240,2024,474,14751,14751,209,1,1,18,4,8,800,500,368,368,7,4,8.9,1.99,3,AP,4,2,67,67,4,4,27,27,1,1,4,D,100,5,50,S,S
20210,2021,20230,2023,895,10667,10667,58,2,20,55,1,32,3200,64,14,14,9,1,10.9,5.85,8,AD,1,10,91,91,11,11,137,137,2,2,2,B,2000,6,60,N,S
20210,2021,20170,2017,37,19395,19395,180,3,41,98,1,45,4500,369,233,233,6,5,5.0,2.8,8,AD,2,5,41,41,19,19,199,199,3,3,3,D,4100,7,70,S,S
20230,2023,20190,2019,258,13181,13181,259,5,19,75,2,16,1600,273,360,360,8,4,8.6,7.77,5,SB,4,6,7,7,13,13,197,197,5,5,5,B,1900,3,30,S,S
20120,2012,20110,2011,511,12156,12156,36,5,30,97,1,35,3500,104,482,482,4,5,4.9,5.3,7,CO,1,10,52,52,36,36,51,51,5,5,3,E,3000,9,90,N,N
20240,2024,20130,2013,654,15600,15600,13,1,30,43,2,24,2400,375,469,469,3,5,3.4,3.23,4,NT,4,5,79,79,8,8,199,199,1,1,1,D,3000,6,60,S,N
20200,2020,20120,2012,722,10242,10242,22,3,11,83,2,10,1000,175,390,390,7,4,8.9,0.36,4,NT,2,10,20,20,37,37,133,133,3,3,5,A,1100,2,20,N,N
20170,2017,20100,2010,620,14390,14390,80,5,49,88,2,37,3700,304,54,54,6,4,8.3,0.33,10,AN,3,5,12,12,27,27,68,68,5,5,5,E,4900,10,100,S,N
20140,2014,20140,2014,19,16671,16671,445,4,38,10,4,39,3900,35,231,231,6,5,5.4,3.8,9,RE,2,8,43,43,1,1,98,98,4,4,5,B,3800,5,50,N,S
20140,2014,20160,2016,914,15720,15720,381,3,45,41,1,9,900,264,247,247,1,1,3.3,3.27,1,NP,3,4,83,83,2,2,40,40,3,3,4,D,4500,5,50,N,N
20100,2010,20120,2012,892,19166,19166,293,3,40,56,1,10,1000,496,142,142,7,2,10.7,3.7,6,MH,1,8,57,57,12,12,39,39,3,3,4,C,4000,3,30,N,S
20240,2024,20150,2015,347,15666,15666,100,4,41,77,2,3,300,469,211,211,7,3,4.9,6.71,9,RE,1,6,42,42,18,18,107,107,4,4,2,B,4100,10,100,N,N
20180,2018,20140,2014,840,10539,10539,438,4,27,77,4,16,1600,474,167,167,3,2,5.9,5.52,7,CO,2,6,59,59,38,38,100,100,4,4,3,E,2700,3,30,N,S
20170,2017,20230,2023,891,13465,13465,419,4,47,98,1,3,300,495,287,287,3,5,11.7,8.34,10,AN,3,2,57,57,49,49,67,67,4,4,3,D,4700,4,40,N,N
