ID_CURSO_ACADEMICO_NK,ID_EXPEDIENTE_ACADEMICO_NK,ID_CURSO_ACADEMICO,ID_ALUMNO,ID_EXPEDIENTE_ACADEMICO,ID_TIPO_ABANDONO,ID_TIPO_EGRESO,ID_PLAN_ESTUDIO,ID_CENTRO,ID_CURSO_ACADEMICO_COHORTE,ID_TIPO_ACCESO,ID_TITULACION,ID_POBLACION_FAMILIAR,CURSOS_MATRICULADOS,CURSO_MAS_ALTO_MATRICULADO,CURSOS_EXTRA_GRADUACION,DURACION,DURACION_REAL,CREDITOS_MATRICULADOS,ID_RANGO_CREDITOS_MATRICULADOS,CREDITOS_SUPERADOS,ID_RANGO_CREDITOS_SUPERADOS,CREDITOS_NECESARIOS,ID_RANGO_CREDITOS_NECESARIOS,CALIFICACION_FINAL,ID_RANGO_CALIFICACION_FINAL,SEXO,ID_SEXO,EDAD,ID_FECHA_SOLICITUD_TITULO,ID_FECHA_EGRESO,GRADUADO,TRASLADO,SN_SOLICITA_TITULO,SN_ABANDONO_INICIAL,FLG_SOLICITUD_TITULO,FLG_ABANDONO_INICIAL,FLG_CALCULO_TASA,FLG_GRADUADO_EN_TIEMPO,FECHA_CARGA,SN_GRADUADO_EN_TIEMPO,ABANDONO_GENERICO,ABANDONO_OFICIAL,FLG_PLAN_OFICIAL,CREDITOS_RECONOCIDOS,ID_RANGO_CREDITOS_RECONOCIDOS,SN_CAMBIO_CICLO_GRADO,FLG_DURACION_MEDIA,ID_ESTUDIO_PREVIO,ID_PAIS_NACIONALIDAD,ID_CENTRO_ORIGEN,SN_MULTIPLE_TITULACION,SN_MOVILIDAD_IN,FLG_MULTIPLE_TITULACION,FLG_MOVILIDAD_IN,ID_FECHA_CARGA,ID_TIPO_TITULACION,ID_TIPO_ESTUDIO,ID_ESTUDIO,ID_TIPO_CENTRO,ID_CAMPUS_CENTRO,ID_POBLACION_CENTRO,ID_TIPO_CENTRO_ORI,ID_CAMPUS_CENTRO_ORI,ID_POBLACION_CENTRO_ORI,ID_RAMA_CONOCIMIENTO,ID_PERSONA_NIP_NK,ORDEN_BOE_PLAN,SN_DOCTORADO_VIGENTE,SN_MOVILIDAD_OUT_INTERNACIONAL,SN_MOVILIDAD_OUT_NACIONAL,ID_PAIS_FAMILIAR,ID_PAIS_FAMILIAR_NK,ID_EDAD_EST,ID_ESTUDIO_OTRA_UNIV_DEST,ID_CENTRO_OTRA_UNIV_DEST,SN_UNITA,SN_UNITA_GEMINAE
2014,200001,20140,62,200001,1,2,57,17,20100,8,12,247,2,1,0.0,8,8.53155384674928,303.0,4,277.0,5,300.0,2,0.0,4,M,2,45,20231126,20210708,0,0,N,N,0,0,0,0,2020-07-28,N,0,0,0,14.0,2,S,0,2,4,8,S,N,1,0,20230126,10,5,49,6,1,236,5,1,282,2,8289024,BOE-284-2016,S,N,N,80,ETH,1,12,29,N,S
2014,200002,20140,43,200002,1,4,96,13,20100,2,50,4,1,1,0.0,6,7.447409764635228,227.0,5,149.0,5,187.0,3,0.0,2,M,2,63,20230725,20220727,0,1,N,N,0,0,1,0,2022-06-09,N,0,0,0,3.0,4,S,0,2,36,36,S,N,1,0,20220722,6,9,50,8,2,363,6,1,395,4,55813853,BOE-668-2010,N,S,N,76,COM,7,34,16,S,S
2016,200003,20160,83,200003,6,1,97,19,20110,2,34,406,2,1,0.0,6,6.021514512511497,230.0,4,168.0,3,188.0,2,0.0,5,M,2,34,20200609,20220727,0,0,N,S,0,1,1,0,2022-06-11,N,0,0,1,9.0,4,S,0,1,66,41,S,N,1,0,20220103,9,5,45,6,2,237,5,9,55,2,60858653,BOE-848-2014,N,N,N,70,BRN,1,35,42,S,N
2023,200004,20230,34,200004,5,3,31,33,20110,11,12,478,3,3,0.0,7,8.201216195039907,358.0,1,353.0,5,353.0,4,0.0,3,M,2,26,20200612,20200419,0,1,S,N,1,0,0,0,2020-03-15,N,0,0,1,12.0,4,N,0,4,14,5,S,N,1,0,20230310,10,9,44,7,5,103,5,1,45,4,82493631,BOE-753-2016,S,S,S,35,IRQ,1,24,43,N,S
2021,200005,20210,75,200005,4,2,5,9,20150,11,9,429,8,6,4.0,8,8.85538654007752,352.0,1,352.0,1,350.0,3,5.327,2,M,2,60,20200207,20221216,1,0,S,N,1,0,0,0,2020-03-03,N,0,0,0,15.0,4,S,0,5,13,44,S,S,1,1,20200127,1,10,19,7,3,190,6,5,495,9,27568520,BOE-514-2015,N,N,N,25,PHL,2,29,50,N,S
2014,200006,20140,92,200006,2,3,62,5,20120,2,2,225,4,2,0.0,6,5.767323457670534,367.0,4,287.0,2,333.0,1,0.0,3,H,1,50,20201209,20220127,0,0,S,S,1,1,0,0,2022-11-03,N,0,0,0,17.0,3,N,0,3,7,45,N,N,0,0,20210507,4,4,20,5,1,235,6,2,353,2,90297353,BOE-709-2023,S,S,N,36,TUN,3,17,50,N,S
2013,200007,20130,17,200007,3,4,88,16,20110,1,32,69,5,4,1.0,7,8.287382265269898,287.0,3,284.0,3,280.0,2,5.823,3,H,1,56,20200408,20200120,1,0,S,S,1,1,0,0,2020-09-16,N,0,0,1,30.0,5,S,0,8,44,15,N,N,0,0,20230814,8,4,5,5,3,380,4,9,404,10,31715995,BOE-645-2019,S,N,S,56,LIE,7,33,45,N,N
2022,200008,20220,85,200008,2,1,15,4,20200,3,12,384,4,4,0.0,4,5.041685207942436,227.0,1,226.0,2,226.0,3,6.051,4,H,1,53,20230914,20221125,1,0,S,N,1,0,1,1,2023-02-27,S,0,0,1,11.0,5,N,1,9,53,32,N,N,0,0,20200701,10,8,8,3,6,397,1,4,41,9,68886959,BOE-526-2010,N,N,S,37,SLB,9,37,15,N,S
2023,200009,20230,2,200009,6,6,63,22,20110,1,41,324,5,5,0.0,4,4.562037493929992,360.0,2,252.0,1,302.0,2,0.0,2,H,1,54,20230608,20221009,0,0,S,S,1,1,0,0,2023-02-09,N,1,0,0,7.0,4,N,1,10,34,41,N,S,0,1,20200115,1,6,27,6,7,41,5,9,444,6,35002007,BOE-547-2014,N,N,N,72,GNB,1,42,34,S,N
2014,200010,20140,38,200010,1,6,77,7,20100,13,27,95,3,3,0.0,5,6.434007989112407,274.0,1,236.0,1,215.0,2,0.0,1,M,2,35,20210312,20210226,0,0,N,N,0,0,0,0,2022-11-04,N,0,0,0,8.0,3,S,0,7,20,45,N,N,0,0,20210128,6,4,8,1,10,33,6,2,380,14,64180488,BOE-205-2012,S,N,N,69,TZA,4,2,15,S,N
