ID_CURSO_ACADEMICO_NK,ID_EXPEDIENTE_ACADEMICO_NK,ID_ALUMNO_NIP_NK,ID_CURSO_ACADEMICO,ID_EXPEDIENTE_ACADEMICO,ID_ALUMNO,ID_CENTRO,ID_PLAN_ESTUDIO,ID_TIPO_ESTUDIO,ID_UNIVERSIDAD_ORIGEN,ID_PAIS_UNIVERSIDAD_ORIGEN,ID_TUTOR,ID_RANGO_CRED_SUPERADOS,ID_FECHA_INICIO_ESTANCIA,ID_FECHA_FIN_ESTANCIA,ID_SEXO,ID_PAIS_NACIONALIDAD,EDAD,CREDITOS_SUPERA_DESTINO,DURACION_ESTANCIA,FECHA_CARGA,ID_PROGRAMA_MOVILIDAD_NK,ID_PROGRAMA_MOVILIDAD,ID_ESTUDIO,ID_RAMA_CONOCIMIENTO,ID_FECHA_CARGA,CREDITOS_MATRICULADOS,ID_CENTRO_NK,ID_CENTRO_IMPARTICION,ID_CENTRO_IMPARTICION_NK,ID_EDAD_EST,ID_PLAN_ESTUDIO_MAX
2016,200001,400001,20160,300001,500001,13,53,6,19,92,743,3,20210502,20231110,2,55,18,12,30,2023-02-19,10,1,40,7,20220410,25,1300,13,1300,4,26
2013,200002,400002,20130,300002,500002,35,45,7,85,82,248,7,20210816,20230728,1,93,30,20,23,2022-07-14,30,3,30,6,20230607,31,3500,15,1500,6,1
2022,200003,400003,20220,300003,500003,35,36,5,24,83,907,4,20220402,20230217,1,86,28,31,10,2023-12-02,50,5,6,6,20220424,42,3500,49,4900,4,72
2023,200004,400004,20230,300004,500004,41,25,10,89,23,80,5,20220315,20221127,2,28,28,11,8,2022-10-21,40,4,31,1,20231117,58,4100,41,4100,1,63
2021,200005,400005,20210,300005,500005,3,64,6,74,25,534,7,20211130,20220928,1,79,24,41,10,2023-01-20,40,4,9,7,20221017,44,300,29,2900,3,43
2024,200006,400006,20240,300006,500006,1,29,5,75,65,323,7,20220826,20220601,1,6,20,14,-2,2022-05-08,40,4,24,8,20221220,38,100,10,1000,7,35
2023,200007,400007,20230,300007,500007,19,46,9,16,3,779,5,20211009,20230930,2,97,26,8,24,2023-12-19,90,9,34,6,20221213,16,1900,19,1900,3,44
2018,200008,400008,20180,300008,500008,47,66,4,59,55,168,7,20211027,20231205,2,48,30,18,25,2022-08-01,80,8,42,1,20230930,23,4700,47,4700,7,34
2023,200009,400009,20230,300009,500009,46,91,6,39,89,730,3,20220730,20220109,2,14,18,20,-6,2023-09-07,20,2,17,10,20221029,26,4600,46,4600,2,52
2012,200010,400010,20120,300010,500010,37,18,8,28,4,978,2,20211220,20230328,2,44,19,24,15,2022-02-12,50,5,32,9,20221020,56,3700,37,3700,10,31
2010,200011,400011,20100,300011,500011,3,3,9,93,11,942,1,20220530,20231106,2,58,27,4,17,2022-02-25,10,1,25,6,20230626,27,300,3,300,8,15
2019,200012,400012,20190,300012,500012,3,27,10,6,16,223,5,20221207,20230421,2,83,20,12,4,2023-04-09,90,9,5,3,20220125,36,300,3,300,5,96
2023,200013,400013,20230,300013,500013,13,44,5,36,99,263,2,20210719,20231128,2,64,22,21,28,2022-02-09,50,5,22,6,20231031,32,1300,13,1300,4,64
2024,200014,400014,20240,300014,500014,42,77,6,2,1,404,1,20220728,20230528,1,96,24,3,10,2023-01-11,30,3,3,3,20231130,11,4200,30,3000,6,71
2014,200015,400015,20140,300015,500015,43,48,3,80,90,385,6,20221108,20230927,2,92,26,12,10,2022-08-15,50,5,34,3,20220529,15,4300,43,4300,10,100
2015,200016,400016,20150,300016,500016,48,13,4,4,17,335,4,20211220,20231209,1,52,18,30,23,2023-07-30,40,4,3,9,20231011,48,4800,38,3800,6,80
2013,200017,400017,20130,300017,500017,43,25,1,100,7,332,1,20221008,20220316,2,71,25,31,-6,2023-07-24,20,2,10,7,20220721,56,4300,43,4300,7,31
2010,200018,400018,20100,300018,500018,5,67,8,18,89,860,5,20220825,20230501,1,20,28,1,8,2022-06-12,20,2,38,7,20230912,56,500,5,500,4,89
2010,200019,400019,20100,300019,500019,15,99,9,74,39,289,6,20220922,20230826,1,24,23,4,11,2023-02-23,10,1,28,2,20231204,19,1500,15,1500,3,48
2019,200020,400020,20190,300020,500020,24,82,8,15,89,268,1,20210205,20220125,2,60,20,3,11,2022-08-31,60,6,38,5,20230208,19,2400,24,2400,4,39
2015,200021,400021,20150,300021,500021,38,18,5,52,70,107,2,20211125,20230910,1,75,20,39,21,2023-09-16,10,1,21,3,20230611,45,3800,38,3800,6,76
2015,200022,400022,20150,300022,500022,36,38,8,16,31,256,4,20220707,20220711,1,29,30,0,0,2023-02-19,20,2,40,2,20220715,39,3600,43,4300,6,48
2013,200023,400023,20130,300023,500023,33,81,7,50,75,227,2,20210305,20220331,2,77,29,18,13,2023-05-02,90,9,45,3,20230429,60,3300,33,3300,1,64
2015,200024,400024,20150,300024,500024,16,87,7,7,33,671,5,20210915,20231130,2,45,24,8,26,2022-04-25,40,4,27,8,20221024,26,1600,16,1600,10,47
2017,200025,400025,20170,300025,500025,13,56,10,10,14,691,4,20211102,20220717,2,48,24,1,8,2023-07-23,30,3,30,5,20220121,28,1300,13,1300,2,59
2017,200026,400026,20170,300026,500026,32,25,10,20,40,780,7,20221229,20220114,2,52,21,5,-11,2022-11-04,60,6,24,3,20220220,60,3200,32,3200,4,65
2019,200027,400027,20190,300027,500027,30,32,8,74,15,384,6,20210730,20220327,2,37,26,5,8,2023-11-15,30,3,34,9,20220307,10,3000,30,3000,6,88
2018,200028,400028,20180,300028,500028,21,15,4,19,69,794,5,20220317,20230823,2,97,19,20,17,2023-11-28,40,4,46,4,20220405,20,2100,21,2100,8,73
2022,200029,400029,20220,300029,500029,47,26,3,14,49,764,4,20210326,20221101,2,97,25,24,19,2022-05-08,70,7,49,8,20231227,27,4700,47,4700,10,75
2011,200030,400030,20110,300030,500030,45,57,5,56,28,707,4,20211103,20230617,1,79,30,12,19,2022-06-23,100,10,2,10,20230705,21,4500,48,4800,3,88
2022,200031,400031,20220,300031,500031,36,32,1,58,28,235,5,20210703,20220605,2,60,26,4,11,2022-09-05,90,9,48,6,20220604,20,3600,36,3600,5,81
2022,200032,400032,20220,300032,500032,36,25,2,5,34,926,3,20220909,20220811,1,31,30,38,0,2023-05-25,100,10,36,6,20230830,50,3600,13,1300,4,14
2012,200033,400033,20120,300033,500033,5,86,3,39,69,882,6,20210912,20230212,2,74,26,24,17,2023-12-21,80,8,1,2,20231118,52,500,5,500,2,38
2024,200034,400034,20240,300034,500034,8,19,1,40,26,90,5,20220605,20221125,1,75,30,12,5,2022-11-18,80,8,38,4,20220321,39,800,8,800,6,85
2014,200035,400035,20140,300035,500035,47,18,10,78,99,2,2,20210224,20221028,2,24,27,23,20,2023-06-25,20,2,15,3,20220611,33,4700,50,5000,1,28
2010,200036,400036,20100,300036,500036,34,57,3,64,32,613,6,20210206,20221005,2,9,20,40,20,2023-06-26,80,8,25,9,20230630,55,3400,34,3400,4,6
2020,200037,400037,20200,300037,500037,10,15,6,75,58,531,7,20220415,20230820,1,72,24,47,16,2022-02-28,60,6,23,6,20221026,49,1000,10,1000,1,72
2013,200038,400038,20130,300038,500038,37,25,9,13,88,210,5,20210325,20220112,1,24,21,20,9,2023-03-29,80,8,11,1,20220919,53,3700,39,3900,5,74
2011,200039,400039,20110,300039,500039,8,92,10,16,20,725,6,20210526,20230414,1,4,22,8,22,2023-07-19,10,1,31,10,20221106,36,800,8,800,8,65
2012,200040,400040,20120,300040,500040,10,70,1,57,36,57,7,20210718,20220427,1,84,20,12,9,2023-09-13,70,7,12,5,20230609,26,1000,10,1000,6,91
2019,200041,400041,20190,300041,500041,33,31,9,33,73,449,7,20220623,20230403,1,2,21,14,9,2022-08-30,100,10,9,6,20220605,51,3300,33,3300,3,56
2013,200042,400042,20130,300042,500042,48,90,4,54,14,610,2,20210307,20230408,2,70,23,28,25,2023-02-21,60,6,5,5,20220316,52,4800,48,4800,5,83
2021,200043,400043,20210,300043,500043,24,9,4,100,94,285,3,20210703,20230601,1,92,27,45,23,2022-03-24,50,5,19,1,20230428,60,2400,24,2400,9,20
2017,200044,400044,20170,300044,500044,15,18,2,98,41,489,1,20210428,20230117,2,17,22,45,20,2022-02-16,100,10,8,7,20220410,54,1500,15,1500,10,89
2016,200045,400045,20160,300045,500045,25,41,3,1,24,597,4,20211222,20221226,1,61,30,19,12,2022-01-10,80,8,38,3,20220223,25,2500,25,2500,4,60
2011,200046,400046,20110,300046,500046,9,21,10,16,93,514,3,20210624,20220815,2,55,25,14,13,2022-07-24,40,4,41,9,20230121,14,900,9,900,8,46
2017,200047,400047,20170,300047,500047,46,36,5,87,69,893,4,20210724,20220704,1,92,21,12,11,2023-11-12,10,1,46,8,20220812,24,4600,46,4600,2,81
2023,200048,400048,20230,300048,500048,5,85,7,96,99,936,1,20210312,20230105,2,30,21,27,22,2022-04-18,60,6,25,3,20231019,52,500,5,500,4,23
2011,200049,400049,20110,300049,500049,27,60,3,73,77,953,5,20210805,20220203,2,100,21,4,6,2022-05-24,70,7,30,6,20220708,14,2700,27,2700,3,77
2014,200050,400050,20140,300050,500050,36,10,5,17,13,110,7,20220221,20220318,1,35,29,41,0,2022-11-22,40,4,33,4,20230523,49,3600,36,3600,10,36
