ID_CURSO_ACADEMICO_NK,ID_EXPEDIENTE_ACADEMICO_NK,ID_ALUMNO_NIP_NK,ID_SOLICITUD_MOVILIDAD_NK,ID_CURSO_ACADEMICO,ID_EXPEDIENTE_ACADEMICO,ID_ALUMNO,ID_CENTRO,ID_PLAN_ESTUDIO,ID_TIPO_ESTUDIO,ID_UNIVERSIDAD_DESTINO,ID_PAIS_UNIVERSIDAD_DESTINO,ID_TUTOR,ID_AREA_ESTUDIOS_MOVILIDAD,ID_NIVEL_ESTUDIOS_MOVILIDAD,ID_TIPO_ACCESO,ID_RANGO_CRED_SUPERADOS,ID_RANGO_CRED_SUPERADOS_PREVIO,ID_FECHA_INICIO_ESTANCIA,ID_FECHA_FIN_ESTANCIA,ID_SEXO,ID_PAIS_NACIONALIDAD,ID_RANGO_NOTA_ADMISION,EDAD,ORDEN_PREFERENCIA,FLG_ACCESO_DIRECTO_MOVILIDAD,DURACION_ESTANCIA,ANOS_CURSADOS,CURSO_MAS_ALTO_MATRICULADO,CREDITOS_SUPERADOS_PREVIO,CREDITOS_SUPERA_DESTINO,NOTA_ADMISION,FECHA_CARGA,ID_POBLACION_FAMILIAR,ID_PROGRAMA_MOVILIDAD_NK,ID_PROGRAMA_MOVILIDAD,ID_ESTUDIO,ID_RAMA_CONOCIMIENTO,ID_FECHA_CARGA,FLG_NUM_ACCESO_DIRECTO_MOVI,ID_EDAD_EST
2011,600001,800001,1000001,20110,700001,900001,25,87,2,41,18,55,8,7,7,7,3,20221031,20231006,1,18,4,20,2,N,11,1,2,92,53,7.1,2022-06-06,266,100,10,19,9,20220917,0,5
2012,600002,800002,1000002,20120,700002,900002,32,43,5,93,50,348,3,3,13,7,3,20210418,20230527,2,86,5,18,5,N,25,3,3,105,31,6.78,2022-09-21,388,60,6,48,4,20220625,0,4
2021,600003,800003,1000003,20210,700003,900003,10,10,6,51,52,383,20,8,10,4,3,20220828,20230707,1,20,1,30,4,S,10,1,3,40,13,12.9,2023-12-24,53,20,2,13,10,20230926,1,2
2010,600004,800004,1000004,20100,700004,900004,20,34,3,47,48,937,15,3,13,3,6,20210331,20220710,1,71,3,23,5,N,15,2,4,163,11,7.8,2022-03-30,473,100,10,11,14,20220122,0,8
2024,600005,800005,1000005,20240,700005,900005,4,12,8,47,91,770,6,2,7,7,7,20210130,20220108,1,2,3,30,2,N,11,2,2,164,18,8.26,2023-03-17,396,60,6,23,2,20220703,0,7
2018,600006,800006,1000006,20180,700006,900006,39,1,1,53,82,49,16,3,14,1,3,20221101,20231117,2,24,4,20,5,S,12,4,1,81,49,7.72,2023-06-15,397,90,9,29,2,20221207,1,8
2017,600007,800007,1000007,20170,700007,900007,33,15,6,57,58,102,9,8,3,7,6,20220317,20230424,1,76,5,27,1,S,13,2,2,134,36,9.15,2023-08-25,65,70,7,40,7,20220823,1,2
2019,600008,800008,1000008,20190,700008,900008,11,52,5,78,72,937,12,1,3,2,4,20210730,20220813,2,85,5,23,3,S,12,2,2,35,12,5.83,2023-12-10,131,90,9,21,2,20230121,1,5
2011,600009,800009,1000009,20110,700009,900009,39,6,7,43,63,788,8,4,8,7,1,20210829,20230717,1,44,4,27,2,N,22,2,3,52,43,7.37,2022-04-25,170,10,1,11,13,20221107,0,9
2010,600010,800010,1000010,20100,700010,900010,50,51,5,98,65,350,8,3,11,4,5,20220921,20230611,1,4,4,21,5,S,8,3,2,97,54,6.01,2023-07-01,474,70,7,25,7,20220902,1,3
