ID_CURSO_ACADEMICO_NK,ID_EXPEDIENTE_ACADEMICO_NK,ID_CURSO_ACADEMICO,ID_ALUMNO,ID_EXPEDIENTE_ACADEMICO,ID_PLAN_ESTUDIO,ID_CENTRO,ID_PAIS_NACIONALIDAD,ID_ASIGNATURA,ID_CLASE_ASIGNATURA,ID_TIPO_ACCESO,ID_CURSO_ACADEMICO_COHORTE,ID_POBLACION_FAMILIAR,ID_FECHA_MATRICULA,SEXO,ID_SEXO,EDAD,CREDITOS,CURSO_ORDEN,CURSO_MAS_ALTO_MATRICULADO,NUMERO_MATRICULAS,ID_MODALIDAD_PLAN_NK,ID_GRUPO,FLG_CAMBIO_CICLO_GRADO,FLG_TRASLADO_MISMO_ESTUDIO,ID_TIPO_ESTUDIO_NK,ID_PROGRAMA_MOVILIDAD_NK,SN_COORDINADOR,ID_UNIVERSIDAD_ORIGEN,SN_PROGRAMA_INTERNACIONAL,ID_PAIS_BACH_PROCEDENCIA_NK,ID_TIPO_ESTUDIO,NUM_REGS_GRANO,ID_PAIS_BACH_PROCEDENCIA,FECHA_CARGA,ID_ESTUDIO_PREVIO,ID_TIPO_CENTRO,SN_NUEVO_INGRESO,ID_POBLACION_CENTRO,ID_UNIVERSIDAD_ORIGEN_NK,ID_DETALLE_CUPO_GENERAL_NK,ID_ASIGNATURA_NK,SN_DOCTORADO_VIGENTE,ID_DEDICACION,SN_MULTIPLE_TITULACION,ID_TITULO_PREVIO_MASTER_NK,ID_PLAN_GRUPO_MATRICULA_NK,ID_CENTRO_NK,ID_DEDICACION_NK,ID_PLAN_ESTUDIO_ANO_DATOS,FLG_MOVILIDAD_IN,FLG_ESTUDIANTE_INTERNACIONAL,SN_ESTUDIANTE_INTERNACIONAL,ID_RANGO_NOTA_CRUE,FLG_COORDINADOR,ID_PLAN_GRUPO_MATRICULA,FLG_EQUIVALENTE_TC_SIIU_MOV,SN_PROG_MOVILIDAD,COD_POSTAL_CURSO,FLG_NUEVO_ACCESO_SUE,SN_CAMBIO_CICLO_GRADO_NUEVO,ANYO_ACCESO_SUE,ID_CENTRO_IMPARTICION_NK,FLG_EQUIVALENTE_TC_SIIU,ID_EDAD_EST,ID_PAIS_FAMILIAR,SN_MASTER_HABILITANTE,SN_DISCAPACIDAD,ID_RAMA_CONOCIMIENTO,SN_TRASLADO_MISMO_ESTUDIO,ORDEN_BOE_PLAN,ID_ESTUDIO_NK,COD_POSTAL_FAMILIAR,SN_MOVILIDAD_IN,FLG_INTERUNIVERSITARIO,ID_FECHA_CARGA,ID_DETALLE_CUPO_GENERAL,ID_CAMPUS_CENTRO,ID_ESTUDIO,FLG_NUEVO_INGRESO,SN_NUEVO_ACCESO_SUE,ID_TIPO_ACCESO_NK,ID_PAIS_UNIVERSIDAD_ORIGEN,FLG_DISCAPACIDAD,ID_TIPO_ASIGNATURA,ID_PAIS_FAMILIAR_NK,FLG_MULTIPLE_TITULACION,ID_TITULO_PREVIO_MASTER,ID_PLAN_ESTUDIO_NK,CURSO_IMPARTICION_ASIG,ID_PERSONA_NIP_NK,NUM_REGS_GRANO_MOV,SUPER_EXPEDIENTE,ID_PAIS_UNIVERSIDAD_ORIGEN_NK,SN_CAMBIO_CICLO_GRADO,FLG_EN_PROGRAMA_MOVILIDAD,ID_MODALIDAD_PLAN,SN_INTERUNIVERSITARIO,RANGO_NUM_MATRICULAS
2017,1,20170,98,1,67,30,7,44,1,5,20140,425,20181123,H,1,32,10.8,1,1,3,VIR,20,1,0,2,,N,,,AUT,2,1,7,2023-08-03,2,2,N,124,,DC05,44,S,3,S,T90225,67,30,3,35,0,1,S,1,0,20,0.0,N,24035,0,S,2017,30,1.0,4,93,S,S,10,N,BOE-2011-243,42,40220,N,1,20230803,5,2,42,0,S,PAU,,1,6,CHL,1,81.0,67,1,404729,0,314217,,S,0,3,S,3
2012,2,20120,82,2,3,12,19,420,2,3,20100,262,20130302,M,2,44,11.6,4,3,3,PRE,6,1,0,9,40.0,N,36.0,S,CMR,9,1,19,2022-05-20,8,8,S,75,360.0,DC08,420,N,4,S,,65,12,4,31,1,0,N,3,0,2,0.68,S,06654,0,S,2011,12,1.0,6,19,S,N,5,N,BOE-2021-269,48,09033,S,1,20220520,8,6,48,1,N,PAU,7.0,0,4,CMR,1,,3,4,7467311,1,465779,AUT,S,1,1,S,3
2019,3,20190,85,3,24,37,91,475,5,13,20220,338,20200526,H,1,52,8.6,4,1,1,HYB,9,0,0,5,,S,,,QAT,5,1,91,2023-10-23,2,6,N,90,,DC09,475,S,5,S,,5,37,5,40,0,1,S,1,1,79,0.0,N,35712,1,N,2012,37,1.0,2,91,N,S,10,N,BOE-2015-311,34,25983,N,1,20231023,9,2,34,0,N,PAU,,1,3,QAT,1,,24,4,68886959,0,900432,,N,0,5,S,1
2021,4,20210,21,4,56,34,25,45,5,1,20230,323,20220101,H,1,61,10.0,1,3,1,HYB,17,0,1,2,,N,,,PHL,2,1,25,2023-06-20,10,1,S,2,,DC06,45,N,2,N,,13,34,2,21,1,1,S,1,0,17,0.63,N,11661,1,N,2016,34,1.0,1,25,N,N,15,S,BOE-2010-308,43,43213,S,0,20230620,6,5,43,1,S,PAU,,0,4,PHL,0,,56,1,62464258,1,341773,,N,0,5,N,1
2021,5,20210,15,5,75,31,34,335,1,1,20240,174,20220303,M,2,59,10.4,3,1,1,DIS,8,0,1,5,,S,,,AUS,5,1,34,2023-05-10,1,6,S,53,,DC05,335,S,1,N,T84353,56,31,1,5,0,1,S,4,1,65,0.0,N,48954,0,N,2014,31,0.0,5,38,N,S,3,S,BOE-2023-117,27,18572,N,1,20230510,5,6,27,1,S,PAU,,1,4,PAK,0,94.0,75,3,48258264,0,919506,,N,0,4,S,1
2012,6,20120,15,6,57,8,79,463,3,6,20150,100,20130325,M,2,50,5.0,1,1,3,SEM,9,0,0,7,,N,,,NAM,7,1,79,2021-01-04,2,4,N,151,,DC04,463,N,2,S,T63270,27,8,2,22,0,1,S,1,0,10,0.0,N,33740,1,N,2010,8,1.0,10,25,N,N,2,N,BOE-2017-366,22,40871,N,0,20210104,4,9,22,0,N,PAU,,0,1,PHL,1,8.0,57,1,48258264,0,330987,,N,0,2,N,3
2013,7,20130,18,7,67,15,40,380,5,4,20120,63,20130303,H,1,58,11.6,1,4,1,HYB,20,1,1,3,10.0,S,52.0,S,TUV,3,1,40,2021-07-25,9,4,S,196,520.0,DC10,380,N,4,S,,34,15,4,47,0,1,S,3,1,4,0.0,S,50293,1,S,2010,15,1.0,3,40,N,S,11,S,BOE-2010-175,24,16645,N,0,20210725,10,6,24,1,S,PAU,76.0,1,1,TUV,1,,67,1,8338186,0,894036,COM,S,1,5,N,1
2024,8,20240,2,8,36,44,36,44,2,13,20140,278,20250418,H,1,19,5.4,3,1,1,DIS,5,1,0,6,90.0,S,83.0,S,TUN,6,1,36,2020-02-05,5,7,S,71,830.0,DC10,44,S,1,N,T71454,81,44,1,30,1,1,S,3,1,64,0.75,S,41838,0,S,2017,44,1.0,7,53,N,S,10,N,BOE-2020-026,19,15106,S,0,20200205,10,4,19,1,N,PAU,60.0,1,10,KGZ,0,76.0,36,3,35002007,1,747966,RUS,S,1,4,N,1
2021,9,20210,6,9,77,16,45,56,1,9,20140,228,20220914,H,1,58,10.5,4,1,3,HYB,12,0,0,9,60.0,S,36.0,S,NOR,9,1,45,2022-01-07,9,4,S,147,360.0,DC05,56,N,2,S,,49,16,2,49,1,1,S,5,1,75,1.0,S,41992,0,N,2019,16,0.0,1,45,N,S,6,N,BOE-2021-077,8,14507,S,1,20220107,5,4,8,1,N,PAU,7.0,1,2,NOR,1,,77,4,35835371,1,788976,AUT,N,1,5,S,3
2015,10,20150,32,10,99,24,30,234,3,12,20180,498,20160704,M,2,46,7.6,3,4,3,SEM,14,1,0,4,90.0,S,58.0,S,HND,4,1,30,2021-05-16,1,7,N,91,580.0,DC03,234,S,3,N,T29341,98,24,3,26,0,1,S,2,1,16,0.0,S,20751,0,S,2011,24,1.0,10,30,S,N,2,N,BOE-2011-065,8,34305,N,0,20210516,3,5,8,0,N,PAU,19.0,0,8,HND,0,24.0,99,3,39599276,0,878938,CMR,S,1,2,N,3
