ID_CURSO_ACADEMICO_NK,ID_ACUERDO_BILATERAL_NK,ID_AREA_ESTUDIOS_NK,ID_NIVEL_ESTUDIOS_NK,ID_CURSO_ACADEMICO,ID_ACUERDO_BILATERAL,ID_AREA_ESTUDIOS_MOVILIDAD,ID_NIVEL_ESTUDIOS_MOVILIDAD,IN_OUT,ID_UNIVERSIDAD_ACUERDO,ID_PAIS_UNIVERSIDAD_ACUERDO,ID_COLECTIVO_MOVILIDAD,ID_CURSO_INICIO_VIGENCIA,ID_CURSO_FIN_VIGENCIA,ID_FECHA_REFERENCIA,DURACION_ESTANCIA_ALUMNOS,DURACION_ESTANCIA_DOCENTES,HORAS_CLASE_SEMANA,FECHA_CARGA,ID_PROGRAMA_MOVILIDAD,ID_IDIOMA_NIVEL_PRINCIPAL,ID_IDIOMA_NIVEL_SECUNDARIO,ID_CENTRO,ID_FECHA_CARGA,ID_COLECTIVO_NK,ID_PROGRAMA_MOVILIDAD_NK,ID_UNIVERSIDAD_DESTINO_NK,ID_CURSO_ACADEMICO_INICIO_NK,ID_CURSO_ACADEMICO_FIN_NK,ENTRADA_SALIDA,COD_PLAZA_OFERTADA,COLECTIVO_OFERTA,ID_CENTRO_NK,ID_IDIOMA_1_NK,ID_NIVEL_IDIOMA_1_NK,ID_IDIOMA_2_NK,ID_NIVEL_IDIOMA_2_NK,ID_ALUMNO,ID_ALUMNO_NIP_NK,FLG_OFERTA_ALUMNOS,FLG_OFERTA_DOCENTES,FECHA_REFERENCIA,FLG_PLAZA_FICTICIA
2021,2010-9320,8,DOCTO,20210,5,8,3,IN,41,87,4,20240,20240,20250606,9,4,8,2025-06-16 19:14:04.510603,3,20,17,3,20250616,RE,30,410,2024,2024,E,PLAZA-30-741,MIXTO,300,4,2,3,5,504,31638,1,1,2025-06-06 19:14:04.510603,0
2023,2017-2638,7,DOCTO,20230,15,7,3,IN,25,37,1,20130,20230,20241008,10,2,5,2025-06-16 19:14:04.517605,2,8,5,13,20250616,ST,20,250,2013,2023,E,PLAZA-20-424,PAS,1300,2,2,1,5,74,83570,0,0,2024-10-08 19:14:04.517605,1
2017,2010-9320,10,GRADO1,20170,5,10,4,OUT,25,68,4,20100,20150,20250320,12,5,4,2025-06-16 19:14:04.523605,10,19,13,3,20250616,RE,100,250,2010,2015,S,PLAZA-100-776,ESTUDIANTES,300,4,1,3,1,236,59242,1,0,2025-03-20 19:14:04.523605,0
2011,2019-9666,4,GRADO1,20110,20,4,4,IN,47,32,1,20140,20220,20250613,10,2,2,2025-06-16 19:14:04.530605,6,15,17,44,20250616,ST,60,470,2014,2022,E,PLAZA-60-890,ESTUDIANTES,4400,3,3,3,5,370,30409,1,0,2025-06-13 19:14:04.530605,0
2023,2016-9565,11,POSGR,20230,10,11,6,IN,30,31,3,20150,20200,20241128,10,3,9,2025-06-16 19:14:04.537604,3,16,10,19,20250616,TR,30,300,2015,2020,E,PLAZA-30-949,MIXTO,1900,3,4,2,4,632,16042,1,1,2024-11-28 19:14:04.537604,0
2019,2010-9320,12,GRADO,20190,5,12,1,OUT,3,20,3,20200,20220,20250107,10,4,19,2025-06-16 19:14:04.545604,8,10,6,8,20250616,TR,80,30,2020,2022,S,PLAZA-80-699,ESTUDIANTES,800,2,4,1,6,572,11973,1,0,2025-01-07 19:14:04.545604,1
2022,2015-2188,4,DOCTO,20220,14,4,3,IN,67,60,2,20110,20160,20240808,9,3,7,2025-06-16 19:14:04.553602,8,7,10,50,20250616,TE,80,670,2011,2016,E,PLAZA-80-851,ESTUDIANTES,5000,2,1,2,4,474,56986,1,0,2024-08-08 19:14:04.553602,0
2013,2012-6718,2,SHORT,20130,17,2,7,OUT,84,74,2,20150,20200,20240926,9,4,7,2025-06-16 19:14:04.559605,10,18,4,46,20250616,TE,100,840,2015,2020,S,PLAZA-100-861,PAS,4600,3,6,1,4,870,43589,0,0,2024-09-26 19:14:04.559605,1
2022,2015-2188,13,GRADO,20220,14,13,1,OUT,33,85,1,20190,20200,20250504,9,1,18,2025-06-16 19:14:04.566186,10,15,6,18,20250616,ST,100,330,2019,2020,S,PLAZA-100-138,MIXTO,1800,3,3,1,6,342,92377,1,1,2025-05-04 19:14:04.566186,1
2012,2012-4111,14,MASTER,20120,1,14,2,OUT,59,47,3,20130,20240,20240822,10,2,3,2025-06-16 19:14:04.572187,1,16,13,17,20250616,TR,10,590,2013,2024,S,PLAZA-10-279,PDI,1700,3,4,3,1,986,55095,0,1,2024-08-22 19:14:04.572187,1
2019,2015-2188,7,OTHER,20190,14,7,8,IN,85,72,2,20200,20240,20240618,5,5,6,2025-06-16 19:14:04.581186,1,13,14,25,20250616,TE,10,850,2020,2024,E,PLAZA-10-185,PDI,2500,3,1,3,2,62,14630,0,1,2024-06-18 19:14:04.581186,0
2010,2012-6718,9,GRADO,20100,17,9,1,OUT,30,8,3,20110,20200,20240629,12,5,2,2025-06-16 19:14:04.590191,2,14,13,20,20250616,TR,20,300,2011,2020,S,PLAZA-20-438,PAS,2000,3,2,3,1,973,36030,0,0,2024-06-29 19:14:04.590191,1
