ID_CURSO_ACADEMICO_NK,ID_EXPEDIENTE_ACADEMICO_NK,ID_CURSO_ACADEMICO,ID_EXPEDIENTE_ACADEMICO,ID_ASIGNATURA,ID_CONVOCATORIA,ID_PLAN_ESTUDIO,ID_CENTRO,ID_TIPO_ACCESO,ID_GRUPO,ID_TIPO_DOCENCIA,ID_CLASE_ASIGNATURA,ID_TIPO_RECONOCIMIENTO,ID_CALIFICACION,ID_RANGO_NOTA_NUMERICA,ID_ALUMNO,ID_SEXO,ID_CURSO_ACADEMICO_COHORTE,ID_PAIS_NACIONALIDAD,ID_POBLACION_FAMILIAR,ID_FECHA_CALIFICACION,EDAD,NOTA_NUMERICA,CREDITOS,ORDEN_CONVOCATORIA,CONVOCATORIAS_CONSUMIDAS,NUMERO_MATRICULAS,SN_DOCTORADO_VIGENTE,ID_DEDICACION,FLG_COMPENSADA,FLG_TRANSFERIDA,ID_RANGO_NOTA_ADMISION,ID_PLAN_GRUPO_MATRICULA_NK,ID_CENTRO_NK,ID_RAMA_CONOCIMIENTO,CURSO_MAS_ALTO_MATRICULADO,CURSO_IMPARTICION_ASIG,ORDEN_BOE_PLAN,FLG_MOVILIDAD_IN,ID_PLAN_ESTUDIO_NK,FLG_ULTIMA_CONVOCATORIA,ID_CENTRO_IMPARTICION,FLG_MATRICULADA,FLG_SUPERADA,ID_PLAN_GRUPO_MATRICULA,ID_ESTUDIO_NK,NOTA_ADMISION,SN_MOVILIDAD_IN,FLG_RECONOCIDA,ID_FECHA_CARGA,ID_TIPO_ESTUDIO,SN_PROG_MOVILIDAD,ID_CAMPUS_CENTRO,ID_ESTUDIO,FLG_NUEVO_INGRESO,FECHA_CARGA,ID_ESTUDIO_PREVIO,ANYO_ACCESO_SUE,SN_NUEVO_INGRESO,ID_TIPO_CENTRO,ID_CENTRO_IMPARTICION_NK,ID_POBLACION_CENTRO,SN_COMPENSADA,FLG_SUSPENDIDA,ID_EDAD_EST,FLG_CALCULO_TASAS,ID_PAIS_FAMILIAR,FLG_PRESENTADA,SN_CAMBIO_CICLO_GRADO,FLG_EN_PROGRAMA_MOVILIDAD,ID_ASIGNATURA_NK,ID_RANGO_NOTA_EGRACONS,ID_TIPO_ASIGNATURA,ID_PAIS_FAMILIAR_NK,RANGO_NUM_MATRICULAS
2012,1,20120,1,242,3,11,23,13,3,4,2,2,3,1,33,1,20130,56,213,20131030,31,6.16,9.4,3,3,3,S,293,0,1,8.13,913,410,200,3,17,5133/2021,0,10011,0,23,1,1,913,4000,1.42,N,0,20220503,928,S,981,142,1,2022-12-16,163,2010,N,205,2300,892,N,0,10,1,56,1,N,1,242,1.0,140,LIE,3
2012,2,20120,2,231,3,96,32,8,7,1,4,1,2,1,90,1,20240,51,16,20120127,39,2.6,3.7,3,3,1,N,626,0,1,2.58,410,714,93,2,55,8284/2013,1,10096,0,32,1,0,410,3200,0.34,S,1,20200503,774,N,223,181,0,2023-10-17,648,2011,N,307,3200,276,N,1,8,1,51,1,N,0,231,3.0,715,AND,1
2018,3,20180,3,464,3,77,42,15,14,2,4,5,2,1,26,1,20140,72,243,20180818,27,2.49,7.3,2,3,2,N,735,0,0,6.69,482,934,439,3,23,1192/2019,0,10077,0,42,1,0,482,500,8.33,N,0,20220822,266,S,562,949,1,2021-01-30,169,2015,N,599,4200,133,N,1,5,0,72,1,S,1,464,8.0,137,GNB,2
2017,4,20170,4,338,1,100,9,9,6,4,3,4,5,1,35,1,20170,24,292,20170703,57,9.64,5.0,3,4,2,N,742,0,1,5.94,693,920,187,3,05,6842/2012,1,10100,0,9,1,1,693,4500,3.46,S,1,20220127,579,N,217,51,0,2021-04-24,502,2014,S,602,900,983,N,0,4,0,24,1,S,0,338,6.0,947,BLZ,2
2022,5,20220,5,300,5,97,37,4,20,4,3,5,2,1,40,2,20100,31,205,20230325,18,3.58,8.9,3,2,1,S,341,0,1,1.69,114,35,238,3,22,7680/2020,0,10097,0,37,1,0,114,2300,7.72,N,0,20211110,109,S,51,918,1,2022-01-03,556,2017,S,301,3700,14,N,1,6,1,31,1,S,1,300,1.0,144,MUS,1
2018,6,20180,6,358,2,79,43,13,1,1,5,4,2,1,91,2,20230,89,448,20180531,11,3.85,8.5,2,1,2,S,990,0,1,9.18,768,798,453,1,48,6667/2013,0,10079,0,43,1,0,768,4700,6.97,N,0,20221129,150,S,617,590,1,2021-07-09,519,2015,S,276,4300,235,N,1,6,0,89,1,S,1,358,8.0,673,KEN,2
2020,7,20200,7,399,3,29,2,3,19,5,4,2,3,1,84,1,20220,40,139,20210702,27,5.49,10.9,1,3,1,S,450,0,1,0.44,908,615,832,4,95,9696/2017,0,10029,0,2,1,1,908,4200,9.03,N,0,20200116,641,N,184,207,1,2023-12-09,12,2018,N,772,200,89,N,0,10,1,78,1,S,0,399,8.0,478,GNQ,1
2021,8,20210,8,318,5,82,40,1,18,4,4,2,4,1,81,2,20110,33,481,20210417,59,8.88,8.9,2,2,2,S,150,0,1,8.44,293,535,779,4,80,6766/2019,1,10082,0,40,1,1,293,3600,5.81,S,1,20211219,211,N,404,670,1,2023-01-04,434,2013,S,286,4000,91,N,0,4,1,17,1,S,0,318,5.0,111,URY,2
2011,9,20110,9,456,4,16,26,3,3,4,2,4,5,1,44,2,20210,11,121,20110121,39,9.32,9.7,3,4,1,S,281,0,1,1.59,100,792,272,1,73,9925/2019,0,10016,0,5,1,1,100,1300,5.98,N,0,20230803,894,N,411,594,0,2022-05-20,914,2010,S,277,500,617,N,0,4,1,11,1,S,0,456,7.0,35,GIN,1
2016,10,20160,10,368,1,55,11,5,13,5,5,5,4,1,100,1,20140,83,375,20160703,36,7.23,6.9,2,2,3,S,618,0,0,9.34,557,196,88,2,61,9937/2016,1,10055,0,11,1,1,557,1300,4.47,S,0,20220809,578,N,672,970,1,2022-10-08,285,2011,S,62,1100,459,N,0,2,1,83,1,N,0,368,5.0,334,BEL,3
