ID_SOLICITUD_MOVILIDAD_NK,ID_CURSO_ACADEMICO_NK,ID_EXPEDIENTE_ACADEMICO_NK,ID_ALUMNO_NIP_NK,ID_CURSO_ACADEMICO,ID_EXPEDIENTE_ACADEMICO,ID_ALUMNO,ID_PAIS_NACIONALIDAD,ID_SEXO,ID_PLAN_ESTUDIO,ID_TIPO_ESTUDIO,ID_CENTRO,ID_TIPO_ACCESO,ID_AREA_ESTUDIOS_MOVILIDAD,ID_NIVEL_ESTUDIOS_MOVILIDAD,ID_IDIOMA_MOVILIDAD,ID_FECHA_SOLICITUD,ID_RANGO_NOTA_ADMISION,ID_RANGO_CRED_SUPERADOS_PREVIO,ORDEN_PREFERENCIA,FLG_ACEPTADA,FLG_RENUNCIA,ACEPTADA,RENUNCIA,EDAD,DURACION_ESTANCIA,ANOS_CURSADOS,CREDITOS_SUPERADOS,NOTA_ADMISION,FECHA_CARGA,ID_POBLACION_FAMILIAR,ID_PROGRAMA_MOVILIDAD,ID_ESTUDIO,ID_RAMA_CONOCIMIENTO,ID_FECHA_CARGA,ID_EDAD_EST,ID_UNIVERSIDAD_DESTINO,ID_PAIS_UNIVERSIDAD_DESTINO
1100001,2024,1200001,1400001,20240,1300001,1500001,20,1,19,9,37,7,20,2,12,20210701,5,7,2,N,N,0,0,20,11,2,88,5.3,2022-05-22,117,6,44,8,20230710,6,88,94
1100002,2022,1200002,1400002,20220,1300002,1500002,49,1,17,3,49,2,8,4,3,20220121,1,5,3,S,N,1,0,25,5,3,132,12.48,2022-06-04,305,8,14,4,20230813,8,60,95
1100003,2020,1200003,1400003,20200,1300003,1500003,19,1,90,2,6,15,5,6,6,20220607,5,4,5,S,N,1,0,29,4,4,171,10.09,2023-07-27,491,3,37,2,20231231,8,5,29
1100004,2023,1200004,1400004,20230,1300004,1500004,40,2,94,3,35,4,1,4,8,20220812,1,3,2,N,N,0,0,30,9,3,62,7.52,2023-11-30,494,5,30,2,20220405,4,13,52
1100005,2018,1200005,1400005,20180,1300005,1500005,57,1,11,6,35,7,5,3,4,20220922,3,1,4,S,N,1,0,23,7,3,109,10.32,2023-06-11,332,8,47,9,20220128,8,71,34
1100006,2017,1200006,1400006,20170,1300006,1500006,100,2,76,3,21,9,15,6,14,20220321,1,5,1,N,N,0,0,22,8,1,52,7.33,2022-12-10,40,9,43,2,20220616,10,14,48
1100007,2013,1200007,1400007,20130,1300007,1500007,61,2,91,3,36,7,15,2,3,20220612,5,3,5,S,N,1,0,27,5,3,38,13.55,2023-06-05,421,7,44,9,20230715,10,13,44
1100008,2010,1200008,1400008,20100,1300008,1500008,73,1,57,7,7,6,19,2,12,20200420,1,3,3,N,N,0,0,28,8,4,116,8.87,2023-08-01,465,9,44,10,20230528,9,44,78
1100009,2022,1200009,1400009,20220,1300009,1500009,22,1,18,10,41,3,2,2,3,20210920,2,2,3,S,N,1,0,26,3,3,161,10.91,2022-06-30,383,8,16,7,20220114,7,49,5
1100010,2016,1200010,1400010,20160,1300010,1500010,73,1,32,1,15,4,3,4,11,20211118,2,5,1,S,N,1,0,18,11,2,136,10.74,2022-04-29,52,9,3,6,20230820,9,17,45
1100011,2015,1200011,1400011,20150,1300011,1500011,60,1,73,7,49,11,10,1,2,20201115,4,4,3,N,N,0,0,21,7,3,168,13.64,2023-10-24,161,7,17,4,20230806,4,63,54
1100012,2022,1200012,1400012,20220,1300012,1500012,84,2,79,6,42,5,5,6,9,20200128,4,5,4,S,N,1,0,27,7,3,148,12.09,2022-03-07,11,3,7,7,20220121,5,36,98
1100013,2019,1200013,1400013,20190,1300013,1500013,62,2,67,6,2,13,2,4,15,20200724,5,4,3,N,N,0,0,24,10,2,67,10.51,2023-08-08,484,9,33,5,20220112,2,78,57
1100014,2024,1200014,1400014,20240,1300014,1500014,59,1,16,6,33,1,17,6,4,20220510,4,1,2,S,N,1,0,27,12,2,154,5.04,2022-07-18,223,4,12,5,20220430,5,78,18
1100015,2017,1200015,1400015,20170,1300015,1500015,89,1,79,2,35,14,9,6,1,20200214,1,2,3,S,N,1,0,30,4,1,68,9.22,2023-02-15,255,3,1,10,20220603,4,84,62
1100016,2013,1200016,1400016,20130,1300016,1500016,43,2,52,10,3,10,12,1,5,20200426,5,6,1,S,N,1,0,19,11,2,165,9.77,2023-03-04,215,7,45,10,20230929,1,4,22
1100017,2017,1200017,1400017,20170,1300017,1500017,91,2,23,5,49,1,16,4,4,20200726,3,1,3,N,N,0,0,27,3,2,90,12.6,2022-03-02,425,8,20,5,20221126,5,6,82
1100018,2010,1200018,1400018,20100,1300018,1500018,49,2,48,3,41,7,9,8,3,20221211,5,4,4,S,N,1,0,18,6,1,162,9.88,2022-05-19,461,1,22,1,20220518,5,45,87
1100019,2020,1200019,1400019,20200,1300019,1500019,68,2,19,6,32,7,17,3,7,20210809,4,3,5,S,N,1,0,27,7,1,120,12.8,2022-05-16,90,4,9,6,20220604,6,34,60
1100020,2019,1200020,1400020,20190,1300020,1500020,10,1,88,10,38,14,17,7,13,20200911,4,3,5,S,N,1,0,22,4,3,122,11.78,2022-07-19,234,2,28,6,20230217,4,97,69
1100021,2010,1200021,1400021,20100,1300021,1500021,50,1,12,9,49,4,16,2,11,20200319,5,3,4,N,N,0,0,29,10,4,70,6.68,2023-06-22,431,3,2,5,20231218,8,86,60
1100022,2023,1200022,1400022,20230,1300022,1500022,70,2,78,10,16,2,14,5,10,20220701,1,2,3,S,N,1,0,29,12,1,100,7.22,2023-09-01,120,10,10,7,20230511,5,22,51
1100023,2021,1200023,1400023,20210,1300023,1500023,53,2,16,6,49,4,17,5,9,20200926,5,6,4,N,N,0,0,30,10,3,121,10.14,2022-03-31,146,2,1,6,20230127,6,40,84
1100024,2012,1200024,1400024,20120,1300024,1500024,51,1,82,6,19,10,5,6,11,20211203,2,4,2,N,N,0,0,30,8,1,160,13.15,2023-07-03,373,4,20,10,20230820,8,12,42
1100025,2016,1200025,1400025,20160,1300025,1500025,8,1,84,1,33,15,5,6,3,20211210,2,2,5,S,N,1,0,23,12,4,103,8.06,2022-01-03,222,7,17,10,20230618,8,80,66
1100026,2011,1200026,1400026,20110,1300026,1500026,4,1,41,7,24,7,16,1,7,20220327,5,5,5,N,N,0,0,19,6,2,96,10.33,2022-07-23,363,7,45,10,20230418,6,57,84
1100027,2018,1200027,1400027,20180,1300027,1500027,66,1,65,1,10,2,4,5,15,20210425,4,5,4,N,N,0,0,20,6,3,84,5.85,2022-02-24,257,6,35,9,20220203,4,100,58
1100028,2010,1200028,1400028,20100,1300028,1500028,11,1,58,1,29,1,20,2,2,20210106,2,3,2,S,N,1,0,20,5,2,135,13.5,2023-10-01,467,3,47,5,20220629,9,89,33
1100029,2021,1200029,1400029,20210,1300029,1500029,91,1,43,6,23,9,16,5,11,20220327,5,4,1,N,N,0,0,30,11,1,166,5.88,2023-07-23,307,10,15,1,20230903,6,55,68
1100030,2010,1200030,1400030,20100,1300030,1500030,71,1,53,8,5,13,6,3,10,20210729,4,2,3,S,N,1,0,30,5,3,39,8.63,2023-05-12,240,4,28,8,20230422,5,30,83
1100031,2014,1200031,1400031,20140,1300031,1500031,22,1,88,5,20,8,7,7,2,20210721,4,1,1,N,N,0,0,26,6,1,54,7.31,2023-01-14,55,9,41,4,20221002,7,51,96
1100032,2013,1200032,1400032,20130,1300032,1500032,58,2,6,4,9,13,7,6,4,20210916,5,3,2,S,N,1,0,25,7,1,173,6.83,2023-03-12,264,3,44,5,20230426,7,98,52
1100033,2019,1200033,1400033,20190,1300033,1500033,1,1,66,8,21,10,1,3,8,20210331,1,2,2,N,N,0,0,21,10,1,94,12.55,2023-06-27,268,1,40,5,20220626,6,46,11
1100034,2013,1200034,1400034,20130,1300034,1500034,68,2,91,3,41,15,18,8,12,20220325,2,6,3,N,N,0,0,20,8,1,154,5.21,2023-10-16,453,10,35,5,20220918,8,36,26
1100035,2022,1200035,1400035,20220,1300035,1500035,93,1,93,3,7,6,4,6,3,20200623,4,2,5,N,N,0,0,27,4,3,33,11.97,2023-03-22,214,2,5,10,20230110,6,54,77
1100036,2015,1200036,1400036,20150,1300036,1500036,76,1,65,5,47,13,18,7,4,20220417,4,1,5,S,N,1,0,28,11,4,138,11.52,2023-02-15,399,5,14,1,20231118,5,59,43
1100037,2016,1200037,1400037,20160,1300037,1500037,10,2,31,9,4,12,14,6,11,20210209,3,2,4,S,N,1,0,21,8,1,101,13.85,2023-12-30,123,8,30,8,20221127,10,27,58
1100038,2014,1200038,1400038,20140,1300038,1500038,89,2,70,4,43,6,3,2,10,20211016,5,3,4,N,N,0,0,26,8,1,47,12.55,2022-04-09,133,5,38,6,20220121,3,78,30
1100039,2020,1200039,1400039,20200,1300039,1500039,22,2,15,9,28,15,14,6,11,20200927,4,5,3,N,N,0,0,22,10,3,112,10.68,2022-05-07,369,1,29,6,20220625,2,8,56
1100040,2023,1200040,1400040,20230,1300040,1500040,17,1,55,1,9,3,7,6,4,20211129,4,2,3,N,N,0,0,20,3,2,90,6.12,2022-02-13,102,1,25,8,20230719,6,29,92
1100041,2022,1200041,1400041,20220,1300041,1500041,57,2,74,6,25,14,9,8,13,20200613,5,1,2,S,N,1,0,22,5,2,77,8.06,2023-06-25,333,1,47,3,20230225,6,16,85
1100042,2013,1200042,1400042,20130,1300042,1500042,37,2,1,9,6,3,16,4,10,20220713,4,2,1,S,S,1,1,28,3,4,148,8.76,2022-03-07,425,6,5,1,20221209,9,82,100
1100043,2021,1200043,1400043,20210,1300043,1500043,6,2,74,5,38,8,20,8,5,20200717,4,6,1,S,N,1,0,24,9,3,119,12.75,2023-10-21,252,1,40,7,20230105,2,29,96
1100044,2013,1200044,1400044,20130,1300044,1500044,89,2,70,7,44,3,8,8,11,20220528,2,7,3,N,N,0,0,20,12,4,119,9.68,2023-08-13,34,9,19,6,20231016,9,49,26
1100045,2014,1200045,1400045,20140,1300045,1500045,47,2,52,6,37,6,14,6,15,20211125,5,1,2,N,N,0,0,21,8,1,39,11.08,2023-05-20,169,2,37,7,20231124,2,28,21
1100046,2022,1200046,1400046,20220,1300046,1500046,63,2,38,2,15,10,14,1,12,20200630,4,4,5,N,N,0,0,28,9,1,177,7.28,2022-11-28,361,7,13,1,20220525,3,45,5
1100047,2017,1200047,1400047,20170,1300047,1500047,91,1,28,3,36,2,18,2,12,20200711,5,2,5,S,N,1,0,25,6,4,143,12.97,2022-09-29,218,4,18,4,20220202,7,25,80
1100048,2024,1200048,1400048,20240,1300048,1500048,92,2,16,6,2,15,17,5,8,20210929,4,7,3,N,N,0,0,28,11,4,49,12.06,2022-06-25,300,7,12,10,20230708,7,74,3
1100049,2021,1200049,1400049,20210,1300049,1500049,26,1,97,10,10,8,11,5,13,20221121,4,1,2,N,N,0,0,30,7,3,174,9.23,2023-07-17,251,10,41,10,20220425,9,92,99
1100050,2013,1200050,1400050,20130,1300050,1500050,100,1,50,9,49,1,17,6,2,20200504,1,7,5,S,S,1,1,26,5,2,172,12.59,2022-07-06,30,6,45,3,20221120,5,61,37
1100051,2013,1200051,1400051,20130,1300051,1500051,56,1,43,10,15,6,16,2,4,20200304,4,2,1,N,N,0,0,29,3,4,166,10.68,2022-03-01,372,10,33,5,20230802,10,20,47
1100052,2023,1200052,1400052,20230,1300052,1500052,8,1,5,5,45,11,12,3,14,20210925,5,4,4,N,N,0,0,30,6,2,98,8.49,2023-11-16,496,1,42,8,20220524,8,68,98
1100053,2017,1200053,1400053,20170,1300053,1500053,1,1,94,9,37,1,14,3,11,20210810,5,7,3,S,N,1,0,21,6,3,121,11.45,2022-08-07,400,8,16,1,20220830,5,61,50
1100054,2022,1200054,1400054,20220,1300054,1500054,56,1,58,5,17,15,6,1,1,20220602,2,2,1,S,N,1,0,18,6,2,95,7.94,2022-07-10,30,10,17,5,20220614,7,60,68
1100055,2020,1200055,1400055,20200,1300055,1500055,1,1,25,7,30,13,7,6,9,20210126,2,4,1,S,N,1,0,19,6,3,37,8.05,2022-02-19,358,4,4,7,20220413,1,34,10
1100056,2010,1200056,1400056,20100,1300056,1500056,50,1,9,3,33,11,16,4,11,20200326,1,1,3,S,S,1,1,23,8,2,172,7.72,2023-11-18,205,7,43,8,20230110,4,67,85
1100057,2017,1200057,1400057,20170,1300057,1500057,10,2,61,4,13,4,14,1,13,20200111,4,3,5,S,N,1,0,27,5,2,122,11.47,2022-04-11,268,2,8,2,20230930,9,92,2
1100058,2012,1200058,1400058,20120,1300058,1500058,16,2,43,10,24,14,8,3,13,20220811,2,2,1,S,N,1,0,20,4,1,56,7.2,2023-04-24,384,8,31,2,20230929,7,34,27
1100059,2016,1200059,1400059,20160,1300059,1500059,3,1,90,3,20,9,20,1,5,20200526,2,5,1,N,N,0,0,29,8,3,108,7.17,2023-01-02,33,4,17,9,20220427,3,96,47
1100060,2020,1200060,1400060,20200,1300060,1500060,89,1,32,4,31,1,4,1,13,20220505,2,7,3,N,N,0,0,21,5,2,81,8.46,2023-10-11,186,8,48,9,20220307,2,63,96
1100061,2023,1200061,1400061,20230,1300061,1500061,29,2,79,10,18,9,16,3,14,20210321,3,5,5,N,N,0,0,29,5,4,129,10.61,2023-09-03,418,7,38,6,20220203,8,81,22
1100062,2010,1200062,1400062,20100,1300062,1500062,81,2,28,2,42,1,20,8,9,20201224,5,2,4,S,S,1,1,23,12,1,163,12.88,2022-09-04,21,4,31,9,20220912,3,4,69
1100063,2023,1200063,1400063,20230,1300063,1500063,53,1,32,7,27,12,1,1,14,20220204,4,5,1,S,N,1,0,20,10,1,114,5.48,2023-05-07,476,3,30,4,20220904,5,79,20
1100064,2013,1200064,1400064,20130,1300064,1500064,4,2,72,9,1,3,6,8,12,20220831,3,4,4,S,N,1,0,30,9,1,145,10.92,2023-11-21,102,10,21,3,20230408,4,14,56
1100065,2017,1200065,1400065,20170,1300065,1500065,9,1,83,3,22,3,9,4,12,20220528,3,5,5,N,N,0,0,26,3,4,73,6.84,2023-09-11,363,2,40,4,20220515,5,79,63
