ID_CURSO_ACADEMICO,ID_PLAN_ESTUDIO,TASA_EXITO_PONDERADA,TASA_RENDIMIENTO_PONDERADA,BASE_PONDERACION_TASAS_EXITO,BASE_PONDERACION_TASAS_RTO,TASA_EFICIENCIA_PONDERADA,BASE_PONDERACION_TASAS_EGRE,ALUMNOS_GRADUADOS,DURACION_PONDERADA,BASE_PONDERACION_DURACION,ALUMNOS_MATRICULADOS,ALUMNOS_MATRICULADOS_NING
20150,18,0.775,0.7632,746,977,0.9425,228,149,4.64,149,182,40
20120,24,0.8972,0.7227,849,575,0.9048,157,17,4.98,17,360,65
20100,6,0.7786,0.8157,650,387,0.8052,72,44,4.99,44,212,26
20120,86,0.7728,0.6881,693,566,0.7883,131,34,4.89,34,404,21
20120,43,0.802,0.6594,695,235,0.9355,345,192,3.68,192,204,54
20200,8,0.9355,0.7484,480,103,0.8293,115,56,4.42,56,405,66
20140,52,0.9089,0.703,484,406,0.8038,255,97,4.59,97,192,83
20180,47,0.6712,0.8517,995,270,0.7714,272,116,5.95,116,75,77
20140,28,0.6043,0.7421,779,541,0.8189,138,178,4.32,178,377,31
20230,4,0.6585,0.799,546,386,0.902,490,118,4.31,118,436,11
20170,88,0.8132,0.6671,811,979,0.9021,161,145,4.91,145,418,11
20170,61,0.633,0.6412,719,993,0.9799,251,31,5.04,31,148,88
20100,34,0.7794,0.6452,585,646,0.8379,59,192,5.22,192,235,46
20130,80,0.7234,0.7191,441,832,0.8459,475,58,5.22,58,270,48
20190,34,0.8005,0.6262,670,811,0.7576,65,73,5.18,73,370,99
20200,10,0.8921,0.6192,122,933,0.7666,306,183,4.42,183,212,34
20230,30,0.6169,0.7992,204,716,0.9324,224,113,3.98,113,280,54
20120,25,0.9324,0.6935,270,993,0.789,369,151,5.02,151,115,73
20240,57,0.7083,0.5774,665,405,0.8379,201,99,5.2,99,64,16
20230,63,0.6978,0.8866,283,827,0.8955,421,32,4.8,32,287,35
20200,71,0.6075,0.8063,846,801,0.76,471,79,5.82,79,448,54
20240,84,0.8802,0.7004,294,237,0.872,211,173,5.3,173,167,51
20100,3,0.676,0.8269,583,953,0.7934,435,174,4.07,174,208,61
20240,46,0.7453,0.7604,827,889,0.7365,184,52,5.99,52,426,38
20170,36,0.7255,0.8972,204,727,0.8626,397,34,5.66,34,185,62
20190,10,0.8555,0.8384,679,370,0.9242,189,157,5.47,157,146,82
20110,78,0.6238,0.6771,318,287,0.7735,275,50,4.65,50,114,28
20170,55,0.6183,0.8367,156,927,0.8713,367,93,4.95,93,500,90
20180,79,0.8272,0.659,915,901,0.8308,493,161,4.69,161,371,76
20140,86,0.6246,0.7734,125,393,0.9523,200,145,5.57,145,77,41
20220,50,0.9315,0.8117,670,814,0.8771,469,22,3.6,22,106,93
20240,2,0.6233,0.8816,479,864,0.9659,155,116,5.76,116,440,70
20220,95,0.7123,0.8871,507,203,0.8253,355,27,5.98,27,329,33
20230,14,0.7606,0.8337,257,115,0.9434,399,178,5.87,178,243,10
20190,94,0.8076,0.6353,999,198,0.838,153,170,4.43,170,228,83
20130,15,0.6526,0.7769,207,944,0.8717,201,18,5.13,18,73,89
20230,31,0.7282,0.6529,595,847,0.9296,315,172,5.75,172,372,52
20220,27,0.7249,0.6344,326,649,0.9448,113,134,5.38,134,420,65
20140,9,0.6351,0.7967,234,131,0.8141,307,189,5.27,189,327,82
20130,99,0.8773,0.8544,627,423,0.7074,303,89,4.57,89,279,43
20190,79,0.8965,0.6993,278,925,0.7543,316,150,5.9,150,249,85
