ID_CURSO_ACADEMICO,ID_ESTUDIO,ID_CENTRO,TASA_EXITO_PONDERADA,TASA_RENDIMIENTO_PONDERADA,BASE_PONDERACION_TASAS_EXITO,BASE_PONDERACION_TASAS_RTO,ALUMNOS_MATRICULADOS,ALUMNOS_MATRICULADOS_NING,TASA_EFICIENCIA_PONDERADA,BASE_PONDERACION_TASAS_EGRE,ALUMNOS_GRADUADOS,DURACION_PONDERADA,BASE_PONDERACION_DURACION,ID_TIPO_ESTUDIO,SN_DOCTORADO_VIGENTE,DOC_ALUMNOS_INFORME,VALORACION_ALUMNOS,VALORACION_PROFESORES,DOC_ALUMNOS_BECA,ID_RAMA_CONOCIMIENTO
20130,8,26,0.8652,0.6746,829,232,122,58,0.9642,164,92,5.9,92,5,N,0,0.0,0.0,0,2
20180,29,45,0.7254,0.626,326,286,468,32,0.8623,261,156,4.61,156,3,S,18,3.67,3.73,8,1
20130,19,17,0.9498,0.8148,618,587,433,82,0.9005,447,121,4.43,121,10,N,0,0.0,0.0,0,1
20100,1,39,0.6215,0.8749,550,554,246,47,0.7775,280,10,5.68,10,2,N,0,0.0,0.0,0,4
20200,14,29,0.7814,0.6902,459,933,273,44,0.8607,479,193,5.35,193,9,N,0,0.0,0.0,0,1
20100,29,13,0.6938,0.6765,611,811,330,23,0.7278,53,155,4.08,155,1,N,0,0.0,0.0,0,5
20110,46,27,0.7434,0.8437,808,746,313,71,0.858,204,161,4.88,161,5,N,0,0.0,0.0,0,1
20100,37,29,0.6924,0.5524,941,253,289,64,0.7666,309,165,5.87,165,5,N,0,0.0,0.0,0,2
20160,46,19,0.8152,0.6088,626,750,195,35,0.7628,285,54,4.26,54,8,N,0,0.0,0.0,0,2
20170,47,14,0.6615,0.5649,258,686,118,83,0.8952,465,154,4.22,154,6,N,0,0.0,0.0,0,5
20140,24,5,0.8873,0.5884,604,857,269,43,0.922,392,81,3.51,81,6,N,0,0.0,0.0,0,1
20110,31,50,0.6601,0.6189,858,235,58,14,0.8677,351,26,4.53,26,6,N,0,0.0,0.0,0,3
20230,27,9,0.8483,0.8922,258,772,438,21,0.7209,204,118,5.95,118,4,N,0,0.0,0.0,0,1
